
[00:00:00.000 --> 00:00:01.160]  歡迎大家
[00:00:01.160 --> 00:00:04.920]  也歡迎線上線下實體的弟兄姊妹
[00:00:04.920 --> 00:00:06.040]  今天是母親節
[00:00:06.040 --> 00:00:08.320]  首先恭祝在在的母親節
[00:00:08.320 --> 00:00:10.200]  母親節快樂
[00:00:10.200 --> 00:00:10.760]  是
[00:00:10.760 --> 00:00:15.480]  不知道做媽媽的
[00:00:15.480 --> 00:00:18.320]  會不會有些口頭禪經常掛在口邊呢
[00:00:18.320 --> 00:00:20.000]  我記得孩子小的時候
[00:00:20.000 --> 00:00:21.600]  我經常掛在口邊的就是
[00:00:21.600 --> 00:00:22.600]  快點吧
[00:00:22.600 --> 00:00:23.920]  快點吃飯
[00:00:23.920 --> 00:00:25.560]  快點做好功課
[00:00:25.560 --> 00:00:26.800]  快點換衣服
[00:00:26.800 --> 00:00:27.400]  是不是
[00:00:27.400 --> 00:00:29.880]  好像媽媽總是很心急
[00:00:29.880 --> 00:00:30.760]  等不及
[00:00:30.760 --> 00:00:33.200]  因為我們的媽媽真的有很多事情要做
[00:00:33.200 --> 00:00:34.840]  又要照顧小朋友
[00:00:34.840 --> 00:00:35.840]  又要煮飯
[00:00:35.840 --> 00:00:37.040]  又要做家務
[00:00:37.040 --> 00:00:38.640]  有很多事情等著我們做
[00:00:38.640 --> 00:00:40.640]  所以我們好像一刻間都等不到
[00:00:40.640 --> 00:00:42.040]  或者
[00:00:42.040 --> 00:00:43.280]  就像香港人的特性
[00:00:43.280 --> 00:00:44.640]  我們都很忙碌
[00:00:44.640 --> 00:00:46.080]  我們的節奏很快
[00:00:46.080 --> 00:00:47.280]  我們都等不及
[00:00:47.280 --> 00:00:48.440]  但是
[00:00:48.440 --> 00:00:49.880]  過去一年的疫情
[00:00:49.880 --> 00:00:52.640]  卻令我們整個世界停頓了下來
[00:00:52.640 --> 00:00:54.840]  整個世界變得不一樣
[00:00:54.840 --> 00:00:57.240]  好像我們要停下來
[00:00:57.240 --> 00:00:58.440]  要慢下來
[00:00:58.840 --> 00:01:01.040]  我們都等了很久了
[00:01:01.040 --> 00:01:03.040]  疫情一波接一波
[00:01:03.040 --> 00:01:04.840]  好像沒完沒了
[00:01:04.840 --> 00:01:06.040]  我們不斷地問
[00:01:06.040 --> 00:01:07.640]  到底要等到什麼時候呢
[00:01:07.640 --> 00:01:09.800]  上帝你什麼時候出手呢
[00:01:09.800 --> 00:01:12.240]  有時候我們可能會回顧
[00:01:12.240 --> 00:01:13.640]  現今
[00:01:13.640 --> 00:01:15.760]  現在這個疫情的影響越來越近
[00:01:15.760 --> 00:01:17.840]  其實已經很靠近了
[00:01:17.840 --> 00:01:21.040]  我們不單探訪了老人院的家人
[00:01:21.040 --> 00:01:23.440]  探訪了醫院裡病患的家人
[00:01:23.440 --> 00:01:25.240]  我們的孩子
[00:01:25.240 --> 00:01:28.240]  整年都要在Zoom上上課
[00:01:28.440 --> 00:01:30.440]  好像沒辦法去復課
[00:01:30.440 --> 00:01:36.040]  甚至有更多人面臨失業的狀況
[00:01:36.040 --> 00:01:37.240]  當我們去到街上
[00:01:37.240 --> 00:01:40.640]  我們會看到很多店鋪都開始陸陸續續的關門
[00:01:40.640 --> 00:01:42.240]  變成了特賣場
[00:01:42.240 --> 00:01:47.760]  最近政府公佈香港的失業率是6.8%
[00:01:47.760 --> 00:01:49.560]  雖然稍微跌了一點點
[00:01:49.560 --> 00:01:50.640]  但是其實
[00:01:50.640 --> 00:01:52.840]  都在說有26萬人
[00:01:52.840 --> 00:01:55.240]  是因為這個疫情的緣故失業
[00:01:55.240 --> 00:01:57.040]  過去有很多的工種
[00:01:57.040 --> 00:01:58.840]  我們看為損工
[00:01:58.840 --> 00:02:00.240]  例如機師
[00:02:00.240 --> 00:02:01.240]  空姐
[00:02:01.240 --> 00:02:01.840]  是不是
