
[00:00:00.000 --> 00:00:04.000]  如果你是家中的話,邀請你去找一個安舒的地方
[00:00:04.000 --> 00:00:07.000]  聯同我們眼睛實體的大型智慧一起敬拜
[00:00:07.000 --> 00:00:09.000]  這個時候邀請大家合上你的眼睛
[00:00:09.000 --> 00:00:11.000]  我們有片黑安靜的時候
[00:00:11.000 --> 00:00:15.000]  親愛的主,感謝你讓我們種大型智慧
[00:00:15.000 --> 00:00:18.000]  無論什麼地方,我們都一起去敬拜你
[00:00:18.000 --> 00:00:24.000]  讓我們去專心的,一心定徵在你身上
[00:00:25.000 --> 00:00:32.000]  將我們一切的憂慮,一切的仇犯,我們都放下,來到你的跟前去朝見你
[00:00:32.000 --> 00:00:36.000]  就讓我們有片黑安靜的時候
[00:00:55.000 --> 00:00:57.000]  (音樂)
[00:01:26.000 --> 00:01:48.000]  (音樂)
[00:01:48.000 --> 00:01:51.000]  讓我們同心去禱告
[00:01:54.000 --> 00:01:56.000]  三一的真神,我們稱重你
[00:01:56.000 --> 00:01:58.000]  你是創造天地萬有的神
[00:01:58.000 --> 00:02:02.000]  今天很感恩,有二十幾位頂子妹
[00:02:02.000 --> 00:02:05.000]  他們在你的殿當中,接受水禮
[00:02:05.000 --> 00:02:09.000]  在眾人面前去見證你是那位拯救他們
[00:02:09.000 --> 00:02:13.000]  釋放他們,引領他們的威的神
[00:02:13.000 --> 00:02:16.000]  主啊,但願你與每一個水禮的頂子妹同在
[00:02:16.000 --> 00:02:19.000]  讓他們的生命藉著你更生
[00:02:19.000 --> 00:02:22.000]  藉著你能夠在眾人面前去榮耀你
[00:02:22.000 --> 00:02:24.000]  讓你得著最大的榮耀
[00:02:24.000 --> 00:02:28.000]  又讓每一個親友,特別是微信主的親友來到當中的時候
[00:02:28.000 --> 00:02:31.000]  看到每一個生命的轉化是因為你的作為
[00:02:31.000 --> 00:02:33.000]  主啊,今天是歡喜快樂的日子
[00:02:33.000 --> 00:02:37.000]  讓你得著最大的稱讚和榮耀
[00:02:37.000 --> 00:02:40.000]  又讓你一會兒去使用Barry和Connor
[00:02:40.000 --> 00:02:42.000]  讓他們在中堂這段時間
