
[00:00:00.000 --> 00:00:02.400]  好啊 我覺得很感動
[00:00:02.400 --> 00:00:04.400]  開心可以去
[00:00:04.400 --> 00:00:08.080]  其實很開心的一件事就是當
[00:00:08.080 --> 00:00:10.400]  去敬拜的時候
[00:00:10.400 --> 00:00:11.400]  跟敬拜隊一起
[00:00:11.400 --> 00:00:14.680]  其實他們自己心裡也很確信這件事
[00:00:14.680 --> 00:00:16.080]  你看到他們
[00:00:16.080 --> 00:00:18.000]  其實唱的時候他們從心而發
[00:00:18.000 --> 00:00:19.200]  都是想告訴你
[00:00:19.200 --> 00:00:20.680]  這件事是他們真的相信的
[00:00:20.680 --> 00:00:22.600]  主耶穌基督的愛是真的
[00:00:22.600 --> 00:00:25.280]  並且他們很願意和你分享
[00:00:25.280 --> 00:00:27.600]  所以很盼望大家初中的
[00:00:27.600 --> 00:00:30.880]  信仰你開始慢慢去認識
[00:00:30.880 --> 00:00:34.680]  其實還有很長的路要去認識的
[00:00:34.680 --> 00:00:37.680]  但是很希望你去學習一下
[00:00:37.680 --> 00:00:40.080]  究竟為什麼這件事這麼好呢?
[00:00:40.080 --> 00:00:43.600]  為什麼他會去為敬拜
[00:00:43.600 --> 00:00:46.680]  或者主耶穌去哭呢?
[00:00:46.680 --> 00:00:48.280]  可能其實也在提醒我們
[00:00:48.280 --> 00:00:51.280]  原來這件事有些特別的地方
[00:00:51.280 --> 00:00:54.000]  這件事不是這個世界可以給我們
[00:00:54.000 --> 00:00:56.600]  盼望大家可以去經歷一下
[00:00:56.600 --> 00:00:59.680]  我們不如開始說到之前我們有個祈禱
[00:00:59.680 --> 00:01:01.880]  上天天父感謝祢
[00:01:01.880 --> 00:01:04.080]  祂帶領我們可以去認識祢
[00:01:04.080 --> 00:01:06.400]  主耶穌我們很想認識祢更多
[00:01:06.400 --> 00:01:08.200]  求祢幫助我們去明白
[00:01:08.200 --> 00:01:11.280]  我們知道不是靠我們的能力去明白這件事
[00:01:11.280 --> 00:01:14.200]  我們很相信聖靈會幫助我們
[00:01:14.200 --> 00:01:16.280]  打開我們的眼去認識祢更多
[00:01:16.280 --> 00:01:18.400]  求祢今天打開我們的眼
[00:01:18.400 --> 00:01:21.080]  讓我們去見祢、認識到祢
[00:01:21.080 --> 00:01:22.280]  感謝祢基督的交託
[00:01:22.280 --> 00:01:23.880]  共主耶穌基督的名義祈求
[00:01:23.880 --> 00:01:24.680]  阿們
[00:01:24.680 --> 00:01:28.480]  開始的時候很想跟大家說一個故事
[00:01:28.480 --> 00:01:30.880]  這個故事不是我作的
[00:01:30.880 --> 00:01:33.880]  是2007年很久以前有一部電影
[00:01:33.880 --> 00:01:35.080]  在裡面抽出來的
[00:01:35.080 --> 00:01:39.280]  不過可能大家的年紀都沒有看過
[00:01:39.280 --> 00:01:40.880]  所以我照樣說
[00:01:40.880 --> 00:01:42.080]  是這樣的
[00:01:42.080 --> 00:01:46.080]  有一個很有錢的人去買了一個島
[00:01:46.080 --> 00:01:48.080]  大家不要想另外一邊
[00:01:48.080 --> 00:01:49.080]  不是那些
[00:01:49.080 --> 00:01:50.680]  但是他買了一個島
[00:01:50.680 --> 00:01:53.080]  他打算在那裡輕鬆一下
[00:01:53.080 --> 00:01:55.080]  放鬆一下去渡假那些
[00:01:55.080 --> 00:01:56.880]  不過就出現了一個問題
[00:01:56.880 --> 00:01:59.880]  就是有一艘船來到去拿補給的時候
[00:01:59.880 --> 00:02:02.880]  就帶了一群老鼠來到這個島
[00:02:02.880 --> 00:02:04.280]  嘩 多恐怖
[00:02:04.280 --> 00:02:07.080]  一群老鼠在那裡繁殖
[00:02:07.080 --> 00:02:09.080]  越來越多老鼠
[00:02:09.080 --> 00:02:11.680]  整個島很麻煩
[00:02:11.680 --> 00:02:13.680]  富翁想了一個方法
[00:02:13.680 --> 00:02:15.680]  可以去解決那些老鼠
[00:02:15.680 --> 00:02:17.680]  就是在沙灘那裡挖一個洞
[00:02:17.680 --> 00:02:19.680]  然後就放一個桶進去
[00:02:19.680 --> 00:02:23.280]  然後就把椰子殼扔進桶子裡
[00:02:23.280 --> 00:02:28.880]  老鼠就一直衝進桶子裡去搶椰子殼
[00:02:28.880 --> 00:02:30.880]  越抓越多
[00:02:30.880 --> 00:02:35.080]  很多老鼠就在桶子裡吃
[00:02:35.080 --> 00:02:37.480]  他們就封了蓋子
[00:02:37.480 --> 00:02:40.680]  看到有很多老鼠就封了蓋子
[00:02:40.680 --> 00:02:43.080]  這個桶子裡有很多老鼠
[00:02:43.080 --> 00:02:44.680]  已經進去了
[00:02:44.680 --> 00:02:45.480]  封了桶子
[00:02:45.480 --> 00:02:47.880]  但是他們沒有將這個桶子扔進海裡
[00:02:47.880 --> 00:02:49.080]  這樣就完了
[00:02:49.080 --> 00:02:51.480]  他們就任由它繼續在那裡
[00:02:51.480 --> 00:02:52.680]  有點恐怖
[00:02:52.680 --> 00:02:54.080]  不過大家知道
[00:02:54.080 --> 00:02:55.280]  當椰子殼吃光了
[00:02:55.280 --> 00:02:57.480]  沒有東西吃的時候會怎樣
[00:02:57.480 --> 00:02:59.680]  老鼠就開始自相殘殺
[00:02:59.680 --> 00:03:02.280]  不斷在桶子裡自相殘殺
[00:03:02.280 --> 00:03:06.680]  最後整個桶子裡剩下兩隻老鼠
[00:03:06.680 --> 00:03:10.280]  富翁沒有將那兩隻老鼠扔掉
[00:03:10.280 --> 00:03:12.480]  反而是放回森林裡
[00:03:12.480 --> 00:03:13.280]  為什麼呢
[00:03:13.280 --> 00:03:16.280]  因為那兩隻老鼠已經被培訓到
[00:03:16.280 --> 00:03:18.280]  不再吃椰子殼
