
[00:00:00.000 --> 00:00:02.000]  今天是我在恩福堂的最後一天
[00:00:02.000 --> 00:00:04.000]  兼且是最後一次講道
[00:00:04.000 --> 00:00:09.000]  將這些掌聲歸給我們的天父上帝
[00:00:09.000 --> 00:00:12.000]  唯有我們的天父上帝
[00:00:12.000 --> 00:00:14.000]  我們的主耶穌基督
[00:00:14.000 --> 00:00:17.000]  是值得一切的掌聲和榮耀和重讚
[00:00:17.000 --> 00:00:23.000]  沒理由的話
[00:00:23.000 --> 00:00:25.000]  十三年前已經講過一次了
[00:00:25.000 --> 00:00:26.000]  所以不講了
[00:00:26.000 --> 00:00:28.000]  如果再講十三年前的話
[00:00:28.000 --> 00:00:30.000]  所以今天會繼續延續
[00:00:30.000 --> 00:00:34.000]  《有人瘋》裡面的七個「我」時的講題
[00:00:34.000 --> 00:00:35.000]  當然七個「我」時
[00:00:35.000 --> 00:00:36.000]  「我」時是什麼意思呢?
[00:00:36.000 --> 00:00:38.000]  稍後我會再解釋
[00:00:38.000 --> 00:00:42.000]  在過去我已經講過五個「我」時
[00:00:42.000 --> 00:00:44.000]  至於第七個「我」時
[00:00:44.000 --> 00:00:46.000]  就是「我」時葡萄樹
[00:00:46.000 --> 00:00:49.000]  在過去我曾經在其他場合也講過
[00:00:49.000 --> 00:00:50.000]  所以在這個緣故的時候
[00:00:50.000 --> 00:00:52.000]  今天應該是我最後七個「我」時
[00:00:52.000 --> 00:00:54.000]  「我」時是葡萄樹
[00:00:54.000 --> 00:00:56.000]  在過去我曾經在其他場合也講過
[00:00:56.000 --> 00:00:57.000]  所以在這個緣故的時候
[00:00:57.000 --> 00:00:59.000]  今天應該是我最後七個「我」時
[00:00:59.000 --> 00:01:02.000]  最後一次的講道
[00:01:02.000 --> 00:01:04.000]  而第六講
[00:01:04.000 --> 00:01:05.000]  就是耶穌說
[00:01:05.000 --> 00:01:08.000]  「我是道路、真理、生命
[00:01:08.000 --> 00:01:13.000]  若不直著我,沒有人能到乎那裡去」
[00:01:13.000 --> 00:01:15.000]  很容易就像這段經文
[00:01:15.000 --> 00:01:16.000]  在這個變動的世代裡
[00:01:16.000 --> 00:01:18.000]  成為我們的安慰
[00:01:18.000 --> 00:01:20.000]  成為我們的鼓勵
[00:01:20.000 --> 00:01:22.000]  我們一起低頭祈禱
[00:01:22.000 --> 00:01:24.000]  「傳遞我天父上來到你自己面前的時候
[00:01:24.000 --> 00:01:28.000]  求你的聖靈親自在我們心裡動功
[00:01:28.000 --> 00:01:31.000]  聖靈因為你是真理的靈
[00:01:31.000 --> 00:01:33.000]  求你教導我們進入真理裡
[00:01:33.000 --> 00:01:35.000]  認識真理、明白真理
[00:01:35.000 --> 00:01:37.000]  以及行出真理
[00:01:37.000 --> 00:01:39.000]  主要願你親自幫助我們
[00:01:39.000 --> 00:01:42.000]  好叫在在每一個都質疑聽你的說話
