
[00:00:00.000 --> 00:00:06.000]  好,大家打招呼,可否給點掌聲敬拜隊
[00:00:06.000 --> 00:00:10.000]  好多謝他們,但我們有一個好敬拜神的時候
[00:00:10.000 --> 00:00:13.000]  而且都知道剛才敬拜隊裡面有些是第一次出隊的
[00:00:13.000 --> 00:00:17.000]  所以可否再給點掌聲鼓勵,第一次出隊的
[00:00:17.000 --> 00:00:22.000]  不知道剛才敬拜裡面你有什麼體會
[00:00:22.000 --> 00:00:27.000]  我有個體會,其中一首詩歌說到憂傷痛悔的靈
[00:00:27.000 --> 00:00:30.000]  有時我也會覺得不知道大家狀態如何
[00:00:30.000 --> 00:00:33.000]  老實說,有時我的狀態也不太好
[00:00:33.000 --> 00:00:37.000]  不過唱這首歌的時候就唱到萬世君王
[00:00:37.000 --> 00:00:41.000]  我就突然間一聲覺得,對呀,不論我狀態如何
[00:00:41.000 --> 00:00:46.000]  可能四月是死亡之月,大家狀態也不太好
[00:00:46.000 --> 00:00:52.000]  但是主要是萬世君王,他仍然要用他的光來光治我們
[00:00:52.000 --> 00:00:55.000]  仍然要將異象托苦給我們
[00:00:55.000 --> 00:01:00.000]  所以希望在敬拜裡面透過詩歌去激勵你們
[00:01:00.000 --> 00:01:03.000]  好,今天我講到
[00:01:03.000 --> 00:01:08.000]  好,好多兩次,不要再好多三次
[00:01:08.000 --> 00:01:15.000]  開始講到,大家記不記得我們青少報年度主題是什麼
[00:01:15.000 --> 00:01:18.000]  我相信你們發夢都記得了
[00:01:18.000 --> 00:01:21.000]  就是什麼
[00:01:21.000 --> 00:01:25.000]  真的不記得了,害羞而已,我知道你們
[00:01:25.000 --> 00:01:31.000]  Shining Eucharist be the light,沒理由上星期才出現探訪
[00:01:31.000 --> 00:01:35.000]  四月的講題就是與受苦者同行
[00:01:35.000 --> 00:01:38.000]  我記得房牧師這樣說
[00:01:38.000 --> 00:01:41.000]  他說,基督教信仰是為他者的信仰
[00:01:41.000 --> 00:01:45.000]  我們的光,不只是我們自己
[00:01:45.000 --> 00:01:50.000]  一群基督徒照照我,大家在這裡,在這裡真好
[00:01:50.000 --> 00:01:55.000]  我們的光應該要照亮道別,在教會外面
[00:01:55.000 --> 00:01:59.000]  所以我們的光應該帶進人群裡面
[00:01:59.000 --> 00:02:02.000]  陪伴受苦的人尋找真光
[00:02:02.000 --> 00:02:07.000]  所以,除了我們上星期的Shining Neighbor
[00:02:07.000 --> 00:02:10.000]  我們還記得新年的時候有Shining Lunar
[00:02:10.000 --> 00:02:13.000]  其實我們已經出了去兩次
[00:02:13.000 --> 00:02:17.000]  代表耶穌拿著禮物去關心我們的社區
[00:02:17.000 --> 00:02:23.000]  不知道你們出門探訪這些清潔的姨姨、叔叔、嬸嬸伯伯
[00:02:23.000 --> 00:02:27.000]  或者基層的街坊的時候,有什麼體會
[00:02:27.000 --> 00:02:30.000]  有機會也想聽聽大家的分享
[00:02:30.000 --> 00:02:34.000]  我相信其中一樣東西,這是我的感受
[00:02:34.000 --> 00:02:36.000]  我相信也是你們的感受,是什麼呢
