
[00:00:00.000 --> 00:00:02.720]  大嬸姐妹平安
[00:00:02.720 --> 00:00:08.120]  可不可以給予一掌聲勁敗隊和一班服侍的大嬸姐妹
[00:00:08.120 --> 00:00:13.480]  可能你一離開就會看到今天的平均年齡比較大
[00:00:13.480 --> 00:00:19.120]  因為是一些比較年長的年輕人
[00:00:19.120 --> 00:00:21.120]  可不可以再一次給予一掌聲
[00:00:21.120 --> 00:00:25.240]  我看到今天第一次來的朋友
[00:00:25.240 --> 00:00:27.000]  我不叫大家舉手了
[00:00:27.000 --> 00:00:29.840]  第一次都好一點,第二次可能會尷尬一點
[00:00:29.840 --> 00:00:32.880]  給予第一次來的朋友掌聲
[00:00:32.880 --> 00:00:34.880]  我不知道你在哪裏
[00:00:34.880 --> 00:00:38.960]  我也不知道今天第一次回來的朋友
[00:00:38.960 --> 00:00:40.960]  是誰帶你回來
[00:00:40.960 --> 00:00:44.400]  我想你先看看帶你回來的人
[00:00:44.400 --> 00:00:48.880]  你看著他的樣子應該都是好人
[00:00:48.880 --> 00:00:51.920]  所以今天應該不會有什麼事
[00:00:51.920 --> 00:00:54.880]  你也看著我的樣子應該是好人
[00:00:54.880 --> 00:00:56.160]  所以應該沒什麼事
[00:00:56.160 --> 00:00:57.360]  我先介紹我自己
[00:00:57.360 --> 00:01:02.080]  我叫凌峰,是青少部的傳道人
[00:01:02.080 --> 00:01:05.440]  今天我不知道你回來的時候
[00:01:05.440 --> 00:01:09.840]  帶你回來的人有什麼要跟你說
[00:01:09.840 --> 00:01:11.840]  怎樣叫你回來
[00:01:11.840 --> 00:01:15.440]  可能你經常都聽很多關於耶穌的東西
[00:01:15.440 --> 00:01:19.440]  今天很想跟大家分享一些訊息
[00:01:19.440 --> 00:01:24.560]  我給了一個主題,今次的主題叫做破曉
[00:01:24.560 --> 00:01:28.080]  不知道大家知不知道破曉是什麼
[00:01:28.080 --> 00:01:30.080]  如果你上google搜尋一下
[00:01:30.080 --> 00:01:33.920]  你應該知道破曉是形容黎明的時候
[00:01:33.920 --> 00:01:39.440]  剛剛天開始亮,開始有日出的時期
