
[00:00:00.000 --> 00:00:03.360]  今天雲達也有說
[00:00:03.360 --> 00:00:07.520]  我們第一次的系列是「職場行者」
[00:00:07.520 --> 00:00:10.400]  我想問誰現在都在上班
[00:00:10.400 --> 00:00:11.840]  可否揮手
[00:00:11.840 --> 00:00:13.280]  哇 全部
[00:00:13.280 --> 00:00:14.920]  對了 正適合你們
[00:00:14.920 --> 00:00:18.600]  希望今天的訊息可以成為我們的幫助
[00:00:18.600 --> 00:00:22.440]  做事我們身為香港人
[00:00:22.440 --> 00:00:25.280]  有句常說的
[00:00:25.280 --> 00:00:28.640]  「辛苦搵尼自在食」
[00:00:28.640 --> 00:00:34.720]  辛苦工作當然要吃一餐好的
[00:00:34.720 --> 00:00:38.560]  現在網上有個測驗
[00:00:38.560 --> 00:00:42.400]  就是看看那些人吃飯的習慣
[00:00:42.400 --> 00:00:43.400]  出了是嗎
[00:00:43.400 --> 00:00:45.400]  可以出一下PowerPoint
[00:00:45.400 --> 00:00:47.920]  如果你用膳的習慣
[00:00:47.920 --> 00:00:50.840]  就表達你職場的個性
[00:00:50.840 --> 00:00:52.320]  有四種的
[00:00:52.320 --> 00:00:55.200]  你叫東西吃
[00:00:55.200 --> 00:00:57.200]  我指上班的時候
[00:00:57.200 --> 00:00:59.440]  不是去吃「鵝媽沙K」
[00:00:59.440 --> 00:01:01.040]  不是廚師發辦
[00:01:01.040 --> 00:01:04.640]  你吃碟頭飯或叫碗的「車仔麵」
[00:01:04.640 --> 00:01:06.240]  你會先吃甚麼
[00:01:06.240 --> 00:01:08.240]  你先吃喜歡的東西
[00:01:08.240 --> 00:01:09.440]  如果是我
[00:01:09.440 --> 00:01:11.840]  我一定是先吃菜
[00:01:11.840 --> 00:01:14.640]  最後那粒貢丸或牛丸
[00:01:14.640 --> 00:01:16.640]  我才吃
[00:01:16.640 --> 00:01:20.320]  或者你先吃最不喜歡的
[00:01:20.320 --> 00:01:21.320]  這樣
[00:01:21.320 --> 00:01:23.120]  有四種的
[00:01:23.120 --> 00:01:24.120]  不過我講兩種
[00:01:24.120 --> 00:01:26.120]  喜歡先吃喜歡的東西
[00:01:26.120 --> 00:01:28.120]  先吃牛丸或貢丸
[00:01:28.120 --> 00:01:30.440]  那些人很會利用時間
