
[00:00:00.000 --> 00:00:02.000]  大家有沒有見過螞蟻?
[00:00:02.000 --> 00:00:04.000]  有
[00:00:04.000 --> 00:00:09.000]  有沒有人專心研究螞蟻的走法?
[00:00:09.000 --> 00:00:12.000]  沒有吧?
[00:00:12.000 --> 00:00:15.000]  我今天的講題是"隨事後命"
[00:00:15.000 --> 00:00:23.000]  曾經在我家裡有蟻災
[00:00:23.000 --> 00:00:26.000]  大家知道蟻災是怎樣的嗎?
[00:00:27.000 --> 00:00:28.000]  是怎樣的?
[00:00:28.000 --> 00:00:31.000]  到處都是
[00:00:31.000 --> 00:00:33.000]  什麼地方都是
[00:00:33.000 --> 00:00:37.000]  我們家裡甚至有床
[00:00:37.000 --> 00:00:39.000]  真的很恐怖
[00:00:39.000 --> 00:00:41.000]  我最小的兒子很特別
[00:00:41.000 --> 00:00:51.000]  他說"媽媽,蟻不是一般的特別,它是超級特別,它可以無處不在"
[00:00:52.000 --> 00:00:57.000]  他說"在我掉了一粒飯沒多久,它就會有一群蟻"
[00:00:57.000 --> 00:01:02.000]  可想而知我們家裡的蟻患情況是多麼嚴重
[00:01:02.000 --> 00:01:07.000]  我想和大家講一下,我和小朋友講了一個醫術語言
[00:01:07.000 --> 00:01:09.000]  是關於螞蟻的
[00:01:09.000 --> 00:01:12.000]  這個醫術語言是這樣說的
[00:01:12.000 --> 00:01:18.000]  他說"炎炎夏日里,螞蟻大汗搭小汗搬食物"
[00:01:19.000 --> 00:01:25.000]  他說"在家裡有蟻患的時候,一見到食物就會有很多,一堆來到當中"
[00:01:25.000 --> 00:01:34.000]  "它們大汗搭小汗搬食物,一批又一批搬食物去到巢穴里"
[00:01:34.000 --> 00:01:36.000]  原來蟻後是怎樣的?
[00:01:36.000 --> 00:01:38.000]  不會出場的
[00:01:39.000 --> 00:01:51.000]  原來我上網看過有蟻兵,有些是兵,有些是工,有些是防禦的,幾只
[00:01:51.000 --> 00:01:54.000]  有些是打仗的,有些是找食物的
[00:01:54.000 --> 00:02:04.000]  原來它們很早之前,炎炎夏日,它們已經採集了糧食來到它們的洞穴里
[00:02:05.000 --> 00:02:12.000]  螞蟻就見到炸螞,炸螞就在路邊,它就在那裡"載歌載舞"
[00:02:12.000 --> 00:02:20.000]  它很不肖地跟螞蟻說"你們在這裡做什麼?世界上那麼多食物,吃多了也吃不完"
[00:02:20.000 --> 00:02:30.000]  "為什麼你們還要浪費時間,浪費體力,將一些又一些的食物收集起來,簡直就是浪費人生"
[00:02:31.000 --> 00:02:37.000]  "不如你們放下手上的工作,跟我一起盡情地吃喝,唱歌,跳舞吧"
[00:02:37.000 --> 00:02:45.000]  "正所謂人生得意,做什麼?雖盡歡,莫使金瓶,空對月"
[00:02:45.000 --> 00:02:50.000]  不過螞蟻並沒有將炸螞的說話放在心上
[00:02:51.000 --> 00:03:01.000]  而矮後在巢里指揮螞蟻出動,埋頭苦幹,默默耕耘地搬食物,不停地搬
