
[00:00:00.000 --> 00:00:07.000]  早安,弟兄姊妹,新年快樂!
[00:00:07.000 --> 00:00:12.000]  在我們講道之前,我們同心有個禱告
[00:00:12.000 --> 00:00:14.000]  真愛天父,感謝祢
[00:00:14.000 --> 00:00:19.000]  讓我們在今年新的一年,新的開始
[00:00:19.000 --> 00:00:23.000]  讓我們一起回到教會裏面,可以一同去敬拜祢
[00:00:23.000 --> 00:00:25.000]  我們實在很感謝
[00:00:25.000 --> 00:00:27.000]  主要求祢打開我們的心
[00:00:27.000 --> 00:00:32.000]  讓我們的心都被神的愛去觸動、提醒和幫助
[00:00:32.000 --> 00:00:35.000]  讓我們的生命有更生、有改變
[00:00:35.000 --> 00:00:38.000]  奉主耶穌基督之名,祈求,阿們
[00:00:38.000 --> 00:00:44.000]  我曾經在團契裏面帶過一個遊戲
[00:00:44.000 --> 00:00:47.000]  叫做兩真一假
[00:00:47.000 --> 00:00:49.000]  不知道有沒有人玩過
[00:00:49.000 --> 00:00:51.000]  沒有人玩過就對了
[00:00:51.000 --> 00:00:56.000]  我現在講出三件關於我自己的事
[00:00:56.000 --> 00:00:58.000]  臨時認識我的人不要緊
[00:00:58.000 --> 00:01:00.000]  你大概猜猜
[00:01:00.000 --> 00:01:05.000]  兩件事是真的,其中有一件是假的
[00:01:05.000 --> 00:01:08.000]  大家猜猜哪件是假的
[00:01:08.000 --> 00:01:11.000]  第一,我有兩個哥哥
[00:01:11.000 --> 00:01:17.000]  第二,我曾經參加過歌唱比賽,拿過季軍
[00:01:17.000 --> 00:01:23.000]  第三,我曾經參與演出過一套話劇
[00:01:23.000 --> 00:01:27.000]  我曾經參與演出過一套話劇
[00:01:27.000 --> 00:01:31.000]  我曾經參與演出過一套話劇
[00:01:31.000 --> 00:01:34.000]  我曾經參與演出過一套話劇
[00:01:34.000 --> 00:01:37.000]  我曾經參與演出過一套話劇
[00:01:37.000 --> 00:01:40.000]  我曾經參與演出過一套話劇
[00:01:40.000 --> 00:01:43.000]  我曾經參與演出過一套話劇
[00:01:43.000 --> 00:01:46.000]  我曾經參與演出過一套話劇
[00:01:46.000 --> 00:01:49.000]  我曾經參與演出過一套話劇
[00:01:49.000 --> 00:01:53.000]  我曾經參與演出過一套話劇
[00:01:53.000 --> 00:01:56.000]  都很不知所措
[00:01:56.000 --> 00:02:00.000]  答案都是呼之欲出
[00:02:00.000 --> 00:02:03.000]  大家覺得我不懂唱歌
[00:02:03.000 --> 00:02:07.000]  我其實有參加過歌唱比賽
[00:02:07.000 --> 00:02:11.000]  不過我未入圍被人叮走了
[00:02:11.000 --> 00:02:14.000]  所以我沒有拿過季軍
[00:02:14.000 --> 00:02:17.000]  其實玩這個遊戲
[00:02:17.000 --> 00:02:21.000]  開始時覺得有點困難
[00:02:21.000 --> 00:02:23.000]  為甚麼呢
[00:02:23.000 --> 00:02:25.000]  你要說假話的時候
[00:02:25.000 --> 00:02:28.000]  要說謊話
[00:02:28.000 --> 00:02:31.000]  有時說得太浮誇
[00:02:31.000 --> 00:02:34.000]  有些人就會識穿你
[00:02:34.000 --> 00:02:37.000]  我玩熟了這個遊戲後
[00:02:37.000 --> 00:02:41.000]  嘗試做得不太雀跡
[00:02:41.000 --> 00:02:44.000]  再加上少少演技
[00:02:44.000 --> 00:02:47.000]  聽起來就像真的一樣
[00:02:47.000 --> 00:02:50.000]  原來只要在真實的事上
[00:02:50.000 --> 00:02:52.000]  加少少、減少少
[00:02:52.000 --> 00:02:55.000]  就會自然騙到人
[00:02:55.000 --> 00:02:59.000]  甚至連自己也被騙
[00:02:59.000 --> 00:03:02.000]  真假有時很難分辨
[00:03:02.000 --> 00:03:04.000]  看上去好像很真
[00:03:04.000 --> 00:03:06.000]  但原來是假的
[00:03:06.000 --> 00:03:08.000]  例如我們知道
[00:03:08.000 --> 00:03:12.000]  這個世界有很多騙案
[00:03:12.000 --> 00:03:14.000]  有些人扮你的朋友
[00:03:14.000 --> 00:03:16.000]  叫你買點數卡
[00:03:16.000 --> 00:03:19.000]  現在流行買點數卡嗎
[00:03:19.000 --> 00:03:22.000]  所以我當然不會幫他買
[00:03:22.000 --> 00:03:24.000]  或者有人扮你家人
[00:03:24.000 --> 00:03:26.000]  叫你匯錢給他
[00:03:26.000 --> 00:03:28.000]  有試過嗎
[00:03:28.000 --> 00:03:30.000]  大家很聰明
[00:03:30.000 --> 00:03:32.000]  可能買一雙球鞋
[00:03:32.000 --> 00:03:34.000]  買件衣服
[00:03:34.000 --> 00:03:36.000]  都有是假的
[00:03:36.000 --> 00:03:38.000]  在信徒群體裏
[00:03:38.000 --> 00:03:40.000]  當我們環顧身邊很多基督徒時
[00:03:40.000 --> 00:03:42.000]  我們不難發現
[00:03:42.000 --> 00:03:44.000]  當中有些人
[00:03:44.000 --> 00:03:48.000]  他們的生命就像沒有信神的人一樣
[00:03:48.000 --> 00:03:50.000]  他說自己信耶穌
[00:03:50.000 --> 00:03:53.000]  他每個星期都有回教會
[00:03:53.000 --> 00:03:55.000]  回團契
[00:03:55.000 --> 00:03:57.000]  但他們又沒有看聖經
[00:03:57.000 --> 00:03:59.000]  又沒有祈禱
[00:03:59.000 --> 00:04:01.000]  生命見證更加沒有
[00:04:01.000 --> 00:04:05.000]  甚至和一個未信的人沒分別
[00:04:05.000 --> 00:04:07.000]  你會發現他們的生命
[00:04:07.000 --> 00:04:10.000]  和信仰根本扯不上關係
[00:04:10.000 --> 00:04:12.000]  頂姐妹
