
[00:00:00.000 --> 00:00:02.000]  頂展會主女平安
[00:00:02.000 --> 00:00:05.000]  在講道之先讓我們一起禱告
[00:00:05.000 --> 00:00:09.000]  將整個崇拜的正道交給神
[00:00:09.000 --> 00:00:11.000]  慈悲人愛的天父
[00:00:11.000 --> 00:00:12.000]  滿心感謝你
[00:00:12.000 --> 00:00:15.000]  我們能夠有口有耳
[00:00:15.000 --> 00:00:16.000]  可以宣講
[00:00:16.000 --> 00:00:18.000]  可以聆聽你的說話
[00:00:18.000 --> 00:00:21.000]  是上帝給我們一份恩賢
[00:00:21.000 --> 00:00:25.000]  願我們不只是陶醉在2022年
[00:00:25.000 --> 00:00:27.000]  我們的感恩裡面
[00:00:27.000 --> 00:00:30.000]  我們更懂得在感恩裡面
[00:00:30.000 --> 00:00:33.000]  去尋找2023年
[00:00:33.000 --> 00:00:35.000]  人生的目標
[00:00:35.000 --> 00:00:37.000]  繼續前進
[00:00:37.000 --> 00:00:39.000]  因為我們不是停留
[00:00:39.000 --> 00:00:41.000]  而是繼續前進
[00:00:41.000 --> 00:00:44.000]  能夠撫摸到你的心意的時候
[00:00:44.000 --> 00:00:46.000]  我們不枉此生
[00:00:46.000 --> 00:00:49.000]  求你因代孩子所講的
[00:00:49.000 --> 00:00:51.000]  也是祝福聽的
[00:00:51.000 --> 00:00:54.000]  我們同蒙得著這份的保守
[00:00:54.000 --> 00:00:55.000]  傳言的交託
[00:00:55.000 --> 00:00:57.000]  奉主耶穌基督的名字
[00:00:57.000 --> 00:00:58.000]  阿門
[00:00:58.000 --> 00:01:03.000]  今天是2023年第一個主日
[00:01:03.000 --> 00:01:05.000]  同時也是聖餐主日
[00:01:05.000 --> 00:01:07.000]  是一個新的開始
[00:01:07.000 --> 00:01:09.000]  對於猶太人來說
[00:01:09.000 --> 00:01:13.000]  上個星期他們去感恩
[00:01:13.000 --> 00:01:16.000]  因為上帝給他們有衣有食
[00:01:16.000 --> 00:01:18.000]  生命得著保守
[00:01:18.000 --> 00:01:20.000]  他們去感謝神
[00:01:20.000 --> 00:01:22.000]  因為沒有什麼是必然的
[00:01:22.000 --> 00:01:25.000]  然而他們不會停留在這個階段
[00:01:25.000 --> 00:01:27.000]  因為他們知道上帝是一個
[00:01:27.000 --> 00:01:29.000]  昔在今在永在的神
[00:01:29.000 --> 00:01:32.000]  所以他們開始每一年的時候
[00:01:32.000 --> 00:01:35.000]  他們會定他們的人生的目標
[00:01:35.000 --> 00:01:37.000]  向著上帝給他們的旨意
[00:01:37.000 --> 00:01:39.000]  繼續前進
[00:01:39.000 --> 00:01:41.000]  今天就很想
[00:01:41.000 --> 00:01:43.000]  是和大家在新的一年
[00:01:43.000 --> 00:01:46.000]  和大家一起去學立願
[00:01:46.000 --> 00:01:48.000]  去怎樣愛惜剛恩
[00:01:48.000 --> 00:01:50.000]  剛恩基本上就是時間
[00:01:50.000 --> 00:01:52.000]  在開始之前
[00:01:52.000 --> 00:01:54.000]  我也很想和大家看看
[00:01:54.000 --> 00:01:57.000]  古今中外的人怎樣看時間
[00:01:57.000 --> 00:02:01.000]  這裡出
[00:02:01.000 --> 00:02:02.000]  後面
[00:02:02.000 --> 00:02:03.000]  前面看不到
[00:02:03.000 --> 00:02:04.000]  OK
[00:02:04.000 --> 00:02:05.000]  剛恩是什麼呢?
[00:02:05.000 --> 00:02:07.000]  剛恩基本上就是時間
[00:02:07.000 --> 00:02:11.000]  淮南子說什麼呢?
[00:02:11.000 --> 00:02:13.000]  聖人是不畏赤之壁
[00:02:13.000 --> 00:02:15.000]  而重寸之陰
[00:02:15.000 --> 00:02:17.000]  意思是說
[00:02:17.000 --> 00:02:19.000]  時間是非常難得到的
[00:02:19.000 --> 00:02:23.000]  卻是非常容易就會失去
[00:02:23.000 --> 00:02:29.000]  漢諾夫長行歌是這樣說的
[00:02:29.000 --> 00:02:32.000]  這個我相信大家都多些人認識
[00:02:32.000 --> 00:02:37.000]  他說「百川東渡海,何時復西歸?」
[00:02:37.000 --> 00:02:39.000]  根本是沒有可能的意思
[00:02:39.000 --> 00:02:40.000]  而歇後一句就說
[00:02:40.000 --> 00:02:44.000]  「少壯不努力,老大徒傷悲。」
[00:02:44.000 --> 00:02:46.000]  過了就沒有了
[00:02:46.000 --> 00:02:48.000]  後悔都回不去
[00:02:49.000 --> 00:02:53.000]  而德國的詩人文學家戈德怎樣說呢?
[00:02:53.000 --> 00:02:57.000]  他就將時間看成為自己的財產
[00:02:57.000 --> 00:03:01.000]  這是上帝給我們每一個人自己的財產
[00:03:01.000 --> 00:03:04.000]  近代魯迅先生
[00:03:04.000 --> 00:03:07.000]  他說的我覺得更加貼切
[00:03:07.000 --> 00:03:10.000]  他說「時間就是生命。」
[00:03:10.000 --> 00:03:13.000]  無端端虛耗別人的時間
[00:03:13.000 --> 00:03:16.000]  無異於謀財害命
[00:03:16.000 --> 00:03:19.000]  這個是不是很嚴重?
[00:03:19.000 --> 00:03:23.000]  然而如果你反過來想
[00:03:23.000 --> 00:03:26.000]  別人浪費你的時間就謀財害命
[00:03:26.000 --> 00:03:29.000]  如果你自己浪費自己的時間
[00:03:29.000 --> 00:03:32.000]  那你的答案應該是什麼呢?
[00:03:32.000 --> 00:03:33.000]  我賣個關子
[00:03:33.000 --> 00:03:35.000]  其實你自己心裡有數
[00:03:35.000 --> 00:03:36.000]  是不是?
[00:03:36.000 --> 00:03:41.000]  最後我很想和大家去看的就是保羅
[00:03:41.000 --> 00:03:44.000]  試圖保羅怎樣看時間
[00:03:44.000 --> 00:03:46.000]  時間觀又是什麼呢?
[00:03:46.000 --> 00:03:51.000]  我很想藉著保羅對已忽所教會的信徒提醒
[00:03:51.000 --> 00:03:53.000]  作為一個藍本
[00:03:53.000 --> 00:03:57.000]  成為我們2023年開始的時候的立志
[00:03:57.000 --> 00:04:01.000]  讓我們先去讀已忽所書這幾節的經文
[00:04:01.000 --> 00:04:07.000]  我今天會和大家讀一個漢語聖經的譯本
[00:04:07.000 --> 00:04:12.000]  好,邀請大家我們一起去讀
[00:04:12.000 --> 00:04:16.000]  所以你們行事為人要謹慎
[00:04:16.000 --> 00:04:19.000]  不要像沒有智慧的人
[00:04:19.000 --> 00:04:24.000]  要像有智慧的人好好把握時機
[00:04:24.000 --> 00:04:27.000]  因為現今的日子邪惡
[00:04:27.000 --> 00:04:31.000]  因此你們不要作愚昧人
[00:04:31.000 --> 00:04:35.000]  要領悟主的旨意是什麼
[00:04:35.000 --> 00:04:39.000]  這段經文裡面如果用到漢語聖經的譯本
