
[00:00:00.000 --> 00:00:03.960]  今天是第四子行主日
[00:00:03.960 --> 00:00:06.280]  有沒有去拍打卡位呢?
[00:00:06.280 --> 00:00:08.920]  沿路上來由荔枝角
[00:00:08.920 --> 00:00:15.160]  上到來就會去到北區的第四子站
[00:00:15.160 --> 00:00:18.480]  究竟是上水、粉嶺還是其他地方呢?
[00:00:18.480 --> 00:00:20.680]  還沒告訴我們
[00:00:20.680 --> 00:00:21.800]  還在找
[00:00:21.800 --> 00:00:24.080]  我們看一段影片
[00:00:24.080 --> 00:00:26.640]  介紹一下我們的過程
[00:00:28.880 --> 00:00:31.640]  兩姐妹很開心在這裡分享一堂多子
[00:00:31.640 --> 00:00:34.080]  我們這個政策的深化
[00:00:34.080 --> 00:00:35.760]  隨著北部區域的開發
[00:00:35.760 --> 00:00:38.440]  我們估計將會有更多年輕的家庭
[00:00:38.440 --> 00:00:40.080]  會去到那區居住
[00:00:40.080 --> 00:00:42.480]  同時隨著人口中位數的上漲
[00:00:42.480 --> 00:00:45.200]  很多長輩可能都需要留在自己的社區裡
[00:00:45.200 --> 00:00:46.840]  尋求一個屬靈的群體
[00:00:46.840 --> 00:00:49.240]  在今年我們很感恩
[00:00:49.240 --> 00:00:51.280]  由建立牧師、二名牧師
[00:00:51.280 --> 00:00:53.600]  和他們的隊工已經籌組起來
[00:00:53.600 --> 00:00:57.240]  在北區尋找上帝給他們的禍祥和機遇
[00:00:57.240 --> 00:00:59.400]  很期望你們都能夠一起參與
[00:00:59.400 --> 00:01:02.520]  特別我們期望在未來的日子
[00:01:02.520 --> 00:01:03.840]  我們幾間的子堂
[00:01:03.840 --> 00:01:05.720]  連同新的子堂和母堂一起
[00:01:05.720 --> 00:01:06.880]  無論在宣教上
[00:01:06.880 --> 00:01:08.720]  無論在我們的神學上
[00:01:08.720 --> 00:01:11.120]  彼此結緣成為更有力的群體
[00:01:11.120 --> 00:01:14.080]  回應上帝在恩福家所攀下的照明
[00:01:14.080 --> 00:01:15.800]  願意你都能夠一起參與
[00:01:15.800 --> 00:01:17.680]  支持第四子的開展
[00:01:17.680 --> 00:01:25.560]  過去幾年香港社會的氣氛急劇地轉變
[00:01:25.560 --> 00:01:27.840]  移民的浪潮持續出現
[00:01:27.840 --> 00:01:29.840]  經濟發展下行
[00:01:29.840 --> 00:01:33.480]  所以難免我們都會面對異常的挑戰
[00:01:33.480 --> 00:01:36.200]  但是教會和社會很不同的地方
[00:01:36.200 --> 00:01:37.600]  就是信仰的群體
[00:01:37.600 --> 00:01:40.400]  我們相信神的同在
[00:01:40.400 --> 00:01:43.160]  所以社會面對的挑戰越大
[00:01:43.160 --> 00:01:46.440]  教會的使命和責任就更加大
[00:01:46.440 --> 00:01:49.360]  在第四子堂的發展策略上面
[00:01:49.360 --> 00:01:52.680]  由最初的啟德新發展區到東涌
[00:01:52.680 --> 00:01:55.400]  最後落實在新界的北區
[00:01:55.400 --> 00:01:57.800]  讓我深深體會神的意念
[00:01:57.800 --> 00:01:59.200]  高過人的意念
[00:01:59.200 --> 00:02:00.000]  每過五年前
[00:02:00.000 --> 00:02:03.280]  第三間子堂都是在夾縫當中成長
[00:02:03.280 --> 00:02:05.960]  但是神的恩典處處
[00:02:05.960 --> 00:02:07.160]  所以我很盼望
[00:02:07.160 --> 00:02:10.720]  我們一起來建立第四間子堂
[00:02:10.720 --> 00:02:13.880]  同心為神的光道來拓展
[00:02:13.880 --> 00:02:18.000]  弟兄姊妹
[00:02:18.000 --> 00:02:20.280]  可能你對北區的認識不多
[00:02:20.280 --> 00:02:22.360]  印象可能停留在偏遠
[00:02:22.360 --> 00:02:24.760]  農地 魚塘 郊區
[00:02:24.760 --> 00:02:27.720]  但是隨著北部都會區的發展
[00:02:27.720 --> 00:02:30.120]  將來北區有很大的轉變
[00:02:30.120 --> 00:02:32.920]  人口和就業機會將會大增
[00:02:32.920 --> 00:02:36.760]  北區也是全港位列第三的貧窮區域
[00:02:36.760 --> 00:02:39.280]  裏面有很多基層人士的需要
[00:02:39.280 --> 00:02:40.880]  我們怎樣可以接觸他們
[00:02:40.880 --> 00:02:42.720]  將福音帶給他們呢?
[00:02:42.720 --> 00:02:43.480]  嗯
[00:02:43.480 --> 00:02:44.160]  見諒
[00:02:44.160 --> 00:02:46.800]  這個真是很值得我們思考的課題
[00:02:46.800 --> 00:02:50.120]  《已忽索須二章》提到要傳和平的福音
[00:02:50.120 --> 00:02:51.720]  無論給遠處的人
[00:02:51.720 --> 00:02:53.320]  還是近處的人
[00:02:53.320 --> 00:02:54.760]  第四子堂的開展
[00:02:54.760 --> 00:02:58.240]  正是要回應本地宣教的需要
[00:02:58.240 --> 00:03:01.040]  我們很想跨越地理和文化
[00:03:01.040 --> 00:03:03.480]  將福音帶給北區的居民
[00:03:03.480 --> 00:03:05.520]  弟兄姊妹邀請你禱告
[00:03:05.520 --> 00:03:09.200]  求主讓你看見本地宣教的角色
[00:03:09.200 --> 00:03:12.600]  讓我們用基督的愛一起建立神的國
[00:03:12.600 --> 00:03:15.800]  四子宣教齊起黨
[00:03:15.800 --> 00:03:16.920]  快樂建國
[00:03:16.920 --> 00:03:17.800]  Let's go
[00:03:17.800 --> 00:03:18.520]  好
[00:03:18.520 --> 00:03:24.840]  (聖詩歌曲)
[00:03:24.840 --> 00:03:27.840]  今天是第四子堂的主人
