
[00:00:00.000 --> 00:00:02.000]  好,弟兄姐妹,早安
[00:00:02.000 --> 00:00:03.000]  早安
[00:00:03.000 --> 00:00:07.000]  好,你的回應真是很可靠
[00:00:07.000 --> 00:00:12.000]  我不知道你在敬拜中有甚麼感覺
[00:00:12.000 --> 00:00:15.000]  剛才阿君上來時跟我說了一個假
[00:00:15.000 --> 00:00:22.000]  他說打風會吹走崇拜,如剛剛蓮詠姐姐所說
[00:00:22.000 --> 00:00:27.000]  他又說因為我上台趕到,所以有颱風
[00:00:27.000 --> 00:00:32.000]  你這次的回應真是很可怕
[00:00:32.000 --> 00:00:37.000]  好,我猜是很特別的
[00:00:37.000 --> 00:00:43.000]  上星期我們高中崇拜打風吹走我們的敬拜祭尾會
[00:00:43.000 --> 00:00:44.000]  到昨天才有
[00:00:44.000 --> 00:00:47.000]  但我不知道你珍不珍惜你回來敬拜的時候
[00:00:47.000 --> 00:00:50.000]  你又問問你鄰居,幫我問問他
[00:00:50.000 --> 00:00:55.000]  你今天是父母,是家人帶你回來,還是你自願回來
[00:00:55.000 --> 00:00:57.000]  你幫我問問你鄰居
[00:00:57.000 --> 00:01:01.000]  如果他說他自願回來,你說他欣賞你
[00:01:01.000 --> 00:01:05.000]  如果他說是父母,是家人帶他回來
[00:01:05.000 --> 00:01:10.000]  你也鼓勵他,希望他下次回來選擇
[00:01:10.000 --> 00:01:13.000]  我們進入今天的經文講道
[00:01:13.000 --> 00:01:19.000]  我想跟大家分享一個我近來的經歷
[00:01:19.000 --> 00:01:25.000]  我猜這是近年我們在街上會見到的現象
[00:01:25.000 --> 00:01:30.000]  話說有一天我和我老婆去街上,去尖沙咀拍拖
[00:01:30.000 --> 00:01:35.000]  經過…不要出這張圖,其實透了
[00:01:35.000 --> 00:01:41.000]  經過海港城,打算去海旁走走拍拖
[00:01:41.000 --> 00:01:45.000]  一出海港城,大家知道有個位置是可以看日落的
[00:01:45.000 --> 00:01:51.000]  看到恐龍,然後突然間見到很多人
[00:01:51.000 --> 00:01:57.000]  那些是甚麼人呢?那裡有一群不同年紀的女士
[00:01:57.000 --> 00:02:01.000]  少女,甚至小朋友
[00:02:01.000 --> 00:02:06.000]  但他們這群人是很特別的
