
[00:00:00.000 --> 00:00:05.680]  在講道之前 我們想一齊同心禱告
[00:00:05.680 --> 00:00:11.120]  慈悲的天父 感謝祢
[00:00:11.120 --> 00:00:14.320]  讓我們可以回來教會 一齊去敬拜祢
[00:00:14.320 --> 00:00:18.000]  求主祢打開我們的心 聆聽神祢的話語
[00:00:18.000 --> 00:00:20.960]  也給神祢的話語提醒和幫助
[00:00:20.960 --> 00:00:24.000]  叫我們成為聖潔蒙神所愛的人
[00:00:24.000 --> 00:00:27.120]  奉主耶穌基督之名祈求 阿們
[00:00:27.120 --> 00:00:30.480]  好 首先歡迎大家
[00:00:30.480 --> 00:00:34.480]  我想問問大家一個問題
[00:00:34.480 --> 00:00:38.960]  在你們心裡面 有沒有收藏一些秘密
[00:00:38.960 --> 00:00:42.320]  是不想被人知道的 有沒有
[00:00:42.320 --> 00:00:44.560]  舉手 有的
[00:00:44.560 --> 00:00:48.400]  我看到有人沒有舉手
[00:00:48.400 --> 00:00:50.880]  應該一定有的
[00:00:50.880 --> 00:00:54.160]  例如我問你 你銀行戶口有多少錢
[00:00:54.160 --> 00:00:56.640]  誰覺得是一個秘密
[00:00:56.640 --> 00:00:59.760]  誰覺得不是秘密
[00:00:59.760 --> 00:01:03.840]  很歡迎告訴別人 你銀行有很多錢
[00:01:03.840 --> 00:01:08.000]  又或者我問你 你今年多少歲
[00:01:08.000 --> 00:01:10.000]  誰覺得是秘密
[00:01:10.000 --> 00:01:12.960]  又是不是秘密
[00:01:12.960 --> 00:01:16.160]  我隨便問一個 他都會說
[00:01:16.160 --> 00:01:19.120]  那邊應該會說的
[00:01:19.120 --> 00:01:21.920]  19歲嗎 26歲
[00:01:21.920 --> 00:01:25.440]  年年都25歲 減1歲給你
[00:01:25.440 --> 00:01:28.720]  可能有些人會很介意
[00:01:28.720 --> 00:01:30.720]  但有些人就不介意
[00:01:30.720 --> 00:01:33.120]  為什麼呢 因為他長得很年輕
[00:01:33.120 --> 00:01:35.120]  讓你知道有什麼所謂
[00:01:35.120 --> 00:01:38.080]  我已經60歲了 長到30多歲
[00:01:38.080 --> 00:01:40.480]  是不是不介意告訴你
[00:01:40.480 --> 00:01:45.680]  秘密通常是什麼呢
[00:01:45.680 --> 00:01:49.200]  你刻意去隱瞞 或者不想公開
[00:01:49.200 --> 00:01:53.600]  或者只是想少數的人知道的資訊
[00:01:53.600 --> 00:01:58.000]  特別是有些你不能說的秘密
[00:01:58.000 --> 00:02:00.400]  例如我們做錯了一些事
[00:02:00.400 --> 00:02:02.880]  或者我們想一些不好的事
[00:02:02.880 --> 00:02:05.680]  或者我們犯罪 得罪神
[00:02:05.680 --> 00:02:09.760]  這些我們絕對不想別人知道
[00:02:09.760 --> 00:02:12.720]  就好像約書亞記第七章裏面
[00:02:12.720 --> 00:02:15.680]  有一個人在他的人生裏面
[00:02:15.680 --> 00:02:18.000]  他都藏起了一個秘密
[00:02:18.000 --> 00:02:20.960]  絕對不想任何人知道
[00:02:20.960 --> 00:02:24.320]  究竟這個秘密如何影響他自己
[00:02:24.320 --> 00:02:27.200]  身邊的人 甚至整個群體呢
[00:02:27.200 --> 00:02:30.400]  我們今天會一起來看這段經文
[00:02:30.400 --> 00:02:36.640]  今天我宣告經文在約書亞記的七章一至二十六節
[00:02:36.640 --> 00:02:39.600]  很長的 看到裏面的字都很細粒
[00:02:39.600 --> 00:02:41.600]  不用怕 我不會看完的
[00:02:41.600 --> 00:02:43.600]  不會要大家讀完的
[00:02:43.600 --> 00:02:45.600]  在進入經文之前
[00:02:45.600 --> 00:02:48.560]  我想講一下這段經文的一些背景
[00:02:48.560 --> 00:02:52.480]  自從摩西死了之後
[00:02:52.480 --> 00:02:54.480]  是誰接手呢?
[00:02:54.480 --> 00:02:56.480]  約書亞
[00:02:56.480 --> 00:03:00.720]  他帶領以色列人離開曠野過約旦河
[00:03:00.720 --> 00:03:04.240]  亦經歷了很多國禮 守禦月節
[00:03:04.240 --> 00:03:08.160]  其實每一幕都見證上帝的大能
[00:03:08.160 --> 00:03:10.160]  到了第六章
[00:03:10.160 --> 00:03:14.640]  以色列人圍繞耶利哥城七天
[00:03:14.640 --> 00:03:19.440]  大聲喊了一聲 聖場就倒塌了
[00:03:19.440 --> 00:03:23.440]  約書亞因為這樣一夜成名
[00:03:23.440 --> 00:03:27.440]  一戰成名 全軍士氣非常高昂
[00:03:27.440 --> 00:03:29.440]  但一進入第七章
[00:03:29.440 --> 00:03:33.680]  這章可以說是整本書中最沉重
[00:03:33.680 --> 00:03:38.960]  亦都很戲劇性的一章節
[00:03:38.960 --> 00:03:44.080]  上一刻他還在耶利哥城贏得開巷
[00:03:44.080 --> 00:03:48.160]  下一刻在艾城書中損手爛腳
[00:03:48.160 --> 00:03:52.800]  耶利哥城牆的倒塌是上帝的神蹟
[00:03:52.800 --> 00:03:58.160]  但艾城的戰敗竟然是人為的因素
[00:03:58.160 --> 00:04:04.320]  原來隱藏在軍營裏面有一個不為人知的秘密
[00:04:04.320 --> 00:04:08.560]  今天我們就一起去看看這個秘密
[00:04:08.560 --> 00:04:12.000]  很想透過這段經文去反思
[00:04:12.000 --> 00:04:17.200]  究竟我們的生命裏面有沒有都隱藏了一些罪
[00:04:17.200 --> 00:04:20.400]  或者已經成為了生命的破口
[00:04:20.400 --> 00:04:23.920]  去影響你身邊的人甚至群體
[00:04:23.920 --> 00:04:27.120]  面對失敗或者管教
[00:04:27.120 --> 00:04:30.560]  我們怎樣可以將這個軟弱轉化
[00:04:30.560 --> 00:04:33.520]  成為重新得勝的契機呢?
[00:04:33.520 --> 00:04:39.520]  我很想大家一起去中讀七章二至三節
[00:04:39.520 --> 00:04:44.960]  「約書亞從耶利哥派人往伯特利東邊
[00:04:44.960 --> 00:04:48.320]  靠近伯雅文的艾城去
[00:04:48.320 --> 00:04:52.480]  對他們說:你們想去窺探那地
[00:04:52.480 --> 00:04:56.000]  那些人就上去窺探艾城
[00:04:56.000 --> 00:04:59.120]  他們回到約書亞那裏
[00:04:59.120 --> 00:05:02.960]  對他說:眾百姓不必都上去
[00:05:02.960 --> 00:05:07.680]  只要三千人上去就能攻取艾城
[00:05:07.680 --> 00:05:10.960]  不必老成眾百姓都上去
[00:05:10.960 --> 00:05:13.840]  因為他們人少」
[00:05:13.840 --> 00:05:17.280]  第一點就是秘密的隱瞞
[00:05:17.280 --> 00:05:20.480]  就是驕傲、自持、不敬畏神
[00:05:20.480 --> 00:05:25.760]  這段主要就是說到艾城戰敗背後的原因
[00:05:25.760 --> 00:05:28.880]  其實七章一節已經向讀者
[00:05:28.880 --> 00:05:33.040]  即是我們其實是交代了真相
[00:05:33.040 --> 00:05:36.960]  所以其實我們很清楚發生什麼事
[00:05:36.960 --> 00:05:41.760]  不過對於當時的約書亞和以色列人
[00:05:41.760 --> 00:05:44.640]  他們是完全不知情的
[00:05:44.640 --> 00:05:47.200]  他們仍然蒙在鼓裏
[00:05:47.200 --> 00:05:50.320]  待會我們再看第一節
[00:05:50.320 --> 00:05:53.520]  我們由第二至五節去看
[00:05:53.520 --> 00:05:58.560]  第二節約書亞攻陷了耶利哥城之後
[00:05:58.560 --> 00:06:03.040]  下一步他就要向西邊伯特利進發
[00:06:03.040 --> 00:06:06.400]  想取得山區的位置
[00:06:06.400 --> 00:06:10.240]  但中途一定要經過一個地方就是艾城
[00:06:10.240 --> 00:06:14.160]  艾城可以說是在一個高地上
[00:06:14.160 --> 00:06:17.040]  但規模比較小
[00:06:17.040 --> 00:06:20.160]  但他有城牆守衛
[00:06:20.160 --> 00:06:24.160]  所以是易守難攻的一個地方
[00:06:24.160 --> 00:06:26.400]  根據這樣的地形
[00:06:26.400 --> 00:06:32.800]  我們解釋了約書亞為何派探子上去窺探艾城
