
[00:00:00.000 --> 00:00:04.000]  在此謹代表教會祝福大家
[00:00:04.000 --> 00:00:11.000]  在農年裏面
[00:00:11.000 --> 00:00:13.000]  個個都生生猛猛
[00:00:13.000 --> 00:00:14.000]  農精富…
[00:00:14.000 --> 00:00:16.000]  生農活虎
[00:00:16.000 --> 00:00:18.000]  身體健康
[00:00:18.000 --> 00:00:19.000]  靈命日盡
[00:00:19.000 --> 00:00:22.000]  今天是年初二
[00:00:22.000 --> 00:00:26.000]  所以當我知道我要來講這篇導的時候
[00:00:26.000 --> 00:00:27.000]  我都在想
[00:00:27.000 --> 00:00:29.000]  年初二講什麼好呢?
[00:00:30.000 --> 00:00:32.000]  我選了這篇
[00:00:32.000 --> 00:00:34.000]  我給的題目叫做
[00:00:34.000 --> 00:00:37.000]  一生之計在於神
[00:00:37.000 --> 00:00:39.000]  但我選用的經文很特別
[00:00:39.000 --> 00:00:43.000]  是用全道書三章一到十五節
[00:00:43.000 --> 00:00:45.000]  或者我們在開始之先
[00:00:45.000 --> 00:00:46.000]  我們一起做個祈禱
[00:00:46.000 --> 00:00:48.000]  將以下時間交給神
[00:00:48.000 --> 00:00:50.000]  秋天我們感謝祢
[00:00:50.000 --> 00:00:51.000]  帶領我們今天
[00:00:51.000 --> 00:00:53.000]  在新的一年裏面
[00:00:53.000 --> 00:00:56.000]  我們來到祢的家裏面來敬拜祢
[00:00:56.000 --> 00:00:59.000]  神讓我們知道祢是從歲首到年終
[00:00:59.000 --> 00:01:00.000]  都會看顧我們
[00:01:00.000 --> 00:01:01.000]  帶領我們
[00:01:01.000 --> 00:01:03.000]  祢是我們的神
[00:01:03.000 --> 00:01:05.000]  我們的一切好處不在祢以外
[00:01:05.000 --> 00:01:07.000]  但願祢帶領我們
[00:01:07.000 --> 00:01:09.000]  讓我們在新的一年裏面
[00:01:09.000 --> 00:01:11.000]  我們更緊緊的來到去
[00:01:11.000 --> 00:01:12.000]  倚靠祢
[00:01:12.000 --> 00:01:13.000]  相信祢
[00:01:13.000 --> 00:01:14.000]  跟隨祢
[00:01:14.000 --> 00:01:16.000]  願祢就帶領我們
[00:01:16.000 --> 00:01:17.000]  安定我們的心
[00:01:17.000 --> 00:01:19.000]  聽我們祈禱
[00:01:19.000 --> 00:01:21.000]  是奉耶穌基督得勝名求
[00:01:21.000 --> 00:01:22.000]  阿們
[00:01:24.000 --> 00:01:30.000]  不知道大家讀《創世記》第一二章的時候
[00:01:30.000 --> 00:01:33.000]  你最印象深刻的是什麼呢?
[00:01:33.000 --> 00:01:38.000]  可能你說從晚上到白天
[00:01:38.000 --> 00:01:40.000]  可能是你最印象深刻
[00:01:40.000 --> 00:01:44.000]  但是原來在《創世記》第一到第二章三節
[00:01:44.000 --> 00:01:47.000]  說到神的創造裏面
[00:01:47.000 --> 00:01:50.000]  原來神說得最多的一句話
[00:01:50.000 --> 00:01:51.000]  就是說什麼呢?
[00:01:51.000 --> 00:01:55.000]  「神看見者美好」
[00:01:55.000 --> 00:01:57.000]  「神看見者很美好」
[00:01:57.000 --> 00:02:02.000]  又或者在第一章三一至神那裏說了什麼呢?
[00:02:02.000 --> 00:02:08.000]  「神看見自己所做一切的確非常美好」
[00:02:08.000 --> 00:02:11.000]  原來在《創世記》
[00:02:11.000 --> 00:02:13.000]  神去創造這個世界的時候
[00:02:13.000 --> 00:02:17.000]  神看見那個世界是美好的
[00:02:17.000 --> 00:02:19.000]  一切都是很好的
[00:02:19.000 --> 00:02:26.000]  聖經的作者特意記下這六次的說話
[00:02:26.000 --> 00:02:28.000]  目的就是要我們記住
[00:02:28.000 --> 00:02:32.000]  神做這個世界是美好的
[00:02:32.000 --> 00:02:37.000]  但是今天很多人卻覺得這個世界不好
[00:02:37.000 --> 00:02:41.000]  究竟問題出在哪裡呢?
[00:02:41.000 --> 00:02:47.000]  今天我想趁著新年一個新春的第一個主日
[00:02:47.000 --> 00:02:51.000]  就和大家一起思想這個問題
[00:02:51.000 --> 00:02:53.000]  希望在新的一年裏面
[00:02:53.000 --> 00:02:58.000]  我們都能夠回歸到神所捍衛美好的初衷裏面
[00:02:58.000 --> 00:03:04.000]  傳道書給人的印象是一些信息很消極的
[00:03:04.000 --> 00:03:08.000]  因為他經常說「虛空的虛空,凡事都是虛空」
[00:03:08.000 --> 00:03:10.000]  所以引起很多大家都覺得
[00:03:10.000 --> 00:03:15.000]  我們應不應該將這一卷書引入聖經的正典裏面
[00:03:15.000 --> 00:03:18.000]  直到主後90年的時候
[00:03:18.000 --> 00:03:23.000]  在麥尼亞會議才確定
[00:03:23.000 --> 00:03:28.000]  傳道書在聖經的66卷裏面是一個正典
[00:03:28.000 --> 00:03:33.000]  而傳道書在猶太人的慶典裏面
[00:03:33.000 --> 00:03:37.000]  是在駐彭節的時候來中讀
[00:03:37.000 --> 00:03:42.000]  駐彭節是在每年的10月
[00:03:42.000 --> 00:03:44.000]  即是以色列人的7月
[00:03:44.000 --> 00:03:50.000]  如果你記得近期的以色列和哈馬斯的衝突
[00:03:50.000 --> 00:03:52.000]  就是因為駐彭節
[00:03:52.000 --> 00:03:56.000]  哈馬斯去擄掠了很多以色列人
[00:03:56.000 --> 00:03:58.000]  就引起了這一次的動亂
[00:03:58.000 --> 00:04:00.000]  在猶太人裏面說
[00:04:00.000 --> 00:04:06.000]  他們駐彭節是要有7天駐彭來去守這個節的
[00:04:06.000 --> 00:04:12.000]  如果你看回利美記23章43節那裏記載是這樣說的
[00:04:12.000 --> 00:04:15.000]  「好叫你們世世代代知道
[00:04:15.000 --> 00:04:18.000]  我領以色列人出埃及地的時候
[00:04:18.000 --> 00:04:22.000]  曾經使他們住在彭寺裏面」
[00:04:22.000 --> 00:04:29.000]  住在彭寺裏面除了紀念以色列人在抗野駐彭的日子之外
[00:04:29.000 --> 00:04:34.000]  其實也是象徵著我們人生的那種短暫
[00:04:34.000 --> 00:04:38.000]  保羅在哥倫多前書五章一節是這樣形容的
[00:04:38.000 --> 00:04:43.000]  他說我們地上這個象彭居所被拆毀了
[00:04:43.000 --> 00:04:47.000]  來表示人生那種的短暫
[00:04:47.000 --> 00:04:52.000]  所以駐彭節是猶太人最喜樂的一個節日
[00:04:52.000 --> 00:04:56.000]  猶太人藉著駐彭節誦讀傳道書的時候
[00:04:56.000 --> 00:04:59.000]  來提醒自己的人生短暫
[00:04:59.000 --> 00:05:02.000]  所以要樂在其中
[00:05:02.000 --> 00:05:07.000]  珍惜神所賜他們的每一個一切
[00:05:07.000 --> 00:05:14.000]  我們一起來看看傳道書第三章一到八節
[00:05:14.000 --> 00:05:22.000]  我給這段的題目是回歸到神的安排計劃裏面
[00:05:22.000 --> 00:05:27.000]  我們一起來誦讀傳道書三章一到八節
[00:05:27.000 --> 00:05:31.000]  萬事都有特定的時限
[00:05:31.000 --> 00:05:35.000]  天下一切事務都有其時候
[00:05:35.000 --> 00:05:36.000]  生有時
[00:05:36.000 --> 00:05:37.000]  死有時
[00:05:37.000 --> 00:05:38.000]  災中有時
[00:05:38.000 --> 00:05:41.000]  不出所災中的有時
[00:05:41.000 --> 00:05:42.000]  殺害有時
[00:05:42.000 --> 00:05:44.000]  醫治有時
[00:05:44.000 --> 00:05:45.000]  拆毀有時
[00:05:45.000 --> 00:05:47.000]  建造有時
[00:05:47.000 --> 00:05:48.000]  哀哭有時
[00:05:48.000 --> 00:05:50.000]  歡笑有時
[00:05:50.000 --> 00:05:51.000]  悲動有時
[00:05:51.000 --> 00:05:53.000]  雀躍有時
[00:05:53.000 --> 00:05:54.000]  泯石有時
[00:05:54.000 --> 00:05:56.000]  堆石有時
[00:05:56.000 --> 00:05:58.000]  擁抱有時
[00:05:58.000 --> 00:06:00.000]  遠離擁抱有時
[00:06:00.000 --> 00:06:02.000]  尋找有時
[00:06:02.000 --> 00:06:03.000]  遺失有時
[00:06:03.000 --> 00:06:05.000]  保存有時
[00:06:05.000 --> 00:06:06.000]  凋棄有時
[00:06:06.000 --> 00:06:08.000]  撕裂有時
[00:06:08.000 --> 00:06:09.000]  縫合有時
[00:06:09.000 --> 00:06:11.000]  沉默有時
[00:06:11.000 --> 00:06:12.000]  發言有時
[00:06:12.000 --> 00:06:14.000]  愛有時
[00:06:14.000 --> 00:06:15.000]  震有時
[00:06:15.000 --> 00:06:16.000]  戰爭有時
[00:06:16.000 --> 00:06:18.000]  和平有時
[00:06:18.000 --> 00:06:22.000]  在一段的開始
[00:06:22.000 --> 00:06:24.000]  第一節一開始的時候
[00:06:24.000 --> 00:06:26.000]  作者
[00:06:26.000 --> 00:06:27.000]  傳道者
