
[00:00:00.000 --> 00:00:03.400]  好,我想在我講道之前
[00:00:03.400 --> 00:00:06.400]  我想大家看一段片
[00:00:06.400 --> 00:00:09.000]  這段片都是我們一班年青人
[00:00:09.000 --> 00:00:11.400]  去拍攝、剪接、創作的
[00:00:11.400 --> 00:00:17.000]  這段片是幫我們進入我們今天的講道裡面
[00:00:17.000 --> 00:00:45.000]  (音樂)
[00:00:45.000 --> 00:00:47.000]  Hello
[00:00:47.000 --> 00:00:49.000]  媽媽,是誰?
[00:00:49.000 --> 00:00:55.000]  是Hazel,上個月不是說了
[00:00:55.000 --> 00:00:57.000]  今天會在孤兒院帶她回來
[00:00:57.000 --> 00:00:58.000]  讓我不是在家的時候
[00:00:58.000 --> 00:01:00.000]  也有人可以陪著你
[00:01:00.000 --> 00:01:02.000]  剛才經過的時候
[00:01:02.000 --> 00:01:04.000]  就是想跟你說不要這麼吵
[00:01:04.000 --> 00:01:07.000]  你看,現在吵醒了妹妹
[00:01:07.000 --> 00:01:10.000]  算了,你先幫我照顧她
[00:01:10.000 --> 00:01:11.000]  我下去買點東西
[00:01:11.000 --> 00:01:15.000]  那你自己去玩一下
[00:01:15.000 --> 00:01:17.000]  不用了
[00:01:17.000 --> 00:01:19.000]  幹嘛跟著我?
[00:01:19.000 --> 00:01:20.000]  不是叫你自己去玩嗎?
[00:01:20.000 --> 00:01:22.000]  哥哥跟我玩
[00:01:22.000 --> 00:01:24.000]  你出去玩吧,哥哥累了,想睡一會
[00:01:24.000 --> 00:01:27.000]  跟我玩吧,哥哥喜歡玩什麼?
[00:01:27.000 --> 00:01:36.000]  哥哥最喜歡玩這些了
[00:01:36.000 --> 00:01:38.000]  什麼來的?
[00:01:38.000 --> 00:01:40.000]  把這個也給你
[00:01:40.000 --> 00:01:42.000]  哥哥不跟我一起玩嗎?
[00:01:42.000 --> 00:01:44.000]  哥哥玩了十幾年了
[00:01:44.000 --> 00:01:46.000]  你幫哥哥玩吧
[00:01:46.000 --> 00:02:00.000]  哥哥
[00:02:00.000 --> 00:02:02.000]  哥哥
[00:02:02.000 --> 00:02:04.000]  哥哥
[00:02:04.000 --> 00:02:08.000]  哥哥
[00:02:08.000 --> 00:02:09.000]  哥哥
[00:02:09.000 --> 00:02:10.000]  哥哥
[00:02:10.000 --> 00:02:13.000]  不是叫你自己去玩嗎?
[00:02:13.000 --> 00:02:15.000]  幹嘛跟著我?
[00:02:15.000 --> 00:02:18.000]  不要玩了,什麼都不要玩了
[00:02:18.000 --> 00:02:35.000]  你在這裡幹什麼?
[00:02:35.000 --> 00:02:38.000]  我只是想一個人在家裡靜一靜
[00:02:38.000 --> 00:02:45.000]  你擋在學校,被人看你不夠嗎?
[00:02:45.000 --> 00:02:48.000]  連你也要一起教嗎?
[00:02:48.000 --> 00:02:51.000]  我只是想一個人在家裡靜一靜
[00:02:51.000 --> 00:02:58.000]  你擋在學校,被人看你不夠嗎?
[00:02:58.000 --> 00:03:01.000]  連你也要一起教嗎?
[00:03:01.000 --> 00:03:08.000]  這個
[00:03:08.000 --> 00:03:11.000]  這個
[00:03:11.000 --> 00:03:17.000]  是我跟我爸爸最後一張照片
[00:03:18.000 --> 00:03:21.000]  對不起
[00:03:21.000 --> 00:03:25.000]  對不起有什麼用?
[00:03:25.000 --> 00:03:30.000]  你走,我叫你走
