
[00:00:00.000 --> 00:00:02.520]  今天也是父親節的日子
[00:00:02.520 --> 00:00:05.240]  我們也祝福大家父親節快樂
[00:00:05.240 --> 00:00:07.280]  剛才也祝福了
[00:00:07.280 --> 00:00:08.640]  也謝謝了
[00:00:08.640 --> 00:00:09.400]  記住
[00:00:09.400 --> 00:00:10.840]  今天是父親節
[00:00:10.840 --> 00:00:12.480]  所以我要問一個問題
[00:00:12.480 --> 00:00:14.480]  是關於父母的
[00:00:14.480 --> 00:00:18.280]  究竟你是比較喜歡父母
[00:00:18.280 --> 00:00:19.960]  還是比較喜歡母親呢?
[00:00:19.960 --> 00:00:21.640]  你記住今天是父親節
[00:00:21.640 --> 00:00:24.080]  還有不會有第三個選項
[00:00:24.080 --> 00:00:25.320]  是兩個都喜歡
[00:00:25.320 --> 00:00:26.640]  沒有這回事
[00:00:26.640 --> 00:00:29.240]  喜歡母親多一點的請舉手
[00:00:30.040 --> 00:00:30.960]  厲害
[00:00:30.960 --> 00:00:33.160]  喜歡父母多一點的請舉手
[00:00:33.160 --> 00:00:35.800]  看來父母的勢力很弱
[00:00:35.800 --> 00:00:40.640]  我以為父親節的勢力會強一點
[00:00:40.640 --> 00:00:41.880]  誰知道看起來
[00:00:41.880 --> 00:00:44.160]  目測也是輸給母親的
[00:00:44.160 --> 00:00:46.640]  所以其實父親節
[00:00:46.640 --> 00:00:48.240]  有時候也是
[00:00:48.240 --> 00:00:50.120]  父親裡面有時候回想一下
[00:00:50.120 --> 00:00:52.080]  也會有一點點遺憾
[00:00:52.080 --> 00:00:53.360]  所以今天說的道
[00:00:53.360 --> 00:00:55.920]  也是關於有些遺憾的父親
[00:00:55.920 --> 00:00:57.920]  其實他真的很不幸地
[00:00:57.920 --> 00:00:59.200]  很年老了
[00:00:59.200 --> 00:01:01.080]  即將離開這個世界
[00:01:01.080 --> 00:01:03.800]  但是有些事情他還是很著緊的
[00:01:03.800 --> 00:01:06.080]  我們看看這個父親有什麼特別
[00:01:06.080 --> 00:01:07.400]  讓我們在當中
[00:01:07.400 --> 00:01:08.880]  都能夠一起去學習
[00:01:08.880 --> 00:01:10.480]  我們低頭祈禱
[00:01:10.480 --> 00:01:12.560]  慈悲人愛父神
[00:01:12.560 --> 00:01:14.400]  感謝祢讓我們有機會一同去學習
[00:01:14.400 --> 00:01:17.360]  特別透過雅各和約瑟他們的一些對話
[00:01:17.360 --> 00:01:20.200]  和在雅各臨終前的一些說話
[00:01:20.200 --> 00:01:21.640]  讓我們當中去明白
[00:01:21.640 --> 00:01:24.360]  如何去把握機會去愛我們的父親
[00:01:24.360 --> 00:01:25.440]  如果我們作為父親的
[00:01:25.440 --> 00:01:28.360]  也要如何去把握機會去愛我們的下一代
[00:01:28.360 --> 00:01:30.480]  和我們如何在天父的愛裡面
[00:01:30.480 --> 00:01:31.600]  去愛其他人
[00:01:31.600 --> 00:01:32.800]  求主祢幫助我們
[00:01:32.800 --> 00:01:33.240]  以上祈禱
[00:01:33.240 --> 00:01:35.640]  交上奉耶穌基督名字而求
[00:01:35.640 --> 00:01:36.360]  阿們
[00:01:36.360 --> 00:01:40.720]  今天的主角雅各其實也很年老了
[00:01:40.720 --> 00:01:42.920]  在很久很久之前
[00:01:42.920 --> 00:01:46.320]  他就是以色列民族的祖先
[00:01:46.320 --> 00:01:49.720]  但是他不算是一個很好的父親
[00:01:49.720 --> 00:01:51.920]  數算之前
[00:01:51.920 --> 00:01:55.680]  雅各的父親其實也是頗偏心的
[00:01:55.680 --> 00:01:57.080]  偏心他大哥
[00:01:57.080 --> 00:02:00.520]  雅各的母親偏心雅各他
[00:02:00.520 --> 00:02:03.480]  令到他們家庭很多不和
[00:02:03.480 --> 00:02:04.960]  他聽母親的話
[00:02:04.960 --> 00:02:07.880]  又騙了哥哥應該得到的祝福
[00:02:07.880 --> 00:02:09.720]  令到兄弟反目成仇
[00:02:09.720 --> 00:02:10.800]  又被人追殺
[00:02:10.800 --> 00:02:12.520]  到了他那一代
[00:02:12.520 --> 00:02:15.240]  他又偏心他的兒子約瑟
[00:02:15.240 --> 00:02:18.120]  令到約瑟又被兄弟害
[00:02:18.120 --> 00:02:19.600]  賣了去埃及
[00:02:19.760 --> 00:02:21.000]  但是晚年
[00:02:21.000 --> 00:02:24.240]  約瑟也真的回到去相認他們
[00:02:24.240 --> 00:02:26.440]  約瑟在神的保護之下
[00:02:26.440 --> 00:02:28.480]  在埃及又升為宰相
