
[00:00:00.000 --> 00:00:02.360]  我很喜歡去博物館
[00:00:02.360 --> 00:00:05.560]  也很留意博物館的消息
[00:00:05.560 --> 00:00:08.160]  法國有一間報社
[00:00:08.160 --> 00:00:11.480]  有一條智慧的題目去考人
[00:00:11.480 --> 00:00:13.400]  題目就是
[00:00:13.400 --> 00:00:22.080]  如果法國的羅浮宮失火
[00:00:22.080 --> 00:00:25.560]  時間只允許你搶購一幅畫
[00:00:25.560 --> 00:00:27.280]  你會搶購哪一幅呢
[00:00:27.280 --> 00:00:29.600]  你會不會想起這幾幅呢
[00:00:29.600 --> 00:00:33.880]  當然報社收到很多回覆
[00:00:33.880 --> 00:00:37.120]  大家猜猜最後哪一個答案
[00:00:37.120 --> 00:00:38.960]  是最有智慧的呢
[00:00:38.960 --> 00:00:39.720]  被評為
[00:00:39.720 --> 00:00:45.680]  全部都拿不到獎
[00:00:45.680 --> 00:00:49.560]  原來答案是最接近門口的一幅
[00:00:49.560 --> 00:00:52.680]  我覺得很有趣
[00:00:52.680 --> 00:00:57.040]  答案給的是一位法國作家
[00:00:57.040 --> 00:01:00.560]  他的答案為何有智慧呢
[00:01:00.560 --> 00:01:03.320]  因為生命比畫更重要
[00:01:03.320 --> 00:01:04.200]  第二就是
[00:01:04.200 --> 00:01:06.000]  如果羅浮宮的畫全燒掉
[00:01:06.000 --> 00:01:08.480]  他九代單傳的畫
[00:01:08.480 --> 00:01:10.840]  就一定會升價八倍
[00:01:10.840 --> 00:01:13.800]  所以那幅畫就成為最有價值的畫
[00:01:13.800 --> 00:01:17.880]  我曾經去沙田文化博物館
[00:01:17.880 --> 00:01:19.360]  有時星期一
[00:01:19.360 --> 00:01:20.160]  特別是夏天
[00:01:20.160 --> 00:01:21.120]  我很喜歡去那裏
[00:01:21.120 --> 00:01:23.120]  因為那裏又夠大又沒有人
[00:01:23.120 --> 00:01:24.880]  沒有人那裏好
[00:01:25.760 --> 00:01:27.120]  平時見到很多人
[00:01:27.120 --> 00:01:28.120]  是沒有人
[00:01:28.120 --> 00:01:29.720]  還有很多冷氣
[00:01:29.720 --> 00:01:31.120]  那裏有很大冷氣
[00:01:31.120 --> 00:01:33.160]  所以在那裏很舒服
[00:01:33.160 --> 00:01:40.400]  那裏我見到一個這樣的手卷
[00:01:40.400 --> 00:01:41.520]  是有一個名人
[00:01:41.520 --> 00:01:43.600]  他寫下他的人生目標
[00:01:43.600 --> 00:01:45.800]  是很具體地寫
[00:01:45.800 --> 00:01:48.040]  他說他要成為美國
[00:01:48.040 --> 00:01:51.320]  最高身價的東方演員
[00:01:51.320 --> 00:01:54.800]  大家猜猜是誰
[00:01:54.800 --> 00:01:56.640]  我又會以最刺激
[00:01:56.640 --> 00:02:00.960]  最高質素的電影來回饋
[00:02:00.960 --> 00:02:04.240]  我1970年就要成為世界知名
[00:02:04.240 --> 00:02:06.400]  到1980年我就要有
[00:02:06.400 --> 00:02:09.800]  一千萬元的財富
[00:02:09.800 --> 00:02:12.920]  以後我就可以快樂地生活
[00:02:12.920 --> 00:02:14.440]  過我喜歡的生活
[00:02:14.440 --> 00:02:16.920]  得到內在的和諧和快樂
[00:02:16.920 --> 00:02:19.160]  猜不猜得到這是誰
[00:02:19.160 --> 00:02:20.440]  沒錯就是布魯斯·李
[00:02:20.440 --> 00:02:21.600]  李小龍
[00:02:21.600 --> 00:02:23.880]  他只活了33年
[00:02:23.880 --> 00:02:25.920]  他寫這個立志的時候
[00:02:25.920 --> 00:02:28.240]  我們今天也有立志
[00:02:28.240 --> 00:02:29.480]  我們應該有很多個
[00:02:29.480 --> 00:02:31.160]  應該還有33年
[00:02:31.160 --> 00:02:33.760]  主日許
[00:02:33.760 --> 00:02:37.040]  他寫這個立願的時候是1969年
[00:02:37.040 --> 00:02:40.400]  但是他1973年就突然離世
[00:02:40.400 --> 00:02:41.800]  他的確很努力
[00:02:41.800 --> 00:02:44.880]  他能否實現他的理想
[00:02:44.880 --> 00:02:46.760]  他都真的舉世之名
[00:02:46.760 --> 00:02:48.680]  不過有一樣東西他實現不了
[00:02:48.680 --> 00:02:50.680]  也沒有機會再實現
[00:02:50.680 --> 00:02:54.160]  就是得到內在的和諧和快樂
[00:02:54.160 --> 00:02:55.760]  因為其實這件事
[00:02:55.760 --> 00:02:59.560]  都不是建基於成就和財富那裡
[00:02:59.560 --> 00:03:01.680]  再加上說真的
[00:03:01.680 --> 00:03:04.480]  這件事都不是最要緊的
[00:03:04.480 --> 00:03:05.360]  弟兄姊妹
[00:03:05.360 --> 00:03:07.320]  既然成就財富
