
[00:00:00.000 --> 00:00:06.000]  謝謝凌鋒帶我們去一個好敬拜
[00:00:06.000 --> 00:00:10.000]  我剛才在敬拜時很出力唱歌
[00:00:10.000 --> 00:00:13.000]  我很怕說到會沒聲音
[00:00:13.000 --> 00:00:14.000]  不過我不管那麼多
[00:00:14.000 --> 00:00:16.000]  因為敬拜是要出力的
[00:00:16.000 --> 00:00:18.000]  要全力去敬拜
[00:00:18.000 --> 00:00:25.000]  在敬拜中我感受天父的同在和愛
[00:00:25.000 --> 00:00:29.000]  剛才詩歌帶給你有多少感動和提醒
[00:00:29.000 --> 00:00:31.000]  特別有一句說
[00:00:31.000 --> 00:00:34.000]  我們在天父眼中好像珍珠一樣
[00:00:34.000 --> 00:00:38.000]  如果現在是現場大家實體看
[00:00:38.000 --> 00:00:40.000]  我一定叫你和旁邊的人說
[00:00:40.000 --> 00:00:43.000]  你就是那顆珍珠 珍珠
[00:00:43.000 --> 00:00:50.000]  不過沒有現場觀眾不要緊
[00:00:50.000 --> 00:00:52.000]  你都可以留言鼓勵你
[00:00:52.000 --> 00:00:55.000]  看的導演節目就是你就是那顆珍珠
[00:00:55.000 --> 00:01:00.000]  你就是那顆超級星星
[00:01:00.000 --> 00:01:04.000]  雖然詩歌和聖經都這樣說
[00:01:04.000 --> 00:01:07.000]  我們在神眼中如珠如寶
[00:01:07.000 --> 00:01:10.000]  但是你是不是也這樣看自己
[00:01:10.000 --> 00:01:15.000]  你是不是也這樣覺得自己如珠如寶
[00:01:15.000 --> 00:01:17.000]  我現在正在進修
[00:01:17.000 --> 00:01:18.000]  不知道大家是否知道
[00:01:18.000 --> 00:01:20.000]  剛才在不同場合也有說過
[00:01:20.000 --> 00:01:25.000]  我正在進修一個基督教的輔導課程
[00:01:25.000 --> 00:01:27.000]  其中一課上課的時候
[00:01:27.000 --> 00:01:29.000]  有一份功課是這樣的
[00:01:29.000 --> 00:01:31.000]  要回家做的是怎樣呢
[00:01:31.000 --> 00:01:35.000]  回家就對著鏡子看自己15分鐘
[00:01:35.000 --> 00:01:37.000]  在鏡子裡面觀察一下自己
[00:01:37.000 --> 00:01:39.000]  看15分鐘
[00:01:39.000 --> 00:01:41.000]  這是其中一個功課
[00:01:41.000 --> 00:01:44.000]  看完之後就看看自己有什麼發現
[00:01:44.000 --> 00:01:46.000]  我也很乖地去做這份功課
[00:01:46.000 --> 00:01:48.000]  我很乖的學生
[00:01:48.000 --> 00:01:50.000]  我一看鏡子
[00:01:50.000 --> 00:01:53.000]  我一看的時候發現自己什麼呢
[00:01:53.000 --> 00:01:55.000]  嘩 胖了很多
[00:01:55.000 --> 00:01:57.000]  幸好有口罩
[00:01:57.000 --> 00:02:00.000]  我真的害怕我的臉比螢幕還要大
[00:02:00.000 --> 00:02:03.000]  發現自己胖了很多
[00:02:03.000 --> 00:02:05.000]  有些暗瘡都飆出來了
[00:02:05.000 --> 00:02:09.000]  不知道是關戴口罩還是壓力的事
[00:02:09.000 --> 00:02:12.000]  又飆出很多白頭髮
[00:02:12.000 --> 00:02:15.000]  因為不能去非法抱染法
[00:02:15.000 --> 00:02:17.000]  很多白頭髮
[00:02:17.000 --> 00:02:21.000]  然後發現自己大小眼睛好像越來越嚴重
[00:02:21.000 --> 00:02:23.000]  我本身的眼睛都瞎了
