
[00:00:00.000 --> 00:00:03.000]  大約九月進來的時候
[00:00:03.000 --> 00:00:05.000]  你已經看到很多佈置
[00:00:05.000 --> 00:00:11.000]  很多海報表達慶祝恩福35週年
[00:00:11.000 --> 00:00:14.000]  在這35週年裏面
[00:00:14.000 --> 00:00:17.000]  剛才領敬拜的姐妹都問
[00:00:17.000 --> 00:00:21.000]  你記不記得你哪一年來恩福堂的呢?
[00:00:21.000 --> 00:00:23.000]  是朋友邀請
[00:00:23.000 --> 00:00:25.000]  自己上網找資料
[00:00:25.000 --> 00:00:27.000]  自己來到恩福堂
[00:00:27.000 --> 00:00:31.000]  你記不記得哪一年來恩福堂的呢?
[00:00:31.000 --> 00:00:34.000]  為了方便大家去記住
[00:00:34.000 --> 00:00:36.000]  我以下有些圖片
[00:00:36.000 --> 00:00:39.000]  如果是你大概那個年回來
[00:00:39.000 --> 00:00:41.000]  在那個建築物聚會的時候
[00:00:41.000 --> 00:00:44.000]  請你都舉手好不好?
[00:00:44.000 --> 00:00:47.000]  因為在恩福的網站
[00:00:47.000 --> 00:00:50.000]  已經將恩福的歷史和相片
[00:00:50.000 --> 00:00:53.000]  恩福是怎樣走過來35年
[00:00:53.000 --> 00:00:55.000]  我有些圖片給大家看看
[00:00:55.000 --> 00:00:57.000]  然後你在那年回來
[00:00:57.000 --> 00:01:01.000]  或者在那段期間去崇拜聚會的地點回來
[00:01:01.000 --> 00:01:02.000]  請你舉手
[00:01:02.000 --> 00:01:04.000]  看看我們這裏
[00:01:04.000 --> 00:01:08.000]  大概有多少人可能集中在某一個時期來
[00:01:08.000 --> 00:01:09.000]  好不好?
[00:01:09.000 --> 00:01:11.000]  如果你是那個時期來的
[00:01:11.000 --> 00:01:13.000]  請你舉手
[00:01:13.000 --> 00:01:18.000]  回顧過去35週年
[00:01:18.000 --> 00:01:22.000]  1987年9月27日恩福堂成立
[00:01:22.000 --> 00:01:25.000]  有多少人是那個時候
[00:01:25.000 --> 00:01:28.000]  方方,你聽過幼稚園
[00:01:28.000 --> 00:01:31.000]  在恩福堂開始的時候聚會的?
[00:01:31.000 --> 00:01:33.000]  有嗎?有喔
[00:01:33.000 --> 00:01:35.000]  有幾位喔
[00:01:35.000 --> 00:01:37.000]  見證著恩福堂的歷史
[00:01:37.000 --> 00:01:39.000]  他們真的坐在一起
[00:01:39.000 --> 00:01:42.000]  可以寫下恩福的歷史
[00:01:42.000 --> 00:01:44.000]  即是史觀
[00:01:44.000 --> 00:01:47.000]  1988年永輝大廈
[00:01:47.000 --> 00:01:50.000]  多少人是永輝大廈開始回來的?
[00:01:50.000 --> 00:01:52.000]  1988年
[00:01:52.000 --> 00:01:54.000]  是
[00:01:54.000 --> 00:01:55.000]  好喔
[00:01:55.000 --> 00:01:57.000]  永輝大廈
[00:01:57.000 --> 00:02:00.000]  這個是1991年5月
[00:02:00.000 --> 00:02:02.000]  秋創商業大廈
[00:02:02.000 --> 00:02:06.000]  第一次購物業然後有自己的地方崇拜
[00:02:06.000 --> 00:02:09.000]  你久不久都聽聞蘇牧師說
[00:02:09.000 --> 00:02:11.000]  秋創崇拜的時候
[00:02:11.000 --> 00:02:13.000]  有些老師在那裏跑動
[00:02:13.000 --> 00:02:15.000]  是嗎?
[00:02:15.000 --> 00:02:17.000]  你都很難想像那些老師是怎樣奔跑的
[00:02:17.000 --> 00:02:19.000]  有多少人是那段時間回來的?
[00:02:19.000 --> 00:02:26.000]  應該會很明白蘇牧師說的片段
[00:02:26.000 --> 00:02:28.000]  亦都有人被迫運走
[00:02:28.000 --> 00:02:31.000]  所以需要買更大的地方或擴展
[00:02:31.000 --> 00:02:35.000]  然後租了1996年9月羅氏商業大廈
[00:02:35.000 --> 00:02:37.000]  多少人是羅氏商業大廈?
[00:02:37.000 --> 00:02:40.000]  我是喔
[00:02:40.000 --> 00:02:43.000]  我也是羅氏1998年
[00:02:43.000 --> 00:02:44.000]  我加入恩福堂
[00:02:44.000 --> 00:02:46.000]  那時大概1600人在羅氏
[00:02:46.000 --> 00:02:49.000]  出名的就是排隊排隊排隊
[00:02:49.000 --> 00:02:52.000]  很多人都留意在樓下有甚麼派
[00:02:52.000 --> 00:02:54.000]  為甚麼這麼長龍呢?羅氏
[00:02:54.000 --> 00:02:57.000]  如果你在場的會印象很深刻
[00:02:57.000 --> 00:02:58.000]  崇拜的時候
[00:02:58.000 --> 00:03:02.000]  羅氏之後是甚麼地方?
[00:03:02.000 --> 00:03:04.000]  長江
[00:03:04.000 --> 00:03:06.000]  其實長江之前還有一個地方
[00:03:06.000 --> 00:03:09.000]  不知道你有沒有去過
[00:03:09.000 --> 00:03:10.000]  有人提過了
[00:03:10.000 --> 00:03:11.000]  自興昌
[00:03:11.000 --> 00:03:12.000]  微小的聲音
[00:03:12.000 --> 00:03:13.000]  雖然很短時間
[00:03:13.000 --> 00:03:14.000]  自興昌
[00:03:14.000 --> 00:03:15.000]  有沒有人知道在哪裏?
[00:03:15.000 --> 00:03:17.000]  在羅氏對面
[00:03:17.000 --> 00:03:20.000]  如果你記得自興昌有主一學
[00:03:20.000 --> 00:03:21.000]  有團契
[00:03:21.000 --> 00:03:22.000]  即稱團契
[00:03:22.000 --> 00:03:24.000]  那段時間晚上回來的姐妹
[00:03:24.000 --> 00:03:26.000]  要有人陪著她搭電梯
[00:03:26.000 --> 00:03:28.000]  那些電梯
[00:03:28.000 --> 00:03:30.000]  有些姐妹很深刻
[00:03:30.000 --> 00:03:32.000]  有多少人在那段時間
[00:03:32.000 --> 00:03:35.000]  去過自興昌主一學和團契?
[00:03:35.000 --> 00:03:36.000]  有沒有?
[00:03:36.000 --> 00:03:38.000]  不是很多
[00:03:38.000 --> 00:03:40.000]  有啦,那裏有啦
[00:03:43.000 --> 00:03:45.000]  那時去自興昌晚上也不容易
[00:03:45.000 --> 00:03:49.000]  這些日子他們會記得的
[00:03:49.000 --> 00:03:51.000]  在團契晚上怎樣去自興昌
[00:03:51.000 --> 00:03:53.000]  也真的挺悶的
[00:03:53.000 --> 00:03:56.000]  接著長江就比較厲害
[00:03:56.000 --> 00:03:57.000]  有五樓,有九樓
[00:03:57.000 --> 00:04:00.000]  多少人從長江開始回來的?
[00:04:00.000 --> 00:04:02.000]  1999年
[00:04:02.000 --> 00:04:04.000]  Raymond
[00:04:04.000 --> 00:04:10.000]  後來2002年
[00:04:10.000 --> 00:04:12.000]  齊心努力建神家
[00:04:12.000 --> 00:04:13.000]  在這附近
[00:04:13.000 --> 00:04:15.000]  長沙環遊公園籌款
[00:04:15.000 --> 00:04:16.000]  有多少人都出席?
[00:04:16.000 --> 00:04:18.000]  很多
[00:04:18.000 --> 00:04:20.000]  當時為這個恩福堂籌款
[00:04:20.000 --> 00:04:23.000]  不知道你有沒有試過
[00:04:23.000 --> 00:04:24.000]  打一局的乒乓球
[00:04:24.000 --> 00:04:25.000]  七萬五
[00:04:25.000 --> 00:04:27.000]  打兩局可以有十五萬的呢?
[00:04:27.000 --> 00:04:30.000]  我有經驗了
[00:04:30.000 --> 00:04:32.000]  我和另外一個弟兄
[00:04:32.000 --> 00:04:33.000]  和蘇牧師一隊
[00:04:33.000 --> 00:04:34.000]  總之兩隊一打
[00:04:34.000 --> 00:04:36.000]  每人一局籌款
[00:04:36.000 --> 00:04:38.000]  都有七萬五
[00:04:38.000 --> 00:04:39.000]  七萬五,十五萬
[00:04:39.000 --> 00:04:40.000]  籌到
[00:04:40.000 --> 00:04:41.000]  第一次打乒乓球原來
[00:04:41.000 --> 00:04:42.000]  可以有這麼多錢的
[00:04:42.000 --> 00:04:43.000]  一局乒乓球
[00:04:43.000 --> 00:04:44.000]  七萬五
[00:04:44.000 --> 00:04:45.000]  所以這個恩福堂
[00:04:45.000 --> 00:04:46.000]  有些貢獻的
[00:04:46.000 --> 00:04:48.000]  當時有些人有獻資
[00:04:48.000 --> 00:04:49.000]  籌款
[00:04:49.000 --> 00:04:50.000]  資方就知道
[00:04:50.000 --> 00:04:54.000]  2002年6月
[00:04:54.000 --> 00:04:55.000]  開始建堂
[00:04:55.000 --> 00:04:56.000]  這個恩福中心
[00:04:56.000 --> 00:04:57.000]  2004年
[00:04:57.000 --> 00:04:59.000]  恩福中心開始的時候
[00:04:59.000 --> 00:05:00.000]  有多少人從這裡回來的?
[00:05:00.000 --> 00:05:01.000]  恩福中心這裡
[00:05:01.000 --> 00:05:03.000]  有吧
[00:05:03.000 --> 00:05:04.000]  可能你聽聞
[00:05:04.000 --> 00:05:06.000]  恩福是全香港華人最大的
[00:05:06.000 --> 00:05:09.000]  你也想來看看這個豪宅教會是怎樣的
[00:05:10.000 --> 00:05:11.000]  的確是的
[00:05:11.000 --> 00:05:13.000]  當時在長廣羅市
[00:05:13.000 --> 00:05:14.000]  由三千多人
[00:05:14.000 --> 00:05:16.000]  一來到這個恩福中心
[00:05:16.000 --> 00:05:17.000]  就跳到五千多人
[00:05:17.000 --> 00:05:19.000]  突然間短短一個時間
[00:05:19.000 --> 00:05:20.000]  一千多到五千人
[00:05:20.000 --> 00:05:23.000]  一千五百人是增加了
[00:05:23.000 --> 00:05:24.000]  一千五百人
[00:05:24.000 --> 00:05:25.000]  因為這個建築物
