
[00:00:00.000 --> 00:00:04.160]  大家好,很感恩今天早上可以健健康康
[00:00:04.160 --> 00:00:08.320]  回到教會裡,我們一同唱詩敬拜神
[00:00:08.320 --> 00:00:12.720]  一同聽到神的話語塑造我們的生命
[00:00:12.720 --> 00:00:18.200]  大英節目考考你
[00:00:18.200 --> 00:00:23.800]  香港上一輩早上最喜歡去什麼地方吃早餐呢?
[00:00:23.800 --> 00:00:24.800]  (記者:茶樓)
[00:00:24.800 --> 00:00:27.200]  對,當然是喝茶
[00:00:27.200 --> 00:00:31.640]  去茶樓一盅兩件最寫意
[00:00:31.640 --> 00:00:35.720]  我們經常有一個說法叫一盅兩件
[00:00:35.720 --> 00:00:39.600]  不知道大家知不知道一盅兩件是什麼意思
[00:00:39.600 --> 00:00:44.880]  一盅原來是在五、六十年代沖茶的焗盅
[00:00:44.880 --> 00:00:48.280]  意思是用杯蓋焗茶
[00:00:48.280 --> 00:00:54.920]  那些員工會拿著大水煲幫茶客沖茶添水
[00:00:54.920 --> 00:01:00.320]  兩件是蝦餃、燒賣、叉燒包的點心
[00:01:00.320 --> 00:01:02.400]  說起來好像很想吃
[00:01:02.400 --> 00:01:05.840]  去茶樓喝茶可以說是我們廣東人
[00:01:05.840 --> 00:01:10.840]  一家人或一群朋友最常做的活動之一
[00:01:10.840 --> 00:01:13.600]  一大群人開開心心圍在一起
[00:01:13.600 --> 00:01:17.800]  可以選擇不同款式的點心一起分享
[00:01:17.800 --> 00:01:20.640]  不知道你最喜歡吃什麼點心
[00:01:20.640 --> 00:01:24.560]  我最喜歡吃炸雲吞
[00:01:24.560 --> 00:01:26.680]  相信大家不會這樣想
[00:01:26.680 --> 00:01:30.320]  如果問你一生喝過多少次茶
[00:01:30.320 --> 00:01:32.560]  數不到這麼多
[00:01:32.560 --> 00:01:40.000]  不過如果問你有沒有試過喝茶時搭桌的經驗
[00:01:40.000 --> 00:01:42.640]  有沒有試過小時候搭桌?
[00:01:42.640 --> 00:01:46.080]  是,我們應該是差不多年代的人
[00:01:46.080 --> 00:01:50.400]  這個也不少
[00:01:50.400 --> 00:01:52.600]  搭桌是什麼意思呢?
[00:01:52.600 --> 00:01:55.560]  即是一張圓桌,一分為二
[00:01:55.560 --> 00:01:57.760]  坐了兩桌客人
[00:01:57.760 --> 00:02:01.760]  兩塊桌布,坐河漢界
[00:02:01.760 --> 00:02:04.080]  我記得我小時候
[00:02:04.080 --> 00:02:07.000]  大部分酒樓都需要搭桌
[00:02:07.000 --> 00:02:10.400]  搭桌的對面是你完全不認識的人
[00:02:10.400 --> 00:02:13.800]  於是坐在一起,很古怪的
[00:02:13.800 --> 00:02:16.680]  你叫點心,我叫點心
[00:02:16.680 --> 00:02:19.840]  我記得我小時候讀小學時
[00:02:19.840 --> 00:02:23.760]  我父母帶我弟弟一起去茶樓喝茶
[00:02:23.760 --> 00:02:25.160]  又是要搭桌
[00:02:25.160 --> 00:02:27.160]  坐兩桌客人
[00:02:27.160 --> 00:02:31.120]  一共是我們一家四口加對面的三個人
[00:02:31.120 --> 00:02:33.600]  由於桌子本身很小
[00:02:33.600 --> 00:02:38.640]  原本用桌布做坐河漢界的界線
[00:02:38.640 --> 00:02:40.640]  變得很模糊
