
[00:00:00.000 --> 00:00:06.400]  進入今天講道的時候,開始的時候,我也想講一個故事給大家聽。
[00:00:06.400 --> 00:00:14.300]  在很多年前,我去參加一個神學院的獻身營,去尋找我夢召的方向。
[00:00:14.300 --> 00:00:17.300]  在安靜的時間,我去了沙灘那裡。
[00:00:17.300 --> 00:00:22.600]  我看到前面不是很遠的地方,有一條木頭,上面有一隻小鳥。
[00:00:22.600 --> 00:00:37.000]  當時我在心裡禱告:「主啊,如果祢真的呼召我全職侍奉的話,我數三聲的時候,祢可不可以令到這隻小鳥飛起來?」
[00:00:37.000 --> 00:00:46.000]  我就數了,1,2,3,大家猜猜那隻小鳥有沒有升起呢?
[00:00:46.000 --> 00:01:01.000]  是沒有的,不過後來神也透過祂不同的方式給了我印證和鼓勵,所以我仍然是進了一間神學院去裝備。
[00:01:01.000 --> 00:01:08.000]  在我神學畢業之前,神給了我一幅圖畫在我腦海裡。
[00:01:08.000 --> 00:01:21.000]  圖畫裡面是一個地球,地球上是一個很中環交錯的網,包圍了整個地球,而網上的每一點都是華人。
[00:01:21.000 --> 00:01:33.000]  我當時的領受和感動就是隨著人口移動的全球化,華人已經散佈在世界不同的角落,包括香港人也是。
[00:01:33.000 --> 00:01:43.000]  如果全球每一個角落的華人去連成一個福音的網,將會為這個世界帶來巨大的影響和祝福。
[00:01:43.000 --> 00:01:47.000]  而神是想我去參與在這幅圖畫裡面。
[00:01:47.000 --> 00:01:58.000]  剛才Joanna的日本短宣的分享,讓我們看到上帝就是這麼奇妙,祂將不同的感動放在不同的人心裡面。
[00:01:58.000 --> 00:02:08.000]  有些人可能對華人有感動,有些人對日本人有感動,是為了要承受他國度裡面不同的需要,是很美麗的呼召。
[00:02:08.000 --> 00:02:19.000]  今天講道的經文是出埃及記四章一至十七字,題目是你守女是什麼,現在去吧。
[00:02:19.000 --> 00:02:32.000]  上帝同一位他要呼召的僕人的對話,我們先一起有一個禱告。
[00:02:32.000 --> 00:02:43.000]  掌管萬有,並且呼召人,差遣人,拯救人的神,願祢今天在這個差傳主日的信息裡面與我們同在。
[00:02:43.000 --> 00:02:52.000]  願祢對祢的僕人摩西的說話和鼓勵,不單是當年進入摩西的心,也是今天進入我們的心。
[00:02:52.000 --> 00:03:00.000]  讓我們更加有勇氣和使命去面對祢的差遣,禱告奉主命求,阿們。
[00:03:00.000 --> 00:03:06.000]  這一段出埃及記的經文是耶和華神與摩西在哪裡的對話呢?
[00:03:06.000 --> 00:03:13.000]  在米顛的荷列山,當時摩西正在牧羊,先講一點背景。
[00:03:13.000 --> 00:03:24.000]  很多年前,其實已經是四十年前了,摩西在埃及因為幫以色列人的同胞出頭,打死了一個埃及人,被逼逃亡來到米顛。
[00:03:24.000 --> 00:03:31.000]  並且在這裡結婚生子,建立了家庭,平時會幫他的岳父去牧羊。
[00:03:31.000 --> 00:03:37.000]  但同一時間,以色列人在埃及的狀況是怎樣呢?是越來越痛苦的。
[00:03:37.000 --> 00:03:49.000]  他們忍不住向神去哀求,神聽見他們的禱告,憐憫他們,就來到荷列山去呼召摩西,來帶領以色列人出埃及。
[00:03:49.000 --> 00:03:58.000]  其實在第三章,神已經讓摩西見到著火驚激的異象,並且與摩西開始了對話。
[00:03:58.000 --> 00:04:05.000]  神讓摩西去見埃及法老的時候,摩西已經是拖手肘了。
[00:04:05.000 --> 00:04:08.000]  你又是我什麼人,竟然可以去見法老?
[00:04:08.000 --> 00:04:15.000]  不過神鼓勵他,安慰他,並且答應摩西,我必與你同在。
[00:04:15.000 --> 00:04:25.000]  神又叫摩西去招敘以色列的長老,並且告訴他們,是以色列的神耶和華派摩西來帶他們出埃及。
[00:04:25.000 --> 00:04:30.000]  摩西的反應是怎樣呢?我們一起來讀四章一至五節。
[00:04:30.000 --> 00:04:36.000]  摩西回答說,他們必不信我,也不聽我的話。
[00:04:36.000 --> 00:04:44.000]  必說,耶和華並沒有向你顯現,你手裡是什麼?
[00:04:44.000 --> 00:04:52.000]  他說是象,耶和華說雕在地上,他一掉下去,就變成了蛇。
[00:04:52.000 --> 00:05:15.000]  摩西回答說,他們祖宗的神就是亞伯拉罕的神,以色的神,雅各的神,是向你顯現了。
[00:05:15.000 --> 00:05:22.000]  我們看到摩西再次灑走領頭,這次他的理由是什麼呢?他們必不信我,也不聽我的話。
[00:05:22.000 --> 00:05:29.000]  必說,耶和華並沒有向你顯現,其實摩西的擔心合不合理?
[00:05:29.000 --> 00:05:40.000]  合理的,大家點頭,沒錯,合理的,其實他自小不是在以色列的群體生活,他是在埃及的法老女兒養大的。
[00:05:40.000 --> 00:05:51.000]  另外,當年他為了幫以色列人出頭調停的時候,以色列人質問他,誰立你作我們的首領和審判官?
[00:05:51.000 --> 00:05:55.000]  所以可以看到他在以色列群體裡面是沒有地位的。
[00:05:55.000 --> 00:06:03.000]  現在他已經離開了埃及40年,以色列的長老無端端憑什麼信他呢?
[00:06:03.000 --> 00:06:14.000]  沒錯,所以他的擔心是合理的,所以神也回應他,神就問摩西,你首領是什麼?摩西回答,是象。
[00:06:14.000 --> 00:06:20.000]  神接著向摩西發出了三個命令。
[00:06:20.000 --> 00:06:33.000]  首先,我們看上一張slide,在這個經文裡面,我們看到是發出了三個命令。
[00:06:33.000 --> 00:06:46.000]  首先,是命令摩西將手上的象扔到地上,而象會變成蛇,然後命令他伸出手和捉住蛇的尾巴,令牠變回象。
[00:06:46.000 --> 00:06:57.000]  這樣做的目的是什麼呢?目的是如此好叫,以色列人相信他們祖宗的神,向摩西顯現了。
[00:06:57.000 --> 00:07:16.000]  等姐妹,如果要你去捉住蛇的尾巴,你夠不夠膽?不夠膽的話,等一下搖頭有人皺眉頭,感受到那種不敢。因為捉住蛇尾巴是一件很危險的事,一捉蛇尾巴,蛇頭會轉過頭去攻擊你。
[00:07:16.000 --> 00:07:22.000]  所以其實摩西也很乖,也聽神的話,也有一份信服的表現在裡面。
[00:07:22.000 --> 00:07:31.000]  其實你回到前面第一個命令,神要摩西將手上的象扔到地上,又容不容易信服呢?
[00:07:31.000 --> 00:07:41.000]  停一停,我們大家想一想,如果神要你將手上捉住的東西扔走,你又願不願意呢?
[00:07:41.000 --> 00:07:54.000]  摩西手上的象,他原本是用來做什麼的?是一支普通的牧羊象,但同時也是他的搵食重要工具。
[00:07:54.000 --> 00:08:04.000]  他扔掉這支象的時候,發生什麼事呢?如果沒有了這支象,在他還沒找到代替的時候,對他的牧羊肯定會有很大的影響。
[00:08:04.000 --> 00:08:14.000]  但摩西同樣也是信服的。而這支普通的牧羊象,當摩西願意去信服神,放手,又撿起來的時候,
[00:08:14.000 --> 00:08:18.000]  神可以令到他變成一支有能力的象。
[00:08:18.000 --> 00:08:27.000]  到了出埃及的四章二十節,當摩西向著埃及出發的時候,聖經甚至是以神的象來形容這一支的象。
[00:08:27.000 --> 00:08:38.000]  我們也知道,後來摩西也用了這一支象行了很多神蹟,甚至是令到紅海的水分開,帶領以色列人出埃及。
[00:08:38.000 --> 00:08:50.000]  所以,只要神肯用,而你又願意為神所用,你手裡的東西是可以由普通變為不普通,由平凡變為非凡。
[00:08:50.000 --> 00:08:59.000]  你手裡是什麼?這個問題,神不只是問摩西,也是問我們,弟兄姊妹。
[00:08:59.000 --> 00:09:10.000]  你手裡可能是一支普通的鉸鞭,但可以幫人去校正生命的方向,可能是一支普通的筆,但可以成為別人的荒漠金泉。
[00:09:10.000 --> 00:09:20.000]  我知道有弟兄姊妹是開自己的博客,用文字去分享對生命的思考和領受。
[00:09:20.000 --> 00:09:24.000]  有人可能會說,我什麼都不懂,我只懂得禱告。
[00:09:24.000 --> 00:09:32.000]  這樣就對了,你可以每月來到第四週,兩點半到四點的猜拳部的祈禱會。
[00:09:32.000 --> 00:09:38.000]  你也可以奉單月來到第二個週日,兩點半到四點的中國關懷部的祈禱會。
[00:09:38.000 --> 00:09:43.000]  還可以申請加入做關懷部的禱告勇士。
[00:09:43.000 --> 00:09:51.000]  你手裡可能是一支炒菜的鑊鏟,你會說炒菜的鑊鏟有什麼用?
[00:09:51.000 --> 00:09:53.000]  很有用,弟兄姊妹。
[00:09:53.000 --> 00:10:02.000]  這支鑊鏟可以令一個在遠方的宣教士吃到家鄉的味道之後,重新得力,繼續有力去侍奉。
[00:10:02.000 --> 00:10:09.000]  一支鑊鏟在歐洲可以帶給一班留學生很大的安慰。
[00:10:09.000 --> 00:10:15.000]  一支普通的鑊鏟,在神的手裡可以變得不普通。
[00:10:15.000 --> 00:10:21.000]  其實現在不只是在歐洲,在我們身邊也有很多留學生。
[00:10:21.000 --> 00:10:26.000]  一支普通的鑊鏟加上一個開放的家庭,對我們漂流者,
[00:10:26.000 --> 00:10:34.000]  例如我們華語青年團契的這個群體,對離鄉別井的人和年輕人都是非同小可的。
[00:10:34.000 --> 00:10:43.000]  最近我們有幾位青團的弟兄姊妹,是用文字去分享了以飯桌去接待和連結生命的文章。
[00:10:43.000 --> 00:10:48.000]  我看的時候覺得很感動,所以忍不住也和大家分享一下。
[00:10:48.000 --> 00:10:59.000]  其中一位夫婦說,我們相信當一個家願意闖開,神就藉著這一扇門走進人的心裡。
[00:10:59.000 --> 00:11:08.000]  在這一張餐桌的旁邊,我們不只是分享食物,更多的是分享真理、聆聽、理解和接納。
[00:11:08.000 --> 00:11:14.000]  在這一份真誠的陪伴裡,我們慢慢成為彼此生命中家人一般的存在,
[00:11:14.000 --> 00:11:18.000]  不是血而源所定,乃是因愛而生。
[00:11:18.000 --> 00:11:19.000]  很感動。
[00:11:19.000 --> 00:11:28.000]  另一位姐妹說,一桌的飯菜,一份的心意,就能成為讓人如見主被愛包圍的小角落。
[00:11:28.000 --> 00:11:35.000]  還有一位姐妹這樣分享,一桌的家常菜,幾句交心的話,沒有華麗的排場,
[00:11:35.000 --> 00:11:47.000]  但是有最真實的陪伴,用愛彼此接待,用真心彼此相憐,讓每一次的相聚都成為見證基督愛的小小祭壇。
[00:11:47.000 --> 00:11:51.000]  是很感動,很美麗的圖畫。
[00:11:51.000 --> 00:11:58.000]  除了飯菜,我們可以透過廣東話班,親善家庭的接待,大家都可以參與得到的服侍。
[00:11:58.000 --> 00:12:08.000]  而在我們香港的社區裏面,還有其他的族裔,或者其他信仰的人的移民,都在我們當中。
[00:12:08.000 --> 00:12:13.000]  都是我們在神的國度裏面,要用我們手裏面有的東西去接待的人。
[00:12:13.000 --> 00:12:16.000]  是不是,弟兄姊妹?
[00:12:16.000 --> 00:12:22.000]  有人會說,我退休了,我手裏面沒有東西了,宣教的事我們留給年輕人去做了。
[00:12:22.000 --> 00:12:28.000]  那就錯了,退休了,我們手裏面可能多了時間。
[00:12:28.000 --> 00:12:35.000]  你更加有幾十年職場的經驗,和很多年跟隨主的經歷,可以向人分享。
