
[00:00:00.000 --> 00:00:04.760]  如果這一刻叫你們去想一個形容詞來形容恩福堂
[00:00:04.760 --> 00:00:06.760]  你會用什麼形容詞呢?
[00:00:06.760 --> 00:00:11.240]  你會用一個字去形容你的團契
[00:00:11.240 --> 00:00:13.240]  或者是你的團契小組
[00:00:13.240 --> 00:00:15.240]  你會怎樣形容呢?
[00:00:15.240 --> 00:00:18.520]  很多人啊
[00:00:18.520 --> 00:00:20.520]  很大間啊
[00:00:20.520 --> 00:00:22.520]  很有名的
[00:00:22.520 --> 00:00:24.520]  很大間的
[00:00:24.520 --> 00:00:26.520]  很大間的
[00:00:26.520 --> 00:00:28.520]  很有系統
[00:00:28.520 --> 00:00:30.520]  有完三福就有栽培
[00:00:30.520 --> 00:00:32.520]  有三寶
[00:00:32.520 --> 00:00:34.520]  很有錢的
[00:00:34.520 --> 00:00:36.520]  很有規模的
[00:00:36.520 --> 00:00:40.520]  有自己的籃球場、圖書館、書室、神學院
[00:00:40.520 --> 00:00:42.520]  冷氣很大
[00:00:42.520 --> 00:00:44.520]  聖經教導很強的
[00:00:44.520 --> 00:00:46.520]  做很多社官的
[00:00:46.520 --> 00:00:48.520]  傳很多福音的
[00:00:48.520 --> 00:00:52.520]  你會用什麼形容詞去形容恩福堂呢?
[00:00:54.520 --> 00:00:56.520]  有愛心
[00:00:56.520 --> 00:00:58.520]  這個形容詞
[00:00:58.520 --> 00:01:00.520]  會不會你去愛你
[00:01:00.520 --> 00:01:02.520]  形容恩福堂呢?
[00:01:02.520 --> 00:01:04.520]  當你想起愛和恩福堂
[00:01:04.520 --> 00:01:06.520]  你會想起什麼片段呢?
[00:01:06.520 --> 00:01:10.520]  還是沒有什麼片段想到
[00:01:10.520 --> 00:01:12.520]  更慘的就是
[00:01:12.520 --> 00:01:14.520]  只是想到一些被傷害的片段
[00:01:14.520 --> 00:01:20.520]  近日我自己都在想
[00:01:20.520 --> 00:01:22.520]  究竟愛是什麼回事
[00:01:22.520 --> 00:01:24.520]  人大了
[00:01:24.520 --> 00:01:28.520]  愛這個觀念、這個感覺、這個行動
[00:01:28.520 --> 00:01:30.520]  好像複雜了很多
[00:01:30.520 --> 00:01:32.520]  好像很陌生
[00:01:32.520 --> 00:01:34.520]  不複雜
