
[00:00:00.000 --> 00:00:04.080]  但開始之前先跟大家介紹一下自己
[00:00:04.080 --> 00:00:06.600]  因為可能當中有些人不太認識我
[00:00:06.600 --> 00:00:08.400]  我叫Claire
[00:00:08.400 --> 00:00:09.640]  Claire
[00:00:09.640 --> 00:00:13.360]  我是剛剛入職大概一年
[00:00:13.360 --> 00:00:14.480]  準備一年了
[00:00:14.480 --> 00:00:16.560]  我主要會在青少部服侍
[00:00:16.560 --> 00:00:19.480]  所以這次也是我第一次來到標青
[00:00:19.480 --> 00:00:21.480]  跟大家分享上帝的話
[00:00:21.480 --> 00:00:25.360]  那麼開始之前很想問大家一個問題
[00:00:25.360 --> 00:00:27.560]  這幅圖大家都看到了
[00:00:27.560 --> 00:00:31.760]  不知道大家有沒有去玩過一些圖藝的工作坊
[00:00:31.760 --> 00:00:32.680]  因為現在很流行的
[00:00:32.680 --> 00:00:35.600]  給幾百元就可以去了解一下圖藝
[00:00:35.600 --> 00:00:38.520]  我自己也曾經貪玩
[00:00:38.520 --> 00:00:40.360]  試一下玩這個圖藝
[00:00:40.360 --> 00:00:44.280]  發現原來做這個圖詞的器皿的時候
[00:00:44.280 --> 00:00:46.160]  過程一點也不容易
[00:00:46.160 --> 00:00:49.600]  過程中要包括煉土
[00:00:49.600 --> 00:00:52.800]  你要將泥去搓圓、壓扁
[00:00:52.800 --> 00:00:55.920]  去逼出泥中的空氣、雜質
[00:00:55.920 --> 00:00:58.520]  這樣才可以做到一個好的圖器
[00:00:58.520 --> 00:01:01.200]  之後你就要放在一個輪盤上
[00:01:01.200 --> 00:01:02.440]  去轉動它
[00:01:02.440 --> 00:01:07.880]  去塑造泥成為一個適合你心目中的器皿
[00:01:07.880 --> 00:01:09.640]  之後要上色
[00:01:09.640 --> 00:01:14.880]  再之後你就要放進高溫的爐裡去燒它
[00:01:14.880 --> 00:01:19.600]  這樣才可以拿到一個好的圖藝器皿
[00:01:19.600 --> 00:01:23.160]  其實原來聖經當中也曾經
[00:01:23.160 --> 00:01:28.200]  用窯醬和泥土去形容我們跟上帝的關係
[00:01:28.200 --> 00:01:31.640]  他說上帝是那位窯醬
[00:01:31.640 --> 00:01:33.840]  而我們是那位泥土
[00:01:33.840 --> 00:01:36.680]  如果我們再細心想
[00:01:36.680 --> 00:01:40.880]  這代表原來當人在被上帝塗造的過程
[00:01:40.880 --> 00:01:43.080]  不是想像中那麼舒服
[00:01:43.080 --> 00:01:46.200]  過程可能會受到壓迫
[00:01:46.200 --> 00:01:48.120]  可能會被修剪
[00:01:48.120 --> 00:01:52.240]  甚至可能要經歷一些火般的試煉
[00:01:52.840 --> 00:01:56.240]  今天很想跟大家一起去看摩西的生命
[00:01:56.240 --> 00:02:01.120]  看看他的生命如何被神雕琢、模造
[00:02:01.120 --> 00:02:02.600]  以致讓我們今天
[00:02:02.600 --> 00:02:06.600]  我們一群基督徒的生命有什麼反思和提醒
[00:02:06.600 --> 00:02:11.800]  今天的經文出自《埃及記》
[00:02:11.800 --> 00:02:14.960]  2章11至25節
[00:02:14.960 --> 00:02:17.520]  我們一起來讀以下的經文吧
[00:02:17.520 --> 00:02:19.560]  好,準備起
[00:02:20.160 --> 00:02:22.280]  過了一段日子
[00:02:22.280 --> 00:02:24.280]  摩西長大了
[00:02:24.280 --> 00:02:27.600]  他出去到他同胞那裡
[00:02:27.600 --> 00:02:29.960]  看見他們的奴役
[00:02:29.960 --> 00:02:34.200]  他看見一個埃及人打他的同胞
[00:02:34.200 --> 00:02:36.160]  一個希伯來人
[00:02:36.160 --> 00:02:38.480]  他左右觀看
[00:02:38.480 --> 00:02:39.840]  見沒有人
[00:02:39.840 --> 00:02:42.440]  就把埃及人打死了
[00:02:42.440 --> 00:02:44.400]  藏在沙土裡
[00:02:44.400 --> 00:02:46.840]  第二天他出去
[00:02:47.040 --> 00:02:51.040]  看見有兩個希伯來人再打架
[00:02:51.040 --> 00:02:53.960]  他就對那兇惡的人說
[00:02:53.960 --> 00:02:57.280]  「你為什麼打你同族的人呢?」
[00:02:57.280 --> 00:02:58.680]  那人說
[00:02:58.680 --> 00:03:03.200]  「誰立你作我們的領袖和審判官呢?」
[00:03:03.200 --> 00:03:08.360]  「難道你要殺我像殺那埃及人一樣嗎?」
[00:03:08.360 --> 00:03:10.920]  摩西就懼怕說
[00:03:10.920 --> 00:03:14.160]  「這事一定是讓人知道了」
[00:03:14.560 --> 00:03:18.880]  法老聽見這事就設法要殺摩西
[00:03:18.880 --> 00:03:21.280]  於是摩西逃走
[00:03:21.280 --> 00:03:22.840]  躲避法老
[00:03:22.840 --> 00:03:24.640]  到了米甸地
[00:03:24.640 --> 00:03:26.320]  坐在井旁
[00:03:26.320 --> 00:03:29.840]  米甸的祭司有七個女兒
[00:03:29.840 --> 00:03:31.760]  她們來打水
[00:03:31.760 --> 00:03:33.240]  打滿了槽
[00:03:33.240 --> 00:03:36.320]  要給父親的羊群喝水
[00:03:36.320 --> 00:03:38.600]  有一些牧羊人來
[00:03:38.600 --> 00:03:40.480]  把她們趕走
[00:03:40.480 --> 00:03:43.640]  摩西卻起來幫助她們
[00:03:43.840 --> 00:03:46.840]  取水給她們的羊群喝
[00:03:46.840 --> 00:03:50.240]  她們回到父親留意那裡
[00:03:50.240 --> 00:03:51.240]  她說
[00:03:51.240 --> 00:03:55.640]  「今天你們為何這麼快就回來了呢?」
[00:03:55.640 --> 00:03:56.960]  她們說
[00:03:56.960 --> 00:04:02.120]  「有一個埃及人來救我們脫離牧羊人的手」
[00:04:02.120 --> 00:04:06.040]  她甚至打水給我們的羊群喝
[00:04:06.040 --> 00:04:08.360]  她叫女兒說
[00:04:08.360 --> 00:04:10.240]  「那人在哪裡?」
[00:04:10.240 --> 00:04:13.000]  「你們為什麼撇下他呢?」
[00:04:13.280 --> 00:04:15.640]  「去請他來吃飯吧」
[00:04:15.640 --> 00:04:19.080]  摩西願意和那人同住
[00:04:19.080 --> 00:04:24.040]  那人就把女兒西波拉給西為妻
