
[00:00:00.000 --> 00:00:02.520]  好啊,今天很開心啊
[00:00:02.520 --> 00:00:04.920]  有很多小朋友在我們當中
[00:00:04.920 --> 00:00:07.240]  我的女兒在這裡,和 Adrian 的兒子也在這裡
[00:00:07.240 --> 00:00:09.000]  他們經歷過,我經常都形容
[00:00:09.000 --> 00:00:11.000]  哇,很有力量的
[00:00:11.000 --> 00:00:13.000]  好像在唱山歌一樣
[00:00:13.000 --> 00:00:15.000]  所以很開心
[00:00:15.000 --> 00:00:17.000]  很開心他們在這裡
[00:00:17.000 --> 00:00:19.000]  說到我的女兒
[00:00:19.000 --> 00:00:21.600]  最近有一個體會
[00:00:21.600 --> 00:00:24.200]  因為你知道我的女兒 K2
[00:00:24.200 --> 00:00:26.200]  K2 發生什麼事呢?
[00:00:26.200 --> 00:00:28.800]  K2 完結的時候就是小學面試
[00:00:28.800 --> 00:00:32.400]  我不知道你們以前是否也是那個時間
[00:00:32.400 --> 00:00:33.800]  我記得我好像不是
[00:00:33.800 --> 00:00:35.800]  不過現在好像已經退前了
[00:00:35.800 --> 00:00:38.800]  我就說,小學面試沒問題
[00:00:38.800 --> 00:00:41.800]  進去聊聊天,輕鬆
[00:00:41.800 --> 00:00:45.800]  誰知道我們去查問
[00:00:45.800 --> 00:00:48.800]  原來有一個叫小學面試班
[00:00:48.800 --> 00:00:50.800]  小學面試班
[00:00:50.800 --> 00:00:52.800]  哇,突然之間很大壓力
[00:00:52.800 --> 00:00:55.800]  就去查問有什麼
[00:00:55.800 --> 00:00:58.800]  最多是什麼,ABC
[00:00:58.800 --> 00:01:00.800]  誰知道去到後我們發現很大件事
[00:01:00.800 --> 00:01:02.800]  原來整件事很複雜
[00:01:02.800 --> 00:01:05.800]  小學面試班現在已經進展到一個地步
[00:01:05.800 --> 00:01:07.800]  簡直是很難去理會
[00:01:07.800 --> 00:01:09.800]  去幻想到是一件什麼事
[00:01:09.800 --> 00:01:11.800]  小朋友進去,有些學校
[00:01:11.800 --> 00:01:13.800]  他們希望小朋友進去會鞠躬
[00:01:13.800 --> 00:01:15.800]  會拉椅子,會撥裙子
[00:01:15.800 --> 00:01:17.800]  乖乖地坐下
[00:01:17.800 --> 00:01:19.800]  完結之後,把椅子放回去
[00:01:19.800 --> 00:01:21.800]  然後鞠躬,然後離開
[00:01:21.800 --> 00:01:24.800]  有些會要求你加數,減數
[00:01:24.800 --> 00:01:26.800]  最後一間我聽過連乘數都要
[00:01:26.800 --> 00:01:30.800]  K2我都不記得我K2會不會加數
[00:01:30.800 --> 00:01:33.800]  哇,真的很誇張
[00:01:33.800 --> 00:01:36.800]  然後中文怎樣,給你一幅畫
[00:01:36.800 --> 00:01:37.800]  一幅圖畫
[00:01:37.800 --> 00:01:40.800]  你看著這幅圖畫,然後你要說故事出來
[00:01:40.800 --> 00:01:43.800]  要說時間,人物,地點
[00:01:43.800 --> 00:01:46.800]  然後故事是什麼,有一個很好的結尾
[00:01:46.800 --> 00:01:48.800]  哇,超高難度
[00:01:48.800 --> 00:01:50.800]  最厲害的一間學校就是說
[00:01:50.800 --> 00:01:53.800]  小朋友你知不知道什麼叫忐忑
[00:01:53.800 --> 00:01:55.800]  哇,什麼叫忐忑
[00:01:55.800 --> 00:01:58.800]  什麼叫忐忑,我聽完之後我都忐忑
[00:01:58.800 --> 00:02:01.800]  不是說笑,雖然我都不明白什麼叫忐忑
[00:02:01.800 --> 00:02:04.800]  所以我突然覺得香港的小朋友真的很慘
[00:02:04.800 --> 00:02:08.800]  就是很困難,小學面試,很大壓力
[00:02:08.800 --> 00:02:10.800]  所以都不知道是不是小學面試班
[00:02:10.800 --> 00:02:12.800]  還是看得太多Inside
[00:02:12.800 --> 00:02:15.800]  我女兒最近給了我這個表情
[00:02:15.800 --> 00:02:18.800]  她走過來跟我做這個表情
[00:02:18.800 --> 00:02:19.800]  然後我問她這是什麼
[00:02:19.800 --> 00:02:21.800]  她就說這是Happy Set
