
[00:00:00.000 --> 00:00:05.000]  開始講到之前,我想講個笑話先
[00:00:05.000 --> 00:00:11.000]  講明,好不好笑都要笑
[00:00:11.000 --> 00:00:15.000]  因為是鼓勵來的
[00:00:15.000 --> 00:00:21.000]  話說回來,有位非華裔的男子
[00:00:21.000 --> 00:00:24.000]  我們儘管叫他唐先生
[00:00:24.000 --> 00:00:26.000]  去見心理醫生
[00:00:26.000 --> 00:00:30.000]  至於唐先生是什麼國籍,就要運用一下自己的想像力
[00:00:30.000 --> 00:00:35.000]  面對心理醫生的時候,唐先生就很老實地跟他說
[00:00:35.000 --> 00:00:38.000]  我不想來的,我老婆逼我來的
[00:00:38.000 --> 00:00:41.000]  我都不覺得我自己有什麼問題
[00:00:41.000 --> 00:00:46.000]  醫生就問他,你老婆為什麼叫你來
[00:00:46.000 --> 00:00:52.000]  唐先生就說,因為我說了我的真實身份
[00:00:52.000 --> 00:00:56.000]  你的真實身份是什麼
[00:00:56.000 --> 00:01:00.000]  我是大能的救世主
[00:01:00.000 --> 00:01:03.000]  醫生就開始滴汗了
[00:01:03.000 --> 00:01:09.000]  知道這是一個自大狂妄的人,很難搞
[00:01:09.000 --> 00:01:15.000]  很辛苦地跟這位大能的救世主聊了很長時間之後
[00:01:15.000 --> 00:01:19.000]  終於唐先生就被醫生說服了
[00:01:19.000 --> 00:01:22.000]  明白自己不是救世主
[00:01:22.000 --> 00:01:27.000]  這個時候唐先生就看著醫生兩眼放光
[00:01:27.000 --> 00:01:31.000]  好像很仰慕又很感謝的樣子
[00:01:31.000 --> 00:01:34.000]  臨結束之前,醫生就問他
[00:01:34.000 --> 00:01:38.000]  你現在知道你自己的真實身份了嗎
[00:01:38.000 --> 00:01:41.000]  當然知道了,唐先生就這麼說
[00:01:41.000 --> 00:01:46.000]  很肯定地說,我就是一個大能的醫生
[00:01:46.000 --> 00:01:52.000]  還有,你是哪位?你為什麼坐了我的位子?
[00:01:52.000 --> 00:01:56.000]  聽起來很荒謬
[00:01:56.000 --> 00:02:01.000]  但是有時候我們會不會好像唐先生一樣
[00:02:01.000 --> 00:02:07.000]  搞不清自己是誰,甚至想連醫生的位子也坐了
[00:02:07.000 --> 00:02:12.000]  尤其是有時候我們掛著基督徒這個身份的時候
[00:02:12.000 --> 00:02:18.000]  生命主權這個位子是誰坐的呢?
[00:02:18.000 --> 00:02:23.000]  是耶穌呢?還是我自己呢?
[00:02:23.000 --> 00:02:29.000]  今天這一講是我史勞信經系列的第二講
[00:02:29.000 --> 00:02:37.000]  讓我們一起來搞清楚我是誰,和耶穌是誰
[00:02:37.000 --> 00:02:44.000]  請大家再一次讀一讀史勞信經一二三起
[00:02:44.000 --> 00:02:51.000]  非常好,距離我上次在台上已經差不多隔了四個月了
[00:02:51.000 --> 00:02:55.000]  所以請容許我再不厭其煩地說一次
[00:02:55.000 --> 00:03:00.000]  史勞信經不是用來取代聖經的
[00:03:00.000 --> 00:03:04.000]  但是史勞信經是一個非常重要的基督教思想的
[00:03:04.000 --> 00:03:08.000]  核心信仰價值的宣言
[00:03:08.000 --> 00:03:15.000]  而且在史勞信經裡面的結構特點我已經指出了
[00:03:15.000 --> 00:03:19.000]  信經是對三位一體的信仰的一個告白
[00:03:19.000 --> 00:03:21.000]  聖父、聖子、聖靈
[00:03:21.000 --> 00:03:26.000]  另外信經也是以創世開始到末日
[00:03:26.000 --> 00:03:29.000]  這個歷史次序的一個摘要
[00:03:29.000 --> 00:03:34.000]  表白了我們教會三個基本信仰
[00:03:34.000 --> 00:03:38.000]  就是創造論、救贖論和末世論
[00:03:38.000 --> 00:03:41.000]  創造之功就是聖父的工作
[00:03:41.000 --> 00:03:43.000]  救贖的工作是聖子的工作
[00:03:43.000 --> 00:03:47.000]  而末世的啟示是聖靈的工作
[00:03:47.000 --> 00:03:54.000]  所以合起來就是我們基督教信仰有關三位一體真神的工作
[00:03:54.000 --> 00:04:00.000]  四個月前我講了第一句就是我們信徒對聖父的信仰告白
[00:04:00.000 --> 00:04:05.000]  「我信上帝,全能的父,創造天地的主」
[00:04:05.000 --> 00:04:10.000]  強調了聖父是創造和掌管的那位
[00:04:10.000 --> 00:04:15.000]  另外我也都指出「我信」的含義
[00:04:15.000 --> 00:04:22.000]  不單只是說我相信有這種東西的存在
[00:04:22.000 --> 00:04:27.000]  司徒信經的「我信」是指「信靠信賴」
[00:04:27.000 --> 00:04:31.000]  我們信而且是將我們自己的生命
[00:04:31.000 --> 00:04:34.000]  交託出去我所信靠的對象
[00:04:34.000 --> 00:04:36.000]  這個就是信
[00:04:36.000 --> 00:04:44.000]  在我們認識了並且信靠信任這位創造和掌管我們的聖父之後
[00:04:44.000 --> 00:04:51.000]  我們要看看聖子這位救贖我們的耶穌基督
[00:04:51.000 --> 00:04:56.000]  你看到司徒信經是用了超過一半紅燒的部份
[00:04:56.000 --> 00:05:00.000]  超過一半的篇幅去形容耶穌基督
[00:05:00.000 --> 00:05:04.000]  在比例上是很不平衡的但又非常之合宜的寫法
[00:05:04.000 --> 00:05:08.000]  因為基督教信仰的中心就是耶穌基督
[00:05:08.000 --> 00:05:15.000]  信經告訴我們我所信的上帝是創造和掌管的那位全能的父
[00:05:15.000 --> 00:05:21.000]  但祂不是抽離的上帝是創造了這個世界創造了之後
[00:05:21.000 --> 00:05:24.000]  祂不會放手不理
[00:05:24.000 --> 00:05:28.000]  而且祂更加曾經在人類歷史上出現過
[00:05:28.000 --> 00:05:33.000]  並且親自向我們啟示和施行拯救的上帝
[00:05:33.000 --> 00:05:37.000]  這位上帝就是耶穌基督
[00:05:37.000 --> 00:05:41.000]  《要人一書一章八節》這樣說
[00:05:41.000 --> 00:05:45.000]  從來沒有人見過上帝沒有人見過神
[00:05:45.000 --> 00:05:50.000]  只有在父懷裡的獨生子將祂彰顯出來
[00:05:50.000 --> 00:05:54.000]  耶穌基督是自有人類歷史以來唯一可以
[00:05:54.000 --> 00:06:00.000]  讓人完全豐盛地認識上帝的這條路徑
[00:06:00.000 --> 00:06:04.000]  正如耶穌自己稱我是道路真理生命
[00:06:04.000 --> 00:06:11.000]  若不直著我 若果不直著我 無人能夠到父那裡去
[00:06:11.000 --> 00:06:14.000]  祂不是像其他宗教的創始人一樣
[00:06:14.000 --> 00:06:19.000]  聲稱某個意象某個意夢中得著上帝的啟示
[00:06:19.000 --> 00:06:23.000]  而祂就是啟示自己 祂就是上帝自己
