
[00:00:00.000 --> 00:00:08.000]  頂姐妹,今天是中國人農曆套年最後的一個週六崇拜
[00:00:08.000 --> 00:00:11.000]  下個星期就是農年大年初一
[00:00:11.000 --> 00:00:16.000]  也是有我們週六的祖堂崇拜
[00:00:16.000 --> 00:00:19.000]  未來幾天就是我們預備過年的高峰期
[00:00:19.000 --> 00:00:23.000]  頂姐妹,你會怎樣迎接新年?
[00:00:23.000 --> 00:00:25.000]  回鄉下?
[00:00:25.000 --> 00:00:27.000]  出外旅遊?
[00:00:27.000 --> 00:00:29.000]  過年愉過日?
[00:00:29.000 --> 00:00:31.000]  還是平常心?
[00:00:31.000 --> 00:00:34.000]  大家看看螢光幕的對聯
[00:00:34.000 --> 00:00:37.000]  看上去有點粗俗
[00:00:37.000 --> 00:00:39.000]  但也挺到肉
[00:00:39.000 --> 00:00:45.000]  就是說朦朦朧朧,度歲月
[00:00:45.000 --> 00:00:48.000]  昂昂居居,過一年
[00:00:48.000 --> 00:00:54.000]  你想你怎樣預備迎接新的一年呢?
[00:00:54.000 --> 00:00:58.000]  會不會好像這對對聯那樣呢?
[00:00:58.000 --> 00:01:02.000]  中國人迎接新的一年
[00:01:02.000 --> 00:01:07.000]  在家居上一定要去舊迎新一下
[00:01:07.000 --> 00:01:09.000]  有人說年廿八,怎樣?
[00:01:09.000 --> 00:01:11.000]  洗得太淡
[00:01:11.000 --> 00:01:14.000]  要整理一下,清理一番
[00:01:14.000 --> 00:01:16.000]  讓家居換新一身
[00:01:16.000 --> 00:01:18.000]  又貼個灰穿
[00:01:18.000 --> 00:01:21.000]  給家裡一些祝福語
[00:01:21.000 --> 00:01:24.000]  展示新年是喜慶的日子
[00:01:24.000 --> 00:01:27.000]  年頭有好的開始
[00:01:27.000 --> 00:01:29.000]  整年就會好
[00:01:29.000 --> 00:01:31.000]  是不是?
[00:01:31.000 --> 00:01:33.000]  但我們基督徒過年
[00:01:33.000 --> 00:01:36.000]  不只是單講外表
[00:01:36.000 --> 00:01:40.000]  重要的是我們內心的情況
[00:01:40.000 --> 00:01:42.000]  所以我們的心靈
[00:01:42.000 --> 00:01:44.000]  都要來一個自我檢視
[00:01:44.000 --> 00:01:46.000]  去無全清
[00:01:46.000 --> 00:01:48.000]  在上個再上個禮拜
[00:01:48.000 --> 00:01:50.000]  鄧家輝傳道
[00:01:50.000 --> 00:01:52.000]  講了C篇51篇
[00:01:52.000 --> 00:01:55.000]  讓大家去審測心中的罪惡
[00:01:55.000 --> 00:01:58.000]  對罪要斷捨離
[00:01:58.000 --> 00:02:02.000]  於是就可以更新上路迎接新年
[00:02:02.000 --> 00:02:05.000]  而教會也有年檢
[00:02:05.000 --> 00:02:08.000]  團契組長和導師
[00:02:08.000 --> 00:02:10.000]  會為我們團契的同工
[00:02:10.000 --> 00:02:13.000]  寫一些感恩的回饋
[00:02:13.000 --> 00:02:15.000]  區目去我的團契
[00:02:15.000 --> 00:02:18.000]  分享免禮的組長說
[00:02:18.000 --> 00:02:21.000]  基督徒有三樣東西很重要
[00:02:21.000 --> 00:02:24.000]  其他宗教和團體沒有
[00:02:24.000 --> 00:02:26.000]  第一是恩典
[00:02:26.000 --> 00:02:28.000]  第二是相愛
[00:02:28.000 --> 00:02:30.000]  第三是饒恕
[00:02:30.000 --> 00:02:32.000]  大家想一想
[00:02:32.000 --> 00:02:35.000]  我們之所以有以上三樣
[00:02:35.000 --> 00:02:37.000]  很活躍在我們的群體裡
[00:02:37.000 --> 00:02:42.000]  全因為我們有一個又真又活的神
[00:02:42.000 --> 00:02:46.000]  祂使我們在世上成為不一樣的群體
[00:02:46.000 --> 00:02:51.000]  是會為得到神的恩典而感恩讚美
[00:02:51.000 --> 00:02:54.000]  亦會相愛和饒恕
[00:02:54.000 --> 00:02:57.000]  去見證榮耀神的群體
[00:02:57.000 --> 00:03:02.000]  教會明天有恩福與禮喜迎春
[00:03:02.000 --> 00:03:05.000]  有同工和書法能手
[00:03:05.000 --> 00:03:07.000]  寫一些揮春
[00:03:07.000 --> 00:03:10.000]  給大家送上屬靈的祝福
[00:03:10.000 --> 00:03:14.000]  讓我們的生命在進入新幾年的時候
[00:03:14.000 --> 00:03:18.000]  是踴躍和充滿喜慶
[00:03:18.000 --> 00:03:23.000]  今天早上我和大家分享詩篇138篇
[00:03:23.000 --> 00:03:28.000]  這篇詩的結構很精湛
[00:03:28.000 --> 00:03:31.000]  是一個很美麗異常的好詩
[00:03:31.000 --> 00:03:34.000]  這篇詩是大衛的詩
[00:03:34.000 --> 00:03:39.000]  這篇詩的第一第二和第四節
[00:03:39.000 --> 00:03:43.000]  都出現了原文同一個字的動詞
[00:03:43.000 --> 00:03:48.000]  就是「清謝」和「重揚」
[00:03:48.000 --> 00:03:52.000]  在第一節說「我要一心清謝你」
[00:03:52.000 --> 00:03:59.000]  在第二節說「我要因你的慈愛和信實重揚你的名」
[00:03:59.000 --> 00:04:06.000]  第四節說「地上的君王都要清謝你」
[00:04:06.000 --> 00:04:12.000]  而詩篇138篇都是充滿清謝的氣氛
[00:04:12.000 --> 00:04:19.000]  所以這篇詩的主題是以清謝讚美為主題
[00:04:19.000 --> 00:04:23.000]  我們一起讀詩篇138篇吧
[00:04:23.000 --> 00:04:26.000]  請我們一起中讀
[00:04:26.000 --> 00:04:29.000]  我要一心清謝你
[00:04:29.000 --> 00:04:32.000]  在主神面前歌頌你
[00:04:32.000 --> 00:04:35.000]  我要向你的聖殿下拜
[00:04:35.000 --> 00:04:38.000]  我要因你的慈愛和信實
[00:04:38.000 --> 00:04:40.000]  重揚你的名
[00:04:40.000 --> 00:04:44.000]  因你使你的名和你的言語顯為大
[00:04:44.000 --> 00:04:46.000]  超乎一切
[00:04:46.000 --> 00:04:49.000]  我呼求的日子你就應運我
[00:04:49.000 --> 00:04:53.000]  使我壯膽心裡有能力
[00:04:53.000 --> 00:04:57.000]  耶和華地上的君王都要清謝你
[00:04:57.000 --> 00:05:01.000]  因他們聽見了你口中的言語
[00:05:01.000 --> 00:05:05.000]  他們要歌頌耶和華的作為
[00:05:05.000 --> 00:05:07.000]  因耶和華大有榮耀
[00:05:07.000 --> 00:05:12.000]  耶和華雖高卻看不起的人
[00:05:12.000 --> 00:05:16.000]  驕傲的人他從遠處即能認出
[00:05:16.000 --> 00:05:19.000]  我雖困在患難中
[00:05:19.000 --> 00:05:22.000]  你必將我救活
[00:05:22.000 --> 00:05:24.000]  我的仇敵法路
[00:05:24.000 --> 00:05:27.000]  你必伸手抵擋他們
[00:05:27.000 --> 00:05:30.000]  你的右手也必拯救我
[00:05:30.000 --> 00:05:35.000]  耶和華必承傳他在我身上的旨意
[00:05:35.000 --> 00:05:39.000]  耶和華你的慈愛永遠長存
