
[00:00:00.000 --> 00:00:07.200]  今天跟大家分享的題目就是在禱告中認識神,透過愛慕去愛神
[00:00:07.200 --> 00:00:16.400]  上個禮拜中秋大家有沒有去哪裡玩,有沒有去看月亮
[00:00:16.400 --> 00:00:20.000]  就是地下的月亮,不是天上的月亮
[00:00:20.000 --> 00:00:22.400]  不過地下的月亮就滾走了
[00:00:22.400 --> 00:00:30.400]  團契上個禮拜趁著中秋我們都去了探訪
[00:00:30.400 --> 00:00:39.400]  探訪完之後我們通常都會一起分享我們在探訪裡面經歷過的事情
[00:00:39.400 --> 00:00:46.400]  很深刻一位弟兄的分享,他說我去探訪其實我見他都好像幸福過我
[00:00:46.400 --> 00:00:58.400]  其實我去探訪對於他來說好像沒有什麼動機或者需要去信神
[00:00:58.400 --> 00:01:03.400]  他提出這個疑問,我自己心裡面就想了
[00:01:03.400 --> 00:01:12.400]  其實這個想法或多或少反映了一點點背後怎麼去想神
[00:01:12.400 --> 00:01:23.400]  會想什麼呢?我自己去想就是神存在的價值是不是去解決我們生活問題的良方
[00:01:23.400 --> 00:01:27.400]  或者是總之你來幫我搞定一些事情,謝謝
[00:01:27.400 --> 00:01:32.400]  如果我們美滿生活的時候,其實神你都可以休息一下
[00:01:32.400 --> 00:01:37.400]  沒什麼需要了,是不是這麼功能性呢?
[00:01:37.400 --> 00:01:42.400]  神在我們生命裡面或者生活當中
[00:01:42.400 --> 00:01:45.400]  不知道大家有沒有聽過,我應該都聽過了
[00:01:45.400 --> 00:01:48.400]  你一出外靠朋友,有沒有聽過?
[00:01:48.400 --> 00:01:51.400]  聽過啦,識人好過識字,有沒有聽過?
[00:01:51.400 --> 00:01:53.400]  反映什麼呢?
[00:01:53.400 --> 00:01:57.400]  人與人之間的關係是什麼?很功能性
[00:01:57.400 --> 00:02:00.400]  是不是?識人好過識字,不是
[00:02:00.400 --> 00:02:03.400]  就是說認識那個人可以帶給你什麼?
[00:02:03.400 --> 00:02:05.400]  好處嘛,是不是?
[00:02:05.400 --> 00:02:08.400]  都很功能性的,我們的關係其實呢
[00:02:08.400 --> 00:02:11.400]  其實每個關係當然都有它的功能
[00:02:11.400 --> 00:02:18.400]  不過重點在於你將功能放在首位還是將關係放在首位裡面呢?
[00:02:18.400 --> 00:02:21.400]  不過我們在社會裡面工作的時候
[00:02:21.400 --> 00:02:25.400]  我們就會搞一搞功能至上
[00:02:25.400 --> 00:02:28.400]  最重要是搞定一些東西
[00:02:28.400 --> 00:02:35.400]  工作裡面可能都會因為功能的需要
[00:02:35.400 --> 00:02:37.400]  你就要去建立那個關係
[00:02:37.400 --> 00:02:41.400]  可能要去吃一下所謂的政治飯,去打好那些關係
[00:02:41.400 --> 00:02:44.400]  關係好,你跟上司或者跟客人好
[00:02:44.400 --> 00:02:47.400]  事情又進展得好,更加順利
[00:02:47.400 --> 00:02:49.400]  這件事沒有說是錯的
[00:02:49.400 --> 00:02:53.400]  不過這個呢,也讓我們有一種的習慣
[00:02:53.400 --> 00:02:56.400]  關係是有它的功能在裡面的
[00:02:56.400 --> 00:03:02.400]  那麼,拍拖可能就悶了
[00:03:02.400 --> 00:03:05.400]  就是一個,兩個好一點
[00:03:05.400 --> 00:03:07.400]  結婚可能就要生孩子
[00:03:07.400 --> 00:03:09.400]  或者解決財務問題
[00:03:09.400 --> 00:03:11.400]  要抽屋子,之類
[00:03:11.400 --> 00:03:14.400]  或者是想要脫離原生家庭
[00:03:14.400 --> 00:03:19.400]  我們都會有其他的動機或者原因在裡面
[00:03:19.400 --> 00:03:21.400]  我們要解決一些東西
[00:03:21.400 --> 00:03:23.400]  當然不是每個人都是這樣
[00:03:23.400 --> 00:03:28.400]  不過我們有時候可能都會聽過這種情況
[00:03:28.400 --> 00:03:34.400]  但其實我們究竟有沒有享受到在當中的關係呢?
[00:03:34.400 --> 00:03:39.400]  記得在初訊的時候,就是我初訊的時候
[00:03:39.400 --> 00:03:45.400]  我們通常都會有一位靈明比較成熟的弟兄
[00:03:45.400 --> 00:03:48.400]  我是弟兄,有個弟兄來關心我的
[00:03:48.400 --> 00:03:50.400]  或者帶領我去成長
[00:03:50.400 --> 00:03:54.400]  我很記得他教我怎樣去靈修
[00:03:54.400 --> 00:03:57.400]  禱告,我心黑的時候,他就說
[00:03:57.400 --> 00:04:00.400]  靈修禱告就是親近主
[00:04:00.400 --> 00:04:03.400]  我就心想,我都看不到
[00:04:03.400 --> 00:04:05.400]  我怎樣去靠近一點他呢?
[00:04:05.400 --> 00:04:08.400]  有東西我也走過去
[00:04:08.400 --> 00:04:12.400]  其實怎樣才算是親近主呢?
[00:04:12.400 --> 00:04:14.400]  怎樣去靠近他多一點呢?
[00:04:14.400 --> 00:04:17.400]  當時對我來說,我覺得這件事比較抽象
[00:04:17.400 --> 00:04:21.400]  如果你想一下,其實你怎樣親近主呢?
[00:04:21.400 --> 00:04:24.400]  你怎樣會覺得你是跟神很親近呢?
[00:04:24.400 --> 00:04:29.400]  你現在問一下你自己,其實你是怎樣發生的呢?
[00:04:29.400 --> 00:04:35.400]  對於我來說,在當時親近主就是做什麼呢?
[00:04:35.400 --> 00:04:38.400]  祈禱,都很熟靈的
[00:04:38.400 --> 00:04:42.400]  通常都是將我的問題放上來
[00:04:42.400 --> 00:04:45.400]  就會祈求這個,祈求那個
[00:04:45.400 --> 00:04:49.400]  大大小小的問題,就會放上來
[00:04:49.400 --> 00:04:53.400]  禱告裡面,或者親近神呢
[00:04:53.400 --> 00:04:56.400]  都是比較功能一點的
[00:04:56.400 --> 00:05:02.400]  你又回想一下你自己的禱告,或者近來的禱告
[00:05:02.400 --> 00:05:04.400]  通常內容是什麼呢?
[00:05:04.400 --> 00:05:10.400]  是求什麼呢?還是沒有求什麼呢?
[00:05:10.400 --> 00:05:16.400]  其實你回想一下,你禱告的內容是什麼呢?
[00:05:16.400 --> 00:05:23.400]  其實我們通常是否有事就去找神
[00:05:23.400 --> 00:05:30.400]  沒什麼事就可以自己好好地生活呢?
[00:05:30.400 --> 00:05:34.400]  我們跟神的關係是不是這樣的呢?
[00:05:34.400 --> 00:05:40.400]  今天透過這個講題,我們一同去看詩篇63篇
[00:05:40.400 --> 00:05:46.400]  我們去明白,或者去了解大衛這一篇詩篇
[00:05:46.400 --> 00:05:52.400]  他對神的禱告,反映著跟神是一個怎樣的關係呢?
[00:05:52.400 --> 00:06:03.400]  詩篇63篇,是大衛很深深地向神表達愛慕的一個圖文
[00:06:03.400 --> 00:06:11.400]  在這裡,這篇詩篇都被譽為無法超越他對神的愛慕的情
[00:06:11.400 --> 00:06:17.400]  在詩篇裡面,這篇對神的愛慕表達
[00:06:17.400 --> 00:06:23.400]  是很高峰或者很深切地表達
[00:06:23.400 --> 00:06:28.400]  這個時候我們一同讀出這段經文
[00:06:28.400 --> 00:06:31.400]  詩篇63篇,1至11節
[00:06:31.400 --> 00:06:33.400]  我一同讀出,神啊
[00:06:33.400 --> 00:06:37.400]  神請使我來生,我要支持你和祂們
[00:06:37.400 --> 00:06:42.400]  我要幫助你和祂們,我需要支持你,我愛你
[00:06:42.400 --> 00:06:44.400]  我愛神,我支持你
[00:06:44.400 --> 00:06:47.400]  我愛聖子,我愛神,我支持你
[00:06:47.400 --> 00:06:51.400]  我要見你,我要見你,我要見你
[00:06:51.400 --> 00:06:54.400]  因你似我,你似神,你似我
[00:06:54.400 --> 00:06:57.400]  我最信要尋求你
