
[00:00:00.000 --> 00:00:04.000]  我講到啦
[00:00:04.000 --> 00:00:06.000]  不知道大家知不知道
[00:00:06.000 --> 00:00:09.000]  標青崇拜七月份的講題
[00:00:09.000 --> 00:00:11.000]  有個月題
[00:00:11.000 --> 00:00:13.000]  大家有沒有留意到
[00:00:13.000 --> 00:00:15.000]  七月份的講題就是
[00:00:15.000 --> 00:00:19.000]  突破自我限制去學習愛
[00:00:19.000 --> 00:00:22.000]  其實這個是我們七月份的講題
[00:00:22.000 --> 00:00:26.000]  其實愛這件事很特別
[00:00:26.000 --> 00:00:28.000]  不知道大家覺得怎樣
[00:00:28.000 --> 00:00:32.000]  很熟悉但又好像很陌生
[00:00:32.000 --> 00:00:34.000]  又好像識識地
[00:00:34.000 --> 00:00:36.000]  講到愛沒有人不懂
[00:00:36.000 --> 00:00:40.000]  但又好像不太懂
[00:00:40.000 --> 00:00:43.000]  我相信我們對愛都有
[00:00:43.000 --> 00:00:47.000]  我們不同的人對愛都有不同的理解
[00:00:47.000 --> 00:00:50.000]  我相信這本書大家都很熟悉
[00:00:50.000 --> 00:00:53.000]  叫做五種愛的語言
[00:00:53.000 --> 00:00:56.000]  講不同的人對表達愛
[00:00:56.000 --> 00:00:59.000]  或者接收愛的形式很不同
[00:00:59.000 --> 00:01:03.000]  大致上有這五種形式
[00:01:03.000 --> 00:01:10.000]  如果我是一個收到禮物才感受到愛的人
[00:01:10.000 --> 00:01:14.000]  而我老公又不太懂得送禮物給我
[00:01:14.000 --> 00:01:16.000]  也是真的
[00:01:16.000 --> 00:01:20.000]  我不是投訴他
[00:01:20.000 --> 00:01:24.000]  但我老公很聰明幫我做很多事
[00:01:24.000 --> 00:01:26.000]  特別是清潔家居
[00:01:26.000 --> 00:01:31.000]  抹地 清潔家居 做家務
[00:01:31.000 --> 00:01:34.000]  但如果我認為
[00:01:34.000 --> 00:01:37.000]  我老公為何經常不送禮物給我
[00:01:37.000 --> 00:01:39.000]  因為他不送禮物給我
[00:01:39.000 --> 00:01:42.000]  我認定他不愛我
[00:01:42.000 --> 00:01:45.000]  其實我都想了一遍
[00:01:45.000 --> 00:01:47.000]  我誤會了他
[00:01:47.000 --> 00:01:53.000]  愛情的關係也是帶來很複雜的事情
