
[00:00:00.000 --> 00:00:03.740]  不過我今早更早,四時多醒來
[00:00:03.740 --> 00:00:06.500]  醒來後,今天是年初一
[00:00:06.500 --> 00:00:08.380]  我也要跟大家拜年
[00:00:08.380 --> 00:00:10.700]  最後四時多起來的時候
[00:00:10.700 --> 00:00:15.260]  就土告完,作了一首大遊詩
[00:00:15.260 --> 00:00:17.540]  來賀大家套年
[00:00:17.540 --> 00:00:20.380]  我們一起讀一讀,好嗎?
[00:00:20.380 --> 00:00:23.800]  「神恩遂令苦苦過
[00:00:23.800 --> 00:00:27.440]  套有三忽彈性多
[00:00:27.440 --> 00:00:30.560]  紮根真理,莫頹多
[00:00:30.560 --> 00:00:33.900]  倚靠聖靈,福音播」
[00:00:33.900 --> 00:00:35.900]  這個呢
[00:00:35.900 --> 00:00:42.460]  是送給每一個頂姐妹
[00:00:42.460 --> 00:00:45.220]  以及自己自勉
[00:00:45.220 --> 00:00:47.740]  透過農曆年間見到的人
[00:00:47.740 --> 00:00:51.540]  有機會能夠將那個恩典帶出來
[00:00:51.540 --> 00:00:54.180]  其實剛剛過去的一年
[00:00:54.180 --> 00:00:57.100]  一點都不容易過,是嗎?
[00:00:57.100 --> 00:01:00.440]  我自己臨年尾的時間
[00:01:00.440 --> 00:01:02.680]  連續幾件事發生
[00:01:02.680 --> 00:01:08.640]  令到我心裏面都是心掛掛
[00:01:08.640 --> 00:01:11.040]  第一就是廣州,我的妹妹
[00:01:11.040 --> 00:01:12.180]  有一天打電話給我
[00:01:12.180 --> 00:01:15.240]  「哥哥,我要告訴你」
[00:01:15.240 --> 00:01:18.640]  她用錄音,因為我沒有聽到
[00:01:18.640 --> 00:01:24.680]  她說桂玲,即是我妹夫
[00:01:24.680 --> 00:01:33.120]  因為中了新冠肺炎,發燒
[00:01:33.120 --> 00:01:37.880]  結果急症入了醫院
[00:01:37.880 --> 00:01:40.120]  有一個好的地方就是
[00:01:40.120 --> 00:01:42.080]  市的醫院去不了
[00:01:42.080 --> 00:01:45.360]  他就去了一個區的,比較小的醫院
[00:01:45.360 --> 00:01:47.760]  因為去到小一點的醫院
[00:01:47.760 --> 00:01:53.440]  所以我的外甥可以進去陪他,照顧他
[00:01:53.440 --> 00:01:57.160]  進去八天,一直都發高燒
[00:01:57.160 --> 00:01:59.920]  大家知道他是一個癌病的病人
[00:01:59.920 --> 00:02:02.760]  但這麼多年裏面有復發過
[00:02:02.760 --> 00:02:05.760]  三十年前已經是癌病
[00:02:05.760 --> 00:02:08.840]  然後復發過之後有很多不同的後遺症
[00:02:08.840 --> 00:02:12.000]  也都試過中風,即輕微的中風
[00:02:12.000 --> 00:02:13.360]  很多的病
[00:02:13.360 --> 00:02:15.880]  所以這件事一發生之後
[00:02:15.880 --> 00:02:19.760]  進了醫院八天,他就離開了
[00:02:19.760 --> 00:02:21.760]  我聽到那個消息
[00:02:21.760 --> 00:02:24.440]  我心裏非常掛念我的妹妹
[00:02:24.440 --> 00:02:26.440]  因為她也是大腸癌
[00:02:26.440 --> 00:02:31.120]  而且接受化療期間
[00:02:31.120 --> 00:02:34.240]  是因為窩血,她忍受不了
[00:02:34.240 --> 00:02:37.800]  所以最後都要停了
[00:02:37.800 --> 00:02:40.320]  停了之後到底她受得了嗎
[00:02:40.320 --> 00:02:42.160]  所以我們都打電話給她
[00:02:42.160 --> 00:02:46.840]  聽到她的電話的時候,我才開始放心
[00:02:46.840 --> 00:02:50.240]  她說哥,你不要掛念我
[00:02:50.240 --> 00:02:55.680]  我知道原來桂玲比我早去主那裏
[00:02:55.680 --> 00:02:57.680]  我反而放心
[00:02:57.680 --> 00:02:59.680]  因為我一直的禱告就是
[00:02:59.680 --> 00:03:04.480]  不要讓我去主那裏比桂玲早
[00:03:04.480 --> 00:03:06.760]  因為如果我早去的時候
[00:03:06.760 --> 00:03:08.440]  她就更加淒涼
[00:03:08.440 --> 00:03:10.880]  都不知道誰去服侍她
[00:03:10.880 --> 00:03:14.320]  但現在因為她早去主那裏
[00:03:14.320 --> 00:03:17.120]  在樂園,所以她就完全放心
[00:03:17.120 --> 00:03:18.680]  所以你不需要掛念
[00:03:18.680 --> 00:03:21.160]  然後我就問她,你又怎樣
[00:03:21.160 --> 00:03:22.440]  她說奇怪
[00:03:22.440 --> 00:03:26.280]  當她不再做化療之後
