
[00:00:00.000 --> 00:00:05.000]  我們今天的主題是「禱告不悔心」
[00:00:05.000 --> 00:00:09.000]  我們身為基督徒
[00:00:09.000 --> 00:00:13.000]  我們知道我們一得著重新
[00:00:13.000 --> 00:00:16.000]  神就給我們一個很基本的權利
[00:00:16.000 --> 00:00:19.000]  就是什麼?禱告
[00:00:19.000 --> 00:00:22.000]  耶穌基督在十字架上的犧牲
[00:00:22.000 --> 00:00:28.000]  將上帝和人之間隔斷的牆拆毀了
[00:00:28.000 --> 00:00:33.000]  叫一切信耶穌的人都可以有權奉祂的名
[00:00:33.000 --> 00:00:36.000]  直接和上帝傾學
[00:00:36.000 --> 00:00:39.000]  直接讚美、感恩、認罪、祈求
[00:00:39.000 --> 00:00:44.000]  將我們各樣的心思鏈向上帝去陳明
[00:00:44.000 --> 00:00:46.000]  耶穌在世上的時候
[00:00:46.000 --> 00:00:52.000]  祂常常鼓勵人、呼喚人多向天父去禱告
[00:00:52.000 --> 00:00:55.000]  祂自己就是最好的典範
[00:00:55.000 --> 00:00:58.000]  祂出來傳道侍奉耳仙
[00:00:58.000 --> 00:01:02.000]  在曠野禱告金城四十晝夜
[00:01:02.000 --> 00:01:05.000]  揀選十二位門徒之前
[00:01:05.000 --> 00:01:07.000]  耶穌整夜禱告
[00:01:07.000 --> 00:01:12.000]  祂也經常獨自推到曠野去禱告
[00:01:12.000 --> 00:01:15.000]  不論是歡樂、是哀傷
[00:01:15.000 --> 00:01:18.000]  是日常傳道醫病的日子
[00:01:18.000 --> 00:01:21.000]  或是面對十家的挑戰
[00:01:21.000 --> 00:01:25.000]  耶穌也是隨時隨地和天父去傾學
[00:01:25.000 --> 00:01:28.000]  過著禱告的生活
[00:01:28.000 --> 00:01:32.000]  可見禱告是何等重要
[00:01:32.000 --> 00:01:36.000]  禱告既然是信徒我們的權利
[00:01:36.000 --> 00:01:38.000]  因為這麼重要
[00:01:38.000 --> 00:01:41.000]  那你有沒有常常禱告?
[00:01:41.000 --> 00:01:43.000]  有沒有?
[00:01:43.000 --> 00:01:44.000]  非常好
[00:01:44.000 --> 00:01:48.000]  你相信神會聽你的祈禱嗎?
[00:01:48.000 --> 00:01:51.000]  倘若你多次祈求
[00:01:51.000 --> 00:01:55.000]  但神沒有答覆你或是成就
[00:01:55.000 --> 00:01:57.000]  你會怎樣?
[00:01:57.000 --> 00:01:59.000]  繼續禱告
[00:01:59.000 --> 00:02:02.000]  灰心失望
[00:02:02.000 --> 00:02:06.000]  耶穌很清楚我們禱告可能會有灰心
[00:02:06.000 --> 00:02:09.000]  想放棄、不想祈禱的時候
[00:02:09.000 --> 00:02:14.000]  故此就藉著今天的經文寡婦的比喻
[00:02:14.000 --> 00:02:17.000]  向免禮信徒我們要常常禱告
[00:02:17.000 --> 00:02:19.000]  不可灰心
[00:02:19.000 --> 00:02:21.000]  盼望透過今早的訊息
[00:02:21.000 --> 00:02:23.000]  主耶穌的教導
[00:02:23.000 --> 00:02:25.000]  讓我們更明白及學習
[00:02:25.000 --> 00:02:28.000]  在禱告方面主耶穌對我們的心意
[00:02:28.000 --> 00:02:31.000]  我們一起讀出
[00:02:31.000 --> 00:02:33.000]  路加方案十八章一至八節
[00:02:33.000 --> 00:02:35.000]  這八節的經文
[00:02:35.000 --> 00:02:37.000]  請
[00:02:37.000 --> 00:02:39.000]  耶穌賜一個比喻
[00:02:39.000 --> 00:02:41.000]  是要人常常禱告
[00:02:41.000 --> 00:02:43.000]  不可灰心
[00:02:43.000 --> 00:02:46.000]  說:某城裡有一個官
[00:02:46.000 --> 00:02:49.000]  不懼怕神,也不尊重世人
[00:02:49.000 --> 00:02:51.000]  那城裡有一個寡婦
[00:02:51.000 --> 00:02:53.000]  常到他那裡
[00:02:53.000 --> 00:02:56.000]  說:我有一個對題
[00:02:56.000 --> 00:02:58.000]  求你給我心願
[00:02:58.000 --> 00:03:00.000]  他多日不准
[00:03:00.000 --> 00:03:03.000]  後來心裡說:我雖不懼怕神
[00:03:03.000 --> 00:03:06.000]  也不尊重世人
[00:03:06.000 --> 00:03:09.000]  當這寡婦煩擾我
[00:03:09.000 --> 00:03:11.000]  我就給她心願吧
[00:03:11.000 --> 00:03:14.000]  免得她常來辭亡我
[00:03:14.000 --> 00:03:18.000]  主說:你們聽者不宜知官所說的話
[00:03:18.000 --> 00:03:21.000]  神的主文就夜呼喚她
[00:03:21.000 --> 00:03:24.000]  她還為他們忍了多時
[00:03:24.000 --> 00:03:28.000]  豈不終究給他們心願嗎?
[00:03:28.000 --> 00:03:30.000]  我告訴你們
[00:03:30.000 --> 00:03:33.000]  要快快地給他們心願了
[00:03:33.000 --> 00:03:35.000]  然而人子來的時候
[00:03:35.000 --> 00:03:39.000]  遇得見世上有信德媽
[00:03:39.000 --> 00:03:41.000]  經文一開頭
[00:03:41.000 --> 00:03:43.000]  耶穌就像一個比喻
[00:03:43.000 --> 00:03:47.000]  是要人常常禱告不可灰心
[00:03:47.000 --> 00:03:50.000]  就說了這個比喻的目的
[00:03:50.000 --> 00:03:53.000]  常常是恆常持久
[00:03:53.000 --> 00:03:57.000]  是不住,不停止,鍥而不捨的意思
[00:03:57.000 --> 00:04:00.000]  不灰心是不喪氣,不喪志
[00:04:00.000 --> 00:04:04.000]  不失勇氣,信心不言放棄的意思
[00:04:04.000 --> 00:04:08.000]  這八字經文是路加福音獨有的比喻
[00:04:08.000 --> 00:04:10.000]  主耶穌繼續前一章
[00:04:10.000 --> 00:04:12.000]  關於神的國度何時來
[00:04:12.000 --> 00:04:14.000]  人子顯現的話題
[00:04:14.000 --> 00:04:16.000]  何謂天國降臨
[00:04:16.000 --> 00:04:18.000]  如何知道人子的顯現
[00:04:18.000 --> 00:04:22.000]  這些都是猶太人經歷過秘魯之後
[00:04:22.000 --> 00:04:24.000]  多年來期盼會看見的情景
[00:04:24.000 --> 00:04:27.000]  以及分散在各地的以色列民
[00:04:27.000 --> 00:04:29.000]  他們幾百年來的祈求
[00:04:29.000 --> 00:04:32.000]  希望有一天神會親自來拯救
[00:04:32.000 --> 00:04:35.000]  帶領他們離開困局
[00:04:35.000 --> 00:04:38.000]  整個比喻只有兩個人物
[00:04:38.000 --> 00:04:40.000]  哪兩個?
[00:04:40.000 --> 00:04:43.000]  就是寡婦和官
[00:04:43.000 --> 00:04:46.000]  帶出場的是一個官
[00:04:46.000 --> 00:04:49.000]  作為猶太人的法官、審判官
[00:04:49.000 --> 00:04:52.000]  他擁有十分崇高的地位
[00:04:52.000 --> 00:04:55.000]  因此被人寄予厚望
[00:04:55.000 --> 00:04:58.000]  不單要替民伸冤
[00:04:58.000 --> 00:05:01.000]  更應盡宗教和道德的責任
[00:05:01.000 --> 00:05:04.000]  要對弱勢社群、寄居者、孤兒寡婦等
[00:05:04.000 --> 00:05:07.000]  伸張正義
