
[00:00:00.000 --> 00:00:04.720]  很開心今天又可以跟大家分享神的話
[00:00:04.720 --> 00:00:05.880]  在正道之先
[00:00:05.880 --> 00:00:08.400]  我們一起重讀今天的經文
[00:00:08.400 --> 00:00:12.000]  在《馬可福音》的九章二至十三節
[00:00:12.000 --> 00:00:16.560]  弟兄姊妹可以看頭影片
[00:00:16.560 --> 00:00:19.160]  看到的我們一起重讀今天的經文
[00:00:19.160 --> 00:00:21.000]  預備 1 2 3
[00:00:21.000 --> 00:00:22.400]  「過了六天
[00:00:22.400 --> 00:00:26.120]  耶穌帶著彼得、雅各、約翰
[00:00:26.120 --> 00:00:28.720]  黯黯地上了高山
[00:00:28.720 --> 00:00:32.280]  就在他們面前變了形象
[00:00:32.280 --> 00:00:33.920]  衣服放光
[00:00:33.920 --> 00:00:35.480]  極其潔白
[00:00:35.480 --> 00:00:37.400]  地上漂泊的
[00:00:37.400 --> 00:00:40.960]  沒有一個能漂得那樣白
[00:00:40.960 --> 00:00:45.760]  忽然有以利亞和摩西向他們顯現
[00:00:45.760 --> 00:00:48.640]  並且和耶穌說話
[00:00:48.640 --> 00:00:50.720]  彼得對耶穌說
[00:00:50.720 --> 00:00:54.080]  拉比,我們在這裡真好
[00:00:54.080 --> 00:00:56.320]  可以搭三座棚
[00:00:56.320 --> 00:00:59.800]  一座為你,一座為摩西
[00:00:59.800 --> 00:01:02.120]  一座為以利亞
[00:01:02.120 --> 00:01:05.320]  彼得不知道說什麼才好
[00:01:05.320 --> 00:01:08.520]  因為他們甚是懼怕
[00:01:08.520 --> 00:01:12.240]  有一朵雲彩來遮蓋他們
[00:01:12.240 --> 00:01:16.200]  也有聲音從雲彩裡出來說
[00:01:16.200 --> 00:01:18.320]  這是我的愛子
[00:01:18.320 --> 00:01:20.520]  你們要聽他
[00:01:20.520 --> 00:01:23.160]  門徒忽然周圍一看
[00:01:23.160 --> 00:01:25.000]  不見一人
[00:01:25.000 --> 00:01:28.560]  只見耶穌和他們在那裡
[00:01:28.560 --> 00:01:30.440]  下山的時候
[00:01:30.440 --> 00:01:32.920]  耶穌祝福他們說
[00:01:32.920 --> 00:01:36.240]  人子還沒有從死裡復活
[00:01:36.240 --> 00:01:40.520]  你們不要將所看見的告訴人
[00:01:40.520 --> 00:01:44.080]  門徒將這話傳在心裡
[00:01:44.080 --> 00:01:48.960]  彼此議論從死裡復活是什麼意思
[00:01:48.960 --> 00:01:51.320]  他們就問耶穌說
[00:01:51.320 --> 00:01:55.880]  民是為什麼說以利亞必須先來
[00:01:55.880 --> 00:01:57.320]  耶穌說
[00:01:57.320 --> 00:02:01.160]  以利亞固然先來復興萬事
[00:02:01.160 --> 00:02:04.240]  經上不是指著人子說
[00:02:04.240 --> 00:02:06.760]  他要受許多的苦
[00:02:06.760 --> 00:02:08.800]  被人輕慢呢
[00:02:08.800 --> 00:02:10.440]  我告訴你們
[00:02:10.440 --> 00:02:12.840]  以利亞已經來了
[00:02:12.840 --> 00:02:15.520]  他們也任意待他
[00:02:15.520 --> 00:02:19.160]  正如經上所指著他的話
[00:02:19.160 --> 00:02:22.280]  我們一同同心低頭禱告
[00:02:22.280 --> 00:02:25.920]  神啊在這一刻
[00:02:25.920 --> 00:02:27.480]  我們分別為聖
[00:02:27.480 --> 00:02:29.080]  尊你為大
[00:02:29.080 --> 00:02:31.480]  願意你得著每一個人的心
[00:02:31.480 --> 00:02:33.440]  願說的和聽的
[00:02:33.440 --> 00:02:35.840]  一同被你的說話去做就
[00:02:35.840 --> 00:02:37.320]  我們感謝讚美你
[00:02:37.320 --> 00:02:39.160]  禱告感恩
[00:02:39.160 --> 00:02:41.400]  奉主耶穌基督的聖名祈求
[00:02:41.400 --> 00:02:42.920]  阿門
[00:02:42.920 --> 00:02:48.640]  如果要我們將中國的傳統習慣
[00:02:48.640 --> 00:02:50.520]  拜祖先來分開
[00:02:50.520 --> 00:02:52.520]  弟兄姊妹你會怎麼做?
[00:02:52.520 --> 00:02:55.720]  不知道怎麼做
[00:02:55.720 --> 00:02:57.320]  台南有一間廟
[00:02:57.320 --> 00:03:00.360]  最近收到一封分手信
[00:03:00.360 --> 00:03:01.840]  對方表示
[00:03:01.840 --> 00:03:05.440]  以前我未真正去認識上帝
