
[00:00:00.000 --> 00:00:03.680]  今天很想說關於近年
[00:00:03.680 --> 00:00:05.040]  我相信不知道弟兄姊妹
[00:00:05.040 --> 00:00:08.640]  你有沒有看少了電視台的節目
[00:00:08.640 --> 00:00:10.760]  反過來網絡的發達
[00:00:10.760 --> 00:00:14.880]  我相信弟兄姊妹你也看多了很多網絡的頻道
[00:00:14.880 --> 00:00:17.760]  無論是收費或者不用收費的
[00:00:17.760 --> 00:00:21.800]  YouTube有很多很多不同的資訊
[00:00:21.800 --> 00:00:24.200]  弟兄姊妹你看多了YouTube的
[00:00:24.200 --> 00:00:25.800]  你舉手給我看看
[00:00:25.800 --> 00:00:27.880]  OK 也看到很多了
[00:00:28.200 --> 00:00:30.760]  YouTube裡面有海量的資訊
[00:00:30.760 --> 00:00:32.840]  其實什麼都有
[00:00:32.840 --> 00:00:34.240]  教你煮東西吃
[00:00:34.240 --> 00:00:35.440]  教你旅遊
[00:00:35.440 --> 00:00:38.760]  近期很流行的北上攻略
[00:00:38.760 --> 00:00:42.280]  我相信有不少弟兄姊妹你也有去參考
[00:00:42.280 --> 00:00:44.160]  甚至有很多不同的港島
[00:00:44.160 --> 00:00:46.360]  我也很喜歡在當中找很多
[00:00:46.360 --> 00:00:48.160]  特別是我很尊敬的蕭壽華牧師
[00:00:48.160 --> 00:00:50.560]  在那裡找到很多他的港島
[00:00:50.560 --> 00:00:51.800]  讓我有很多得益
[00:00:51.800 --> 00:00:52.880]  弟兄姊妹
[00:00:52.880 --> 00:00:55.640]  我記得看其中一個YouTube的頻道
[00:00:55.640 --> 00:00:57.240]  YouTube是這樣說的
[00:00:57.560 --> 00:00:59.600]  我不會開他的頻道的名字
[00:00:59.600 --> 00:01:01.360]  他說你看我們的頻道
[00:01:01.360 --> 00:01:02.560]  為什麼不追蹤?
[00:01:02.560 --> 00:01:05.040]  其實是在挑戰我們有沒有追蹤
[00:01:05.040 --> 00:01:05.920]  我不知道弟兄姊妹
[00:01:05.920 --> 00:01:08.120]  你看YouTube的頻道的時候
[00:01:08.120 --> 00:01:09.080]  某些頻道
[00:01:09.080 --> 00:01:11.400]  你會不會追蹤或者訂閱他們呢?
[00:01:11.400 --> 00:01:13.080]  如果會的話
[00:01:13.080 --> 00:01:14.280]  你會很快收到
[00:01:14.280 --> 00:01:15.480]  如果他有新的影片
[00:01:15.480 --> 00:01:17.840]  你會收到他們的新的影片
[00:01:17.840 --> 00:01:19.120]  新的資訊
[00:01:19.120 --> 00:01:20.680]  你想收到
[00:01:20.680 --> 00:01:21.360]  某程度上
[00:01:21.360 --> 00:01:25.200]  你很想繼續跟著他們發放的資訊
[00:01:25.760 --> 00:01:27.440]  我們人生有很多不同的事情
[00:01:27.440 --> 00:01:29.160]  我們跟了很多不同的事情
[00:01:29.160 --> 00:01:32.240]  我們也應該跟過不同的師傅
[00:01:32.240 --> 00:01:33.600]  不同的老闆
[00:01:33.600 --> 00:01:36.320]  你有沒有跟過一些好的師傅或者老闆?
[00:01:36.320 --> 00:01:36.720]  有的
[00:01:36.720 --> 00:01:38.120]  你舉手讓我知道
[00:01:38.120 --> 00:01:40.920]  我自己也跟過的
[00:01:40.920 --> 00:01:42.360]  是的
[00:01:42.360 --> 00:01:44.160]  你跟了一些好的老闆
[00:01:44.160 --> 00:01:45.880]  或者其實不好的老闆也好
[00:01:45.880 --> 00:01:47.200]  你也被迫去跟
[00:01:47.200 --> 00:01:48.960]  有時候可能他怎樣你也好
[00:01:48.960 --> 00:01:50.400]  我也試過被人怎樣
[00:01:50.400 --> 00:01:52.000]  你也要跟著做的
[00:01:52.000 --> 00:01:54.200]  就觸發了我去想
[00:01:54.360 --> 00:01:56.200]  特別是剛才那個YouTuber說
[00:01:56.200 --> 00:01:57.920]  你看我們的頻道
[00:01:57.920 --> 00:01:59.200]  為什麼不跟著?
[00:01:59.200 --> 00:02:01.200]  我們也相信了耶穌
[00:02:01.200 --> 00:02:02.840]  我們也相信了耶穌
[00:02:02.840 --> 00:02:05.080]  我們有沒有跟著耶穌呢?
[00:02:05.080 --> 00:02:06.560]  頂指問
[00:02:06.560 --> 00:02:08.600]  我很想認真嚴肅地問你一個問題
[00:02:08.600 --> 00:02:11.240]  你有沒有跟著耶穌呢?
[00:02:11.240 --> 00:02:12.200]  如果你覺得有的話
[00:02:12.200 --> 00:02:13.080]  你舉舉手
[00:02:13.080 --> 00:02:14.760]  OK
[00:02:14.760 --> 00:02:17.840]  我又再想問
[00:02:17.840 --> 00:02:20.080]  你跟著耶穌
[00:02:20.080 --> 00:02:22.720]  你一些人生的決定
[00:02:23.520 --> 00:02:24.920]  一些人生的困難
[00:02:24.920 --> 00:02:26.360]  或者一些重大決定
[00:02:26.360 --> 00:02:28.720]  你會不會先問過上帝才做的?
[00:02:28.720 --> 00:02:31.360]  還是你仍然一意孤行去做呢?
[00:02:31.360 --> 00:02:32.640]  如果你有問過上帝的話
[00:02:32.640 --> 00:02:34.360]  我想你又舉舉手讓我知道
[00:02:34.360 --> 00:02:34.880]  好
[00:02:34.880 --> 00:02:36.040]  我為你們感恩
[00:02:36.040 --> 00:02:38.160]  頂指問
[00:02:38.160 --> 00:02:40.040]  我們有時候也會覺得
[00:02:40.040 --> 00:02:42.560]  也聽過不少的朋友說過
[00:02:42.560 --> 00:02:43.800]  順境
[00:02:43.800 --> 00:02:46.480]  容易令我們離開上帝
[00:02:46.480 --> 00:02:48.840]  因為順境我們很容易飄飄然
[00:02:48.840 --> 00:02:50.560]  但是有沒有想過
[00:02:50.560 --> 00:02:52.400]  原來逆境
[00:02:52.760 --> 00:02:54.200]  也會令我們遠離上帝
[00:02:54.200 --> 00:02:55.520]  不如我又問一個問題
[00:02:55.520 --> 00:02:57.440]  你覺得逆境容易
[00:02:57.440 --> 00:03:00.160]  還是順境容易令你離開上帝呢?
[00:03:00.160 --> 00:03:00.920]  你覺得順境的話
[00:03:00.920 --> 00:03:01.680]  請你舉手
[00:03:01.680 --> 00:03:03.800]  OK
[00:03:03.800 --> 00:03:04.840]  如果逆境呢
[00:03:04.840 --> 00:03:07.480]  你覺得逆境比較容易令你離開上帝的話
[00:03:07.480 --> 00:03:08.320]  你舉舉手
