
[00:00:00.000 --> 00:00:03.120]  一開始很想跟大家說一個故事
[00:00:03.120 --> 00:00:05.560]  一個故事 大家可以聽聽
[00:00:05.560 --> 00:00:07.560]  這是一個笑話 記得要笑
[00:00:07.560 --> 00:00:08.600]  不然很醜
[00:00:08.600 --> 00:00:10.960]  故事是怎樣呢
[00:00:10.960 --> 00:00:13.720]  就是有一個人 有一個女人
[00:00:13.720 --> 00:00:15.240]  她去買手袋
[00:00:15.240 --> 00:00:17.320]  然後一直存錢 存錢
[00:00:17.320 --> 00:00:19.160]  很想買這個手袋
[00:00:19.160 --> 00:00:22.640]  存了很久 存了很多積蓄
[00:00:22.640 --> 00:00:23.520]  然後就去買
[00:00:23.520 --> 00:00:24.920]  買完之後很開心
[00:00:24.920 --> 00:00:25.760]  終於到了
[00:00:25.760 --> 00:00:28.040]  然後她一拉開拉鏈
[00:00:28.040 --> 00:00:30.040]  整個拉鏈飛了出來
[00:00:30.040 --> 00:00:32.360]  然後她就知道出事了
[00:00:32.360 --> 00:00:34.040]  是假貨
[00:00:34.040 --> 00:00:35.560]  然後很傷心
[00:00:35.560 --> 00:00:36.760]  女人看著手袋
[00:00:36.760 --> 00:00:38.160]  我存了這麼多錢
[00:00:38.160 --> 00:00:39.160]  就買這個手袋
[00:00:39.160 --> 00:00:40.040]  竟然是假貨
[00:00:40.040 --> 00:00:40.760]  很不開心
[00:00:40.760 --> 00:00:42.040]  不開心到怎樣
[00:00:42.040 --> 00:00:43.040]  她抑鬱
[00:00:43.040 --> 00:00:45.360]  她抑鬱之後要自殺
[00:00:45.360 --> 00:00:47.560]  買生埃 我要自殺
[00:00:47.560 --> 00:00:49.040]  我要吃生埃 我要自殺
[00:00:49.040 --> 00:00:50.040]  吃生埃
[00:00:50.040 --> 00:00:51.960]  怎知道自殺不了 死不了
[00:00:51.960 --> 00:00:52.760]  為什麼
[00:00:52.760 --> 00:00:54.560]  因為生埃都是假的
[00:00:54.560 --> 00:00:57.360]  很慘
[00:00:57.360 --> 00:00:59.360]  但她中間覺悟了一件事
[00:00:59.360 --> 00:01:00.560]  我突然體會到
[00:01:00.560 --> 00:01:03.360]  原來人生可以生存已經是很開心
[00:01:03.360 --> 00:01:04.560]  所以她就很開心
[00:01:04.560 --> 00:01:05.960]  她覺得應該要慶祝
[00:01:05.960 --> 00:01:07.960]  就買了紅酒去慶祝
[00:01:07.960 --> 00:01:08.960]  結果怎樣
[00:01:08.960 --> 00:01:11.360]  死了
[00:01:11.360 --> 00:01:12.760]  喝了紅酒就死了
[00:01:12.760 --> 00:01:14.560]  因為那瓶紅酒都是假的
[00:01:14.560 --> 00:01:15.560]  所以
[00:01:15.560 --> 00:01:18.160]  這個世界有很多東西都是假的
[00:01:18.160 --> 00:01:19.960]  就算我打算買鞋
[00:01:19.960 --> 00:01:20.960]  買Hawker
[00:01:20.960 --> 00:01:23.960]  然後我發覺網上很多東西都是假的
[00:01:23.960 --> 00:01:24.760]  Hawker
[00:01:24.760 --> 00:01:26.160]  所以大家小心買Hawker
[00:01:26.160 --> 00:01:27.160]  不要上網買
[00:01:27.360 --> 00:01:28.360]  這樣
[00:01:28.360 --> 00:01:31.160]  這個世界很多東西都是假的
[00:01:31.160 --> 00:01:33.360]  特別有些東西
[00:01:33.360 --> 00:01:34.960]  其實會影響我們很多
[00:01:34.960 --> 00:01:36.160]  有些不會影響那麼多
[00:01:36.160 --> 00:01:38.360]  買一對Hawker就影響不是很多
[00:01:38.360 --> 00:01:39.360]  但如果
[00:01:39.360 --> 00:01:40.560]  其實我們有些東西
[00:01:40.560 --> 00:01:42.560]  譬如就像剛才那樣說
[00:01:42.560 --> 00:01:43.960]  一瓶毒酒
[00:01:43.960 --> 00:01:46.160]  喝完之後你可能會死
[00:01:46.160 --> 00:01:46.960]  或者
[00:01:46.960 --> 00:01:48.960]  其實好像我今天想說關係
[00:01:48.960 --> 00:01:50.560]  如果關係裡面
[00:01:50.560 --> 00:01:52.160]  其實它來得不真誠
[00:01:52.160 --> 00:01:53.960]  或者當中有些毒素的話
[00:01:53.960 --> 00:01:56.560]  其實都會影響到我們很心軟
[00:01:56.560 --> 00:01:58.160]  很大傷害
[00:01:58.160 --> 00:01:59.360]  有人這樣說過
[00:01:59.360 --> 00:02:00.760]  一瓶毒酒
[00:02:00.760 --> 00:02:01.760]  它有毒
[00:02:01.760 --> 00:02:03.560]  不是因為它裡面沒有酒
[00:02:03.560 --> 00:02:05.160]  它可以那些酒很好的
[00:02:05.160 --> 00:02:06.960]  最高級那些
[00:02:06.960 --> 00:02:09.160]  千年養唇那些
[00:02:09.160 --> 00:02:10.760]  就做出來
[00:02:10.760 --> 00:02:11.960]  可以很好的酒
[00:02:11.960 --> 00:02:13.360]  但為什麼它是毒酒
[00:02:13.360 --> 00:02:15.160]  是因為它有毒
[00:02:15.160 --> 00:02:16.560]  就正正
[00:02:16.560 --> 00:02:17.760]  生命裡面
[00:02:17.760 --> 00:02:20.760]  你可以關係裡面做了很多東西去建立
[00:02:20.760 --> 00:02:21.960]  你可以和它去行山
[00:02:21.960 --> 00:02:22.960]  吃火鍋
[00:02:22.960 --> 00:02:23.760]  一起聊天
[00:02:23.760 --> 00:02:24.560]  聊通宵
[00:02:24.560 --> 00:02:26.160]  一起去旅行
[00:02:26.160 --> 00:02:29.360]  但當中如果關係裡面有毒素的話
[00:02:29.360 --> 00:02:31.160]  其實可以讓一個
[00:02:31.160 --> 00:02:33.760]  十幾二十年的關係
[00:02:33.760 --> 00:02:35.560]  都會失落了
[00:02:35.560 --> 00:02:36.760]  所以今天很想說
[00:02:36.760 --> 00:02:38.360]  究竟我們生命裡面
[00:02:38.360 --> 00:02:40.560]  如何可以去建立一個好的關係
[00:02:40.560 --> 00:02:41.560]  和人也好
[00:02:41.560 --> 00:02:42.560]  和上帝也好
[00:02:42.560 --> 00:02:44.960]  如何可以建立一份關係
[00:02:44.960 --> 00:02:47.160]  來得持久
[00:02:47.160 --> 00:02:48.960]  來得真誠
[00:02:48.960 --> 00:02:50.760]  (哎呀,可以了)
[00:02:50.760 --> 00:02:52.960]  (最近PowerPoint好像和我有點接觸)
[00:02:52.960 --> 00:02:54.560]  (對了)
[00:02:54.560 --> 00:02:56.160]  我們人生命裡面
[00:02:56.160 --> 00:02:58.760]  如何可以去擁抱一份持久可信
[00:02:58.760 --> 00:03:00.760]  有安全感的關係呢
[00:03:00.760 --> 00:03:01.560]  大英姐妹
[00:03:01.560 --> 00:03:02.560]  不知道你生命裡面
[00:03:02.560 --> 00:03:04.760]  你也渴望擁有這件事嗎
[00:03:04.760 --> 00:03:06.360]  你不會擔心的
[00:03:06.360 --> 00:03:08.160]  那件事不會傷害你的
[00:03:08.160 --> 00:03:09.960]  一份關係
[00:03:09.960 --> 00:03:11.360]  我們要做到這件事
[00:03:11.360 --> 00:03:13.360]  原來當中有一些毒素
