
[00:00:00.000 --> 00:00:02.360]  可否給予掌聲今天的侍奉團隊
[00:00:02.360 --> 00:00:06.680]  包括敬拜隊、AV Team、獅士隊
[00:00:06.680 --> 00:00:10.640]  多謝他們為我們預備、送拜
[00:00:10.640 --> 00:00:14.320]  不知道剛才在敬拜裏面你有甚麼體會
[00:00:14.320 --> 00:00:17.760]  剛才主席說了一句很感動我的話
[00:00:17.760 --> 00:00:19.760]  就是神很珍惜我這個人
[00:00:19.760 --> 00:00:23.000]  我覺得被珍惜,我不懂得怎樣說
[00:00:23.000 --> 00:00:24.280]  很寶貴、很感動
[00:00:24.280 --> 00:00:26.080]  因為我經常覺得,不知道你們是否一樣
[00:00:26.080 --> 00:00:27.400]  我自己是這樣
[00:00:27.400 --> 00:00:29.800]  我只是一個低身體
[00:00:29.800 --> 00:00:31.800]  又沒有甚麼厲害
[00:00:31.800 --> 00:00:34.120]  有甚麼值得珍惜
[00:00:34.120 --> 00:00:36.120]  但神很珍惜我這個人
[00:00:36.120 --> 00:00:39.640]  你又跟隔壁那個說神很珍惜你
[00:00:39.640 --> 00:00:45.320]  你不說的,你不覺得神不是很珍惜你嗎
[00:00:45.320 --> 00:00:50.760]  我也很開心,真的很感動
[00:00:50.760 --> 00:00:52.960]  我也希望,弟兄姊妹
[00:00:52.960 --> 00:00:55.200]  雖然你們是初中
[00:00:55.200 --> 00:00:59.560]  可能中一的弟兄姊妹不習慣
[00:00:59.560 --> 00:01:02.480]  「這麼長的,站在這裡,不是罰我站嗎」
[00:01:02.480 --> 00:01:04.800]  不是,我們不是罰你站
[00:01:04.800 --> 00:01:07.640]  我們很想這個人在敬拜裏面
[00:01:07.640 --> 00:01:09.640]  你能夠經歷到神
[00:01:09.640 --> 00:01:11.640]  經歷到神的愛
[00:01:11.640 --> 00:01:13.400]  經歷到祂同在
[00:01:13.400 --> 00:01:15.400]  希望你真的能夠經歷到
[00:01:15.400 --> 00:01:17.400]  你真的是上帝很珍惜你
[00:01:17.400 --> 00:01:19.400]  你是能夠被珍惜的
[00:01:19.400 --> 00:01:20.760]  希望你能夠經歷到
[00:01:20.760 --> 00:01:25.400]  今天我提到的題目是Loss and Fart
[00:01:25.400 --> 00:01:29.160]  Loss and Fart,你會想起甚麼呢
[00:01:29.160 --> 00:01:31.160]  濕物凝靈柱
[00:01:31.160 --> 00:01:34.160]  是不是不見了
[00:01:34.160 --> 00:01:37.600]  所有東西都能夠在這裡找到呢
[00:01:37.600 --> 00:01:42.160]  有人說我Lost temper
[00:01:42.160 --> 00:01:44.160]  或者我Lost my mind
[00:01:44.160 --> 00:01:46.160]  或者我很Lost
[00:01:46.160 --> 00:01:51.160]  不知道是否能夠在這裡找到呢
[00:01:51.160 --> 00:01:55.160]  又或者如果在信仰上
[00:01:55.160 --> 00:01:58.160]  你又失去了一些東西
[00:01:58.160 --> 00:02:02.160]  可能你在信仰上失去了熱情
[00:02:02.160 --> 00:02:06.160]  失去了積極的心,投入的心
[00:02:06.160 --> 00:02:08.160]  或者失去了信仰的立場
[00:02:08.160 --> 00:02:10.160]  失去了讀經的熱誠
[00:02:10.160 --> 00:02:13.160]  不知道又如何能夠找到呢
[00:02:13.160 --> 00:02:15.160]  能否找到呢
[00:02:15.160 --> 00:02:18.160]  又或者甚麼原因令我們失去了這些東西呢
[00:02:18.160 --> 00:02:20.160]  失去了一些物品
[00:02:20.160 --> 00:02:26.160]  物件,可能真的可以在濕物凝靈柱找到
[00:02:26.160 --> 00:02:29.160]  如果不見了,那又如何呢
[00:02:29.160 --> 00:02:31.160]  買過吧,你們很有錢的
[00:02:31.160 --> 00:02:33.160]  聽聞你們很有錢
[00:02:33.160 --> 00:02:36.160]  iPhone,我只在用13
[00:02:36.160 --> 00:02:38.160]  我不知道你們在用十幾
[00:02:38.160 --> 00:02:40.160]  12呀?
[00:02:40.160 --> 00:02:43.160]  都很好
[00:02:43.160 --> 00:02:48.160]  物品不見了,可能買過吧
[00:02:48.160 --> 00:02:51.160]  但是失去了信仰的立場
[00:02:51.160 --> 00:02:53.160]  失去了信仰的熱情
[00:02:53.160 --> 00:02:57.160]  失去了基督徒應有的生命特質
[00:02:57.160 --> 00:02:59.160]  如何能夠找到呢
[00:02:59.160 --> 00:03:01.160]  由得他,又能否呢
[00:03:01.160 --> 00:03:04.160]  希望今天透過尼希米的人物
[00:03:04.160 --> 00:03:08.160]  看看聖經裏面對我們生命有甚麼提醒
[00:03:08.160 --> 00:03:12.160]  今天是尼希米記的13章7到14節
[00:03:12.160 --> 00:03:15.160]  鼓勵大家精精神神
[00:03:15.160 --> 00:03:18.160]  跟我一起大大聲聲地讀出來
[00:03:18.160 --> 00:03:20.160]  記住大聲不是叫的
[00:03:20.160 --> 00:03:24.160]  精精神神,我們一起讀
[00:03:24.160 --> 00:03:53.160]  (中文翻譯)
[00:03:53.160 --> 00:04:04.160]  (中文翻譯)
[00:04:04.160 --> 00:04:21.160]  (中文翻譯)
[00:04:21.160 --> 00:04:43.160]  (中文翻譯)
[00:04:43.160 --> 00:04:52.160]  (中文翻譯)
[00:04:52.160 --> 00:04:54.160]  我們一起投稿
[00:04:54.160 --> 00:04:57.160]  天父上帝,我求祢同在
[00:04:57.160 --> 00:05:02.160]  我們很想在經文裏認識祢
[00:05:02.160 --> 00:05:06.160]  我們更期望聖靈在我們心裏做提醒
[00:05:06.160 --> 00:05:08.160]  做感動的工作
[00:05:08.160 --> 00:05:09.160]  讓我們認識經文
[00:05:09.160 --> 00:05:11.160]  聽到的時候不只是知道
[00:05:11.160 --> 00:05:13.160]  也讓我們能夠走出來
[00:05:13.160 --> 00:05:14.160]  主人祢這樣幫助我們
[00:05:14.160 --> 00:05:17.160]  我們祈禱交托,奉耶穌基督的名祈求
[00:05:17.160 --> 00:05:18.160]  阿們
[00:05:18.160 --> 00:05:21.160]  講講尼希米的背景讓大家認識
[00:05:21.160 --> 00:05:24.160]  尼希米是舊約聖經裏面的
[00:05:24.160 --> 00:05:27.160]  當時的以色列國已經亡國
[00:05:27.160 --> 00:05:29.160]  沒有以色列這個國家
[00:05:29.160 --> 00:05:31.160]  被波斯統治
[00:05:31.160 --> 00:05:35.160]  當時的波斯王叫阿達舌西
[00:05:35.160 --> 00:05:40.160]  尼希米是波斯王的酒政
[00:05:40.160 --> 00:05:42.160]  酒政是高官
[00:05:42.160 --> 00:05:46.160]  不是看韓劇的上宮幫皇帝試食
[00:05:46.160 --> 00:05:47.160]  有沒有毒的那些人
[00:05:47.160 --> 00:05:50.160]  不是那些,是很高級的官
[00:05:50.160 --> 00:05:53.160]  尼希米是以色列人
[00:05:53.160 --> 00:05:56.160]  波斯王阿達舌西二十年的時候
[00:05:56.160 --> 00:06:01.160]  尼希米帶同一班以色列人回歸以色列地
[00:06:01.160 --> 00:06:04.160]  因為當時以色列人已努力去了波斯
[00:06:04.160 --> 00:06:07.160]  尼希米帶以色列人回到以色列地
[00:06:07.160 --> 00:06:09.160]  去到耶路撒冷
[00:06:09.160 --> 00:06:13.160]  尼希米在耶路撒冷做了十二年的省長
[00:06:13.160 --> 00:06:15.160]  這十二年在做什麼呢
[00:06:15.160 --> 00:06:18.160]  在耶路撒冷重建城牆
[00:06:18.160 --> 00:06:21.160]  帶領以色列人做一次謹守神的律例
[00:06:21.160 --> 00:06:25.160]  重新有憲制,有敬拜的事情
[00:06:25.160 --> 00:06:31.160]  當時也帶給以色列人一個很大的宗教信仰上的復興
[00:06:31.160 --> 00:06:34.160]  不單回歸在神應許的地方
[00:06:34.160 --> 00:06:38.160]  還讓以色列人回歸在上帝的心意裏
[00:06:38.160 --> 00:06:41.160]  不過十二年過後
[00:06:41.160 --> 00:06:44.160]  到達舌西王三十二年的時候
[00:06:44.160 --> 00:06:48.160]  尼希米被王別召回波斯
[00:06:48.160 --> 00:06:51.160]  當時耶路撒冷出現了一些狀況
[00:06:51.160 --> 00:06:57.160]  以色列人對上帝的心,對律法的要求開始鬆懈
[00:06:57.160 --> 00:07:01.160]  之後發生了剛才我們讀的經文的事
[00:07:01.160 --> 00:07:03.160]  當尼希米回到波斯的時候
[00:07:03.160 --> 00:07:05.160]  發覺收到消息
[00:07:05.160 --> 00:07:10.160]  在耶路撒冷裏面一個管理聖殿倉庫的祭司
[00:07:10.160 --> 00:07:13.160]  伊利亞實,當然這個未必是大祭司
[00:07:13.160 --> 00:07:15.160]  是一個管理倉庫的祭司
[00:07:15.160 --> 00:07:21.160]  伊利亞實竟然將一間房放在憲制物品的房間
