
[00:00:00.000 --> 00:00:02.600]  慈愛天父,我們感謝讚美你
[00:00:02.600 --> 00:00:04.600]  多謝你保守帶領我們
[00:00:04.600 --> 00:00:06.600]  平安的來到你的殿裏面
[00:00:06.600 --> 00:00:08.600]  一同的去敬拜你
[00:00:08.600 --> 00:00:10.600]  我們求主帶領以下時間
[00:00:10.600 --> 00:00:12.600]  打開我們心靈的眼睛
[00:00:12.600 --> 00:00:14.600]  讓我們將你的話語
[00:00:14.600 --> 00:00:16.000]  聽盡心裏面
[00:00:16.000 --> 00:00:18.600]  又活用在我們的生活當中
[00:00:18.600 --> 00:00:19.800]  聽我們的禱告
[00:00:19.800 --> 00:00:22.000]  是奉主耶穌基督命之而求
[00:00:22.000 --> 00:00:24.000]  阿們
[00:00:24.000 --> 00:00:27.000]  中國有一句諺語
[00:00:27.000 --> 00:00:29.000]  民以食為天
[00:00:29.000 --> 00:00:31.000]  意思是
[00:00:31.000 --> 00:00:33.000]  老百姓將食物
[00:00:33.000 --> 00:00:35.000]  當成神聖的上天
[00:00:35.000 --> 00:00:37.000]  去尊敬
[00:00:37.000 --> 00:00:40.000]  可見糧食在人的心目中
[00:00:40.000 --> 00:00:42.000]  是多麼重要
[00:00:42.000 --> 00:00:43.000]  事實上
[00:00:43.000 --> 00:00:45.000]  一些食物能夠給我們
[00:00:45.000 --> 00:00:47.000]  有很充足的營養
[00:00:47.000 --> 00:00:49.000]  吃飽肚子
[00:00:49.000 --> 00:00:51.000]  才有能量去工作
[00:00:51.000 --> 00:00:52.000]  是不是?
[00:00:52.000 --> 00:00:55.000]  不知道你喜不喜歡吃東西呢?
[00:00:55.000 --> 00:00:58.000]  當我們今天打開電視機
[00:00:58.000 --> 00:01:01.000]  很多節目都是飲食的
[00:01:01.000 --> 00:01:03.000]  都是有關飲食的
[00:01:03.000 --> 00:01:06.000]  連一些藝員都變成大廚
[00:01:06.000 --> 00:01:08.000]  好像肥媽
[00:01:08.000 --> 00:01:10.000]  王淑怡
[00:01:10.000 --> 00:01:12.000]  鼎爺
[00:01:12.000 --> 00:01:15.000]  不知道你有沒有看過鼎爺煮菜呢?
[00:01:15.000 --> 00:01:17.000]  有吧?
[00:01:17.000 --> 00:01:19.000]  他煮的菜
[00:01:19.000 --> 00:01:21.000]  色香味俱全
[00:01:21.000 --> 00:01:24.000]  令人看見都很想吃
[00:01:24.000 --> 00:01:27.000]  而且還會帶給我們很多回憶
[00:01:28.000 --> 00:01:29.000]  說真的
[00:01:29.000 --> 00:01:31.000]  糧食對我們來說
[00:01:31.000 --> 00:01:33.000]  真的很重要
[00:01:33.000 --> 00:01:36.000]  我今天不是和大家去說煮菜
[00:01:36.000 --> 00:01:38.000]  因為我都不懂
[00:01:38.000 --> 00:01:40.000]  而是和大家去說
[00:01:40.000 --> 00:01:42.000]  一種特別的糧
[00:01:42.000 --> 00:01:44.000]  生命之糧
[00:01:44.000 --> 00:01:47.000]  今天看的經文
[00:01:47.000 --> 00:01:49.000]  是來自約翰福音
[00:01:49.000 --> 00:01:51.000]  在約翰福音裡面
[00:01:51.000 --> 00:01:53.000]  耶穌用了七個「我」字
[00:01:53.000 --> 00:01:55.000]  來形容祂自己
[00:01:56.000 --> 00:01:59.000]  祂說明祂和信徒的關係
[00:01:59.000 --> 00:02:02.000]  也彰顯出主耶穌的神性
[00:02:02.000 --> 00:02:05.000]  身份和祂的性情
[00:02:05.000 --> 00:02:07.000]  耶穌說的這七個「我」字
[00:02:07.000 --> 00:02:12.000]  令我想起出埃及的三章十四節
[00:02:12.000 --> 00:02:13.000]  神對摩西說
[00:02:13.000 --> 00:02:15.000]  「我是自有永有的」
[00:02:15.000 --> 00:02:19.000]  也連繫到約翰福音一章一節
[00:02:19.000 --> 00:02:20.000]  那裡說
[00:02:20.000 --> 00:02:24.000]  「太初有道,道與神同在,道就是神」
[00:02:24.000 --> 00:02:26.000]  很清楚地指出
[00:02:26.000 --> 00:02:28.000]  耶穌基督的神性
[00:02:28.000 --> 00:02:30.000]  我今天說的
[00:02:30.000 --> 00:02:32.000]  就是第一個「我是」
[00:02:32.000 --> 00:02:35.000]  耶穌說「我是生命的糧」
[00:02:35.000 --> 00:02:37.000]  這一段經文
[00:02:37.000 --> 00:02:42.000]  緊接著耶穌走了五餅二魚的神蹟之後
[00:02:42.000 --> 00:02:44.000]  五餅二魚的神蹟
[00:02:44.000 --> 00:02:46.000]  就好像一個引言一樣
[00:02:46.000 --> 00:02:52.000]  帶出了耶穌這個「我是生命的糧」的講論
[00:02:52.000 --> 00:02:57.000]  讓人更加深刻地明白祂的身份
[00:02:57.000 --> 00:02:59.000]  耶穌是生命的糧
[00:02:59.000 --> 00:03:02.000]  跟我們有什麼關係呢?
[00:03:02.000 --> 00:03:06.000]  我們可以怎樣去維持這個關係呢?
[00:03:06.000 --> 00:03:10.000]  讓我們一起去探討一下
[00:03:10.000 --> 00:03:13.000]  在約翰福音第六章
[00:03:13.000 --> 00:03:16.000]  一開始就說到耶穌
[00:03:16.000 --> 00:03:18.000]  祂在加利利海邊的山上
[00:03:18.000 --> 00:03:21.000]  餵飽了五千個男丁
[00:03:21.000 --> 00:03:25.000]  還有數目的婦女和小孩
[00:03:25.000 --> 00:03:27.000]  祂的神蹟
[00:03:27.000 --> 00:03:30.000]  大大引起了群眾的注意
[00:03:30.000 --> 00:03:35.000]  耶穌知道群眾很想強迫祂去做王
[00:03:35.000 --> 00:03:40.000]  所以耶穌跟一些群眾背道而行
[00:03:40.000 --> 00:03:42.000]  祂走完神蹟之後
[00:03:42.000 --> 00:03:45.000]  就不跟群眾一起
[00:03:45.000 --> 00:03:48.000]  自己退到山上去
[00:03:48.000 --> 00:03:54.000]  一群門徒就坐船渡過加利利海
[00:03:54.000 --> 00:04:00.000]  從約翰福音六章二十二至二十四節
[00:04:00.000 --> 00:04:05.000]  我們知道第二天群眾再去找耶穌
