
[00:00:00.000 --> 00:00:05.480]  在上會的電影姊妹,你去年暑假有看奧運
[00:00:05.480 --> 00:00:09.160]  特別是開幕禮的,有沒有看到?
[00:00:09.160 --> 00:00:13.080]  未必是現場,可能後來再看
[00:00:13.080 --> 00:00:18.320]  大家有看到,但有沒有一種沒有眼看的感覺?
[00:00:18.320 --> 00:00:22.280]  有沒有這個同感的電影姊妹舉手?
[00:00:22.280 --> 00:00:32.680]  她放了很多LGBT,關於跨性別的,同性戀的,濫交的訊息
[00:00:32.680 --> 00:00:36.160]  充滿整個奧運會的開幕禮
[00:00:36.160 --> 00:00:44.160]  還有一幕,有人說是她借助達文西的《最後的晚餐》
[00:00:44.160 --> 00:00:48.320]  《十二個使徒》的片段,來挖苦基督教信仰
[00:00:48.320 --> 00:00:50.480]  大家都應該有看到
[00:00:50.480 --> 00:00:55.080]  我今天說的不是用一個
[00:00:55.080 --> 00:00:59.560]  我們東西方文化不同,我們保守一點,他開放一點
[00:00:59.560 --> 00:01:02.320]  所以我不喜歡他們,不是
[00:01:02.320 --> 00:01:06.600]  更加不是用一個基督徒或基督教信仰的角度
[00:01:06.600 --> 00:01:10.000]  他們的東西不對,我要批評他
[00:01:10.000 --> 00:01:12.000]  都不是這個觀點
[00:01:12.000 --> 00:01:13.680]  是一個什麼觀點?
[00:01:13.680 --> 00:01:15.680]  或者什麼令我很震撼的?
[00:01:16.560 --> 00:01:23.480]  其實這些和上帝的價值觀不同的思潮做法,歷來都有
[00:01:23.480 --> 00:01:28.960]  但沒想過,是這麼公開,大無私讓
[00:01:28.960 --> 00:01:33.160]  去到全世界每一個家人的電視機裏面
[00:01:33.160 --> 00:01:35.760]  所以大家有沒有留意
[00:01:35.760 --> 00:01:40.840]  當中國的中央電視台CCTV播放這個開幕禮的時候
[00:01:40.840 --> 00:01:44.280]  旁述員在那幾分鐘是不知道說什麼的
[00:01:44.280 --> 00:01:45.880]  是沒話說的
[00:01:45.880 --> 00:01:47.880]  所以有人笑說
[00:01:47.880 --> 00:01:54.280]  中央電視台都播放推動同性戀的片段
[00:01:54.280 --> 00:01:56.280]  其實都很無辜
[00:01:56.280 --> 00:02:00.120]  所以我的震撼
[00:02:00.120 --> 00:02:02.120]  就是魔鬼的工作
[00:02:02.120 --> 00:02:06.520]  竟然是這麼猖獗、公開、無底線的
[00:02:06.520 --> 00:02:08.520]  去到每一個家庭的裏面
[00:02:08.520 --> 00:02:10.520]  大家可能會問
[00:02:10.520 --> 00:02:13.600]  你為什麼這麼肯定這是魔鬼的工作呢?
[00:02:13.600 --> 00:02:16.800]  會不會我們很容易就將它靈異化呢?
[00:02:16.800 --> 00:02:20.080]  我能夠在講壇裏面講
[00:02:20.080 --> 00:02:22.680]  我非常有信心,為什麼?
[00:02:22.680 --> 00:02:25.520]  因為它裏面所講的價值觀
[00:02:25.520 --> 00:02:30.680]  剛剛就是上帝創造的秩序的相反
[00:02:30.680 --> 00:02:35.040]  上帝創造是有男有女
[00:02:35.040 --> 00:02:37.520]  但這些信息背後
[00:02:37.520 --> 00:02:40.960]  就是男可以變成女,女可以變成男
[00:02:40.960 --> 00:02:45.840]  上帝創造在婚姻裏面一男一女結合
[00:02:45.840 --> 00:02:49.760]  但LGBTQ是怎麼說的?
[00:02:49.760 --> 00:02:51.760]  多少個組合都可以
[00:02:51.760 --> 00:02:55.120]  男男男女女怎樣組合都可以
[00:02:55.120 --> 00:02:58.840]  上帝創立家庭一夫一妻
[00:02:58.840 --> 00:03:02.960]  在這種制度下是孕育栽培下一代的
[00:03:02.960 --> 00:03:04.960]  我們都見到有時候
[00:03:04.960 --> 00:03:07.760]  有些破碎的家庭,單親的家庭
[00:03:07.760 --> 00:03:09.760]  有它的困難的地方
