
[00:00:00.000 --> 00:00:04.000]  讓我們在正道之先有個祈禱
[00:00:04.000 --> 00:00:06.000]  低頭禱告
[00:00:06.000 --> 00:00:08.000]  慈悲仁愛的天父
[00:00:08.000 --> 00:00:10.000]  我們感謝讚美你
[00:00:10.000 --> 00:00:13.000]  感謝你招聚我們一起在你的殿裏
[00:00:13.000 --> 00:00:16.000]  一同敬拜你,聽你的話語
[00:00:16.000 --> 00:00:18.000]  求神你打開我們心靈的眼睛
[00:00:18.000 --> 00:00:20.000]  去明白你的說話
[00:00:20.000 --> 00:00:23.000]  得著你的教導和指引
[00:00:23.000 --> 00:00:25.000]  求你帶領以下時間
[00:00:25.000 --> 00:00:27.000]  無論聽的、說的
[00:00:27.000 --> 00:00:30.000]  同感一靈,得著你自己的教導
[00:00:30.000 --> 00:00:32.000]  聽我們的禱告
[00:00:32.000 --> 00:00:35.000]  是奉主耶穌基督,明治而求,阿們
[00:00:35.000 --> 00:00:37.000]  各位姐妹
[00:00:37.000 --> 00:00:41.000]  今年是教會35週年的生日
[00:00:41.000 --> 00:00:46.000]  不知道大家有沒有參加過一些堂慶的活動呢
[00:00:46.000 --> 00:00:48.000]  我們有不同的慶祝活動
[00:00:48.000 --> 00:00:53.000]  特別是有三場的陪靈會
[00:00:53.000 --> 00:00:56.000]  有多少人是三晚都參加了呢
[00:00:57.000 --> 00:01:00.000]  也有,但不是很多
[00:01:00.000 --> 00:01:03.000]  如果三晚都參加的話
[00:01:03.000 --> 00:01:05.000]  你就會有這個禮物
[00:01:05.000 --> 00:01:07.000]  因為我也參加了三晚
[00:01:07.000 --> 00:01:09.000]  所以我也有這個禮物
[00:01:09.000 --> 00:01:14.000]  不知道你會否上網聽這三場的陪靈會
[00:01:14.000 --> 00:01:17.000]  我不知道對你來說
[00:01:17.000 --> 00:01:22.000]  哪一場的陪靈會會比較感動呢
[00:01:22.000 --> 00:01:24.000]  其實對我來說
[00:01:24.000 --> 00:01:26.000]  三場都很感動
[00:01:26.000 --> 00:01:31.000]  因為我看了神賜了很多恩典給教會
[00:01:31.000 --> 00:01:33.000]  而我最深刻的感動位
[00:01:33.000 --> 00:01:37.000]  就是蘇手望全道的分享
[00:01:37.000 --> 00:01:42.000]  他分享到他BB的時候就回教會了
[00:01:42.000 --> 00:01:45.000]  他知道自己是蘇牧師的兒子
[00:01:45.000 --> 00:01:48.000]  所以他就說我要乖
[00:01:48.000 --> 00:01:51.000]  他一直漸漸地成長
[00:01:51.000 --> 00:01:53.000]  有很多人都問他
[00:01:53.000 --> 00:01:57.000]  做蘇牧師的兒子會不會很大壓力呢
[00:01:57.000 --> 00:02:00.000]  他說沒有壓力是假的
[00:02:00.000 --> 00:02:02.000]  真的有很大壓力
[00:02:02.000 --> 00:02:05.000]  但是如果讓我再選擇一次
[00:02:05.000 --> 00:02:07.000]  如果可以選擇的話
[00:02:07.000 --> 00:02:09.000]  我會選擇
[00:02:09.000 --> 00:02:11.000]  他停下來了
[00:02:11.000 --> 00:02:13.000]  我們看到他眼泛淚光
[00:02:13.000 --> 00:02:16.000]  很感動地說了一句話
[00:02:16.000 --> 00:02:22.000]  他說做我爸爸的兒子很幸福
[00:02:22.000 --> 00:02:26.000]  因為自己小時候就可以認識天父
[00:02:26.000 --> 00:02:30.000]  還可以看到天父很多的奇妙作為
[00:02:30.000 --> 00:02:34.000]  他就是因為看到爸爸的好榜樣
[00:02:34.000 --> 00:02:37.000]  後來他去了讀神學
[00:02:37.000 --> 00:02:39.000]  在外國讀完神學之後
[00:02:39.000 --> 00:02:43.000]  他很有負擔去照顧去關心年輕人
[00:02:43.000 --> 00:02:47.000]  於是他願意回流回香港
[00:02:47.000 --> 00:02:50.000]  去牧養年輕人
[00:02:50.000 --> 00:02:53.000]  當時我聽到真的很感動
[00:02:53.000 --> 00:02:57.000]  我看到一幅很美麗的圖畫
[00:02:57.000 --> 00:03:00.000]  是充滿愛的父子情
[00:03:00.000 --> 00:03:02.000]  這一份的父子情
[00:03:02.000 --> 00:03:06.000]  讓我們看到有神的愛在他們裡面
[00:03:06.000 --> 00:03:09.000]  以致能夠成為代代相傳
[00:03:09.000 --> 00:03:12.000]  樂意去侍奉神的好榜樣
[00:03:12.000 --> 00:03:15.000]  我深信宋牧師兩父子
[00:03:15.000 --> 00:03:19.000]  一定是很有效地掌握了
[00:03:19.000 --> 00:03:21.000]  活出主愛的秘訣
[00:03:21.000 --> 00:03:23.000]  不知道他們兩位
[00:03:23.000 --> 00:03:26.000]  是否也是看我們今天的經文
[00:03:26.000 --> 00:03:28.000]  去發掘到這個秘訣呢?
[00:03:28.000 --> 00:03:31.000]  我們今天就來看看
[00:03:31.000 --> 00:03:36.000]  約翰福音十五章九至十七節
[00:03:36.000 --> 00:03:38.000]  我已經打在PowerPoint上了
[00:03:38.000 --> 00:03:42.000]  請大家跟我們一起同聲的頌讀
[00:03:42.000 --> 00:03:43.000]  預備起
[00:03:43.000 --> 00:03:47.000]  我愛你們正如父愛我一樣
[00:03:47.000 --> 00:03:50.000]  你們要常在我的愛裡
[00:03:50.000 --> 00:03:53.000]  你們若遵守我的命令
[00:03:53.000 --> 00:03:55.000]  就常在我的愛裡
[00:03:55.000 --> 00:03:58.000]  正如我遵守了我父的命令
[00:03:58.000 --> 00:04:01.000]  常在他的愛裡
[00:04:01.000 --> 00:04:04.000]  這些事我已經對你們說了
[00:04:04.000 --> 00:04:07.000]  是要叫我的喜樂
[00:04:07.000 --> 00:04:09.000]  存在你們心裡
[00:04:09.000 --> 00:04:13.000]  並叫你們的喜樂可以滿足
[00:04:13.000 --> 00:04:15.000]  你們要彼此相愛
[00:04:15.000 --> 00:04:18.000]  像我愛你們一樣
[00:04:18.000 --> 00:04:20.000]  這就是我的命令
[00:04:20.000 --> 00:04:22.000]  人為朋友捨命
[00:04:22.000 --> 00:04:26.000]  人的愛心沒有比這個大的
[00:04:26.000 --> 00:04:29.000]  你們若遵行我的親父的
[00:04:29.000 --> 00:04:31.000]  就是我的朋友了
[00:04:31.000 --> 00:04:35.000]  以後我不再稱你們為僕人
[00:04:35.000 --> 00:04:39.000]  因僕人不知道主人所做的事
[00:04:39.000 --> 00:04:41.000]  我乃稱你們為朋友
[00:04:41.000 --> 00:04:44.000]  因我從我父所聽見的
[00:04:44.000 --> 00:04:47.000]  已經都告訴你們了
[00:04:47.000 --> 00:04:50.000]  不是你們揀選了我
[00:04:50.000 --> 00:04:52.000]  是我揀選了你們
[00:04:52.000 --> 00:04:56.000]  並且分派你們去結果子
[00:04:56.000 --> 00:04:58.000]  叫你們的果子常存
[00:04:58.000 --> 00:05:01.000]  使你們奉我的名
[00:05:01.000 --> 00:05:03.000]  無論向父求什麼
[00:05:03.000 --> 00:05:05.000]  他就賜給你們
[00:05:05.000 --> 00:05:07.000]  我這樣吩咐你們
