
[00:00:00.000 --> 00:00:02.420]  今日是父親節
[00:00:02.420 --> 00:00:07.680]  祝每位父親和爺爺父親節快樂
[00:00:07.680 --> 00:00:10.520]  教會都預備了一份禮物給你
[00:00:10.520 --> 00:00:11.560]  待會再派
[00:00:11.560 --> 00:00:13.560]  所以不要太快走
[00:00:13.560 --> 00:00:16.280]  平時沒有禮物也不要太早走
[00:00:16.280 --> 00:00:18.840]  領受祝福才走
[00:00:18.840 --> 00:00:21.200]  一個完整的崇拜
[00:00:21.200 --> 00:00:26.080]  做父親真是一個快樂的傳言
[00:00:26.080 --> 00:00:30.520]  亦都是試煉的、忍耐的考驗
[00:00:30.520 --> 00:00:32.600]  是我們的人的source of joy
[00:00:32.600 --> 00:00:34.600]  and child of patience
[00:00:34.600 --> 00:00:36.280]  即是人這樣說
[00:00:36.280 --> 00:00:40.400]  相信大家做父親都有很多共鳴
[00:00:40.400 --> 00:00:45.240]  做爸爸有時你真是很窩心
[00:00:45.240 --> 00:00:48.240]  當我兒子踏著我的肩膀走路的時候
[00:00:48.240 --> 00:00:49.400]  甚麼都不用說
[00:00:49.400 --> 00:00:50.760]  很窩心
[00:00:50.760 --> 00:00:52.400]  但有時真的很激氣
[00:00:52.400 --> 00:00:56.800]  激到鼻血都快流出來
[00:00:56.800 --> 00:00:58.800]  很多甜酸苦辣
[00:00:58.800 --> 00:01:02.680]  做爸爸亦都經歷過很多失敗
[00:01:02.680 --> 00:01:04.440]  很多軟弱
[00:01:04.440 --> 00:01:05.960]  有時很多自我懷疑
[00:01:05.960 --> 00:01:08.240]  是否我不對呢
[00:01:08.240 --> 00:01:13.640]  感謝神仍然給我們有一個完整的家庭
[00:01:13.640 --> 00:01:16.000]  讓神成為我們親愛的天父
[00:01:16.000 --> 00:01:21.760]  我們先向我們天上的父親祈禱
[00:01:21.760 --> 00:01:23.600]  親愛的天父
[00:01:23.600 --> 00:01:25.600]  我們來到你的面前
[00:01:25.600 --> 00:01:27.600]  要聽你的說話
[00:01:27.600 --> 00:01:29.440]  靠真理的聖靈
[00:01:29.440 --> 00:01:32.320]  帶領我們進入你的真理當中
[00:01:32.320 --> 00:01:34.840]  教導我們怎樣做父親
[00:01:34.840 --> 00:01:38.080]  亦都教導我們怎樣做兒女
[00:01:38.080 --> 00:01:39.080]  我們禱告
[00:01:39.080 --> 00:01:42.040]  奉愛子耶穌基督的聖名祈求
[00:01:42.040 --> 00:01:44.040]  阿們
[00:01:44.040 --> 00:01:46.520]  讓我們一起重讀今天的經文
[00:01:46.520 --> 00:01:58.120]  請弟兄姐妹倆讀單節
[00:01:58.120 --> 00:01:59.520]  預備起
[00:01:59.520 --> 00:02:01.000]  「他是盤石
[00:02:01.000 --> 00:02:03.120]  他的作為完全
[00:02:03.120 --> 00:02:06.240]  他一切所行的都公平
[00:02:06.240 --> 00:02:08.840]  他是信實無偽的神
[00:02:08.840 --> 00:02:11.320]  又公義又正直」
[00:02:12.280 --> 00:02:14.320]  「這家弟弟們
[00:02:14.320 --> 00:02:18.000]  在我向他們要拜的事
[00:02:18.000 --> 00:02:20.200]  一張盤會給他們
[00:02:20.200 --> 00:02:22.920]  在所聖下的祈禱」
[00:02:22.920 --> 00:02:25.320]  「愚昧無知的百姓啊
[00:02:25.320 --> 00:02:28.280]  你們這樣報答耶和華嗎
[00:02:28.280 --> 00:02:30.480]  他豈不是你的父
[00:02:30.480 --> 00:02:32.480]  創造了你嗎
[00:02:32.480 --> 00:02:33.920]  他造了你
[00:02:33.920 --> 00:02:35.920]  建立你」
[00:02:35.920 --> 00:02:37.320]  「要你當父上
[00:02:37.320 --> 00:02:38.760]  上父上
[00:02:38.760 --> 00:02:40.920]  施你的愛之念
[00:02:40.920 --> 00:02:42.640]  下你父親
[00:02:42.640 --> 00:02:44.360]  下你老嫂女
[00:02:44.360 --> 00:02:46.040]  下你長者
[00:02:46.040 --> 00:02:48.440]  下你家的孫孫」
[00:02:48.440 --> 00:02:50.360]  「至高者將地業
[00:02:50.360 --> 00:02:51.920]  賜給列國
[00:02:51.920 --> 00:02:53.880]  將世人分開
[00:02:53.880 --> 00:02:56.160]  他按照神明的數目
[00:02:56.160 --> 00:02:59.160]  為萬民劃定疆界」
[00:02:59.160 --> 00:03:01.640]  「但耶和華的粉絲
[00:03:01.640 --> 00:03:03.000]  下的百姓
[00:03:03.000 --> 00:03:04.120]  下的產業
[00:03:04.120 --> 00:03:06.000]  就此罷工」
[00:03:06.000 --> 00:03:08.360]  「耶和華在曠野之地
[00:03:08.360 --> 00:03:12.040]  在空曠野獸嘯叫之方地
[00:03:12.040 --> 00:03:13.360]  遇見他
[00:03:13.360 --> 00:03:15.000]  就環繞他
[00:03:15.000 --> 00:03:16.280]  看顧他
[00:03:16.280 --> 00:03:17.560]  保護他
[00:03:17.560 --> 00:03:20.560]  如同保護眼中的同人」
[00:03:20.560 --> 00:03:24.160]  「耶和華也照樣獨自引導他
