
[00:00:00.000 --> 00:00:05.000]  (請問有什麼想法可以幫助)
[00:00:05.000 --> 00:00:07.000]  不安不安
[00:00:07.000 --> 00:00:11.000]  我們一起開始之前有個祈禱
[00:00:11.000 --> 00:00:17.000]  七天父感謝你一個愛我們到底的上帝
[00:00:17.000 --> 00:00:19.000]  感謝你的信實
[00:00:19.000 --> 00:00:20.000]  你的慈愛
[00:00:20.000 --> 00:00:23.000]  你一個不輕易法老的上帝
[00:00:23.000 --> 00:00:26.000]  以至我們可以住在你愛的裏面
[00:00:26.000 --> 00:00:29.000]  就算我們看到我們生命有多迷難
[00:00:29.000 --> 00:00:31.000]  有多不堪
[00:00:31.000 --> 00:00:33.000]  我們仍然可以去面對你
[00:00:33.000 --> 00:00:36.000]  甚至可以繼續去服侍你
[00:00:36.000 --> 00:00:37.000]  所以我們感謝你
[00:00:37.000 --> 00:00:40.000]  讓我們今天認定你就是在我們生命裏面
[00:00:40.000 --> 00:00:44.000]  你在我們心裏面已經有點光的時候
[00:00:44.000 --> 00:00:48.000]  我們就懂得怎樣在這個世界裏面去為你而活
[00:00:48.000 --> 00:00:50.000]  感謝你那麼愛我們
[00:00:50.000 --> 00:00:52.000]  我們以整個土告逢主命求
[00:00:52.000 --> 00:00:54.000]  含活
[00:00:54.000 --> 00:00:55.000]  歡迎大家
[00:00:55.000 --> 00:00:56.000]  先看看大家
[00:00:56.000 --> 00:00:58.000]  好像很久沒見大家
[00:00:58.000 --> 00:00:59.000]  好
[00:00:59.000 --> 00:01:01.000]  我們進入講道
[00:01:01.000 --> 00:01:05.000]  我講一下故事
[00:01:05.000 --> 00:01:06.000]  有一次
[00:01:06.000 --> 00:01:08.000]  很久很久很久之前
[00:01:08.000 --> 00:01:12.000]  我就去健身室做運動
[00:01:12.000 --> 00:01:14.000]  看到一個男生
[00:01:14.000 --> 00:01:16.000]  他在舉啞鈴
[00:01:16.000 --> 00:01:19.000]  他每舉一套
[00:01:19.000 --> 00:01:22.000]  他就會走去那塊鏡子那裏
[00:01:22.000 --> 00:01:24.000]  然後就伸出肌肉
[00:01:24.000 --> 00:01:26.000]  然後就看下肌肉
[00:01:26.000 --> 00:01:29.000]  他每做一套就會走去
[00:01:29.000 --> 00:01:32.000]  做這一套的動作
[00:01:32.000 --> 00:01:33.000]  我就想
[00:01:33.000 --> 00:01:35.000]  你舉一套
[00:01:35.000 --> 00:01:38.000]  應該沒有那麼大有果效
[00:01:38.000 --> 00:01:40.000]  所以我有理由相信
[00:01:40.000 --> 00:01:42.000]  其實他是想展示給我們身邊的人看
[00:01:42.000 --> 00:01:44.000]  其實他是有肌肉的
[00:01:44.000 --> 00:01:46.000]  我覺得理所當然
[00:01:46.000 --> 00:01:49.000]  有肌肉當然要展示
[00:01:49.000 --> 00:01:51.000]  不是故意展示給人看
[00:01:51.000 --> 00:01:53.000]  也不介意被人看到
[00:01:53.000 --> 00:01:54.000]  所以夏天是最好的
[00:01:54.000 --> 00:01:56.000]  越熱就越好
[00:01:56.000 --> 00:01:59.000]  才有原因穿雞翼衣服
[00:01:59.000 --> 00:02:01.000]  穿越小布就越好
[00:02:01.000 --> 00:02:03.000]  不小心
[00:02:03.000 --> 00:02:04.000]  那還可以
[00:02:04.000 --> 00:02:07.000]  有肌肉又不是一件可恥的事
[00:02:07.000 --> 00:02:08.000]  所以想展示一下
[00:02:08.000 --> 00:02:09.000]  不小心展示一下
[00:02:09.000 --> 00:02:10.000]  都可以
[00:02:10.000 --> 00:02:13.000]  肚腩就說要展示
[00:02:13.000 --> 00:02:15.000]  所以有肌肉
[00:02:15.000 --> 00:02:16.000]  想被人看到
[00:02:16.000 --> 00:02:18.000]  很正常
[00:02:18.000 --> 00:02:19.000]  又有一次
[00:02:19.000 --> 00:02:20.000]  我有一個叔叔
[00:02:20.000 --> 00:02:22.000]  也是很久很久以前
[00:02:22.000 --> 00:02:25.000]  有一天他敲我家的門
[00:02:25.000 --> 00:02:28.000]  問我爸爸在不在
[00:02:28.000 --> 00:02:30.000]  我爸爸不在
[00:02:30.000 --> 00:02:32.000]  我爸爸不在
[00:02:32.000 --> 00:02:33.000]  他就會走
[00:02:33.000 --> 00:02:34.000]  他就說
[00:02:34.000 --> 00:02:37.000]  其實我買了一輛新車
[00:02:37.000 --> 00:02:39.000]  想和爸爸分享一下
[00:02:39.000 --> 00:02:41.000]  我說他不在
[00:02:41.000 --> 00:02:43.000]  我以為他會走
[00:02:43.000 --> 00:02:44.000]  他就說不如這樣吧
[00:02:44.000 --> 00:02:46.000]  你也出來看看車子
[00:02:46.000 --> 00:02:48.000]  我說好叔叔
[00:02:48.000 --> 00:02:50.000]  我出來看看你的車子
[00:02:50.000 --> 00:02:55.000]  誰知道他買了一輛火紅色的Porsche
[00:02:55.000 --> 00:02:58.000]  當時讀大專的我
[00:02:58.000 --> 00:03:00.000]  他甚至告訴我多少錢
[00:03:00.000 --> 00:03:02.000]  當時大專的我
[00:03:02.000 --> 00:03:05.000]  其實都不知道那筆錢的概念是什麼
[00:03:05.000 --> 00:03:07.000]  我只知道這個叔叔
[00:03:07.000 --> 00:03:09.000]  告訴我多少錢
[00:03:09.000 --> 00:03:11.000]  應該是要一些錢的
[00:03:11.000 --> 00:03:13.000]  身為大專的我
[00:03:13.000 --> 00:03:15.000]  覺得這個叔叔都挺特別
