
[00:00:00.000 --> 00:00:09.000]  今天想和大家分享的訊息也是一個屬靈、生命的旅程,也是一個屬靈、生命的歷程。
[00:00:09.000 --> 00:00:11.000]  我們會看一段熟悉的經文。
[00:00:11.000 --> 00:00:17.000]  不過在看經文之前,想和大家講一點。
[00:00:17.000 --> 00:00:24.000]  如果說人生裡面會有兩種令人進入很深的恐懼,
[00:00:24.000 --> 00:00:32.000]  一種可以是孤單,另一種可能是面對風浪的時候所出現的恐懼。
[00:00:32.000 --> 00:00:38.000]  有時候我們所害怕的,未必是那件事本身有多困難,
[00:00:38.000 --> 00:00:43.000]  而是反而在困難裡面,心裡面有一種感覺,
[00:00:43.000 --> 00:00:48.000]  我是否只有我自己一個人去面對現在的困難呢?
[00:00:48.000 --> 00:00:54.000]  所以如果大家記得我在六月的時候分享過一篇訊息,
[00:00:54.000 --> 00:00:57.000]  是關於列王紀上十九章,
[00:00:57.000 --> 00:01:02.000]  當以利亞去到一個人生低谷的時候,
[00:01:02.000 --> 00:01:06.000]  她甚至覺得只剩下我一個人,
[00:01:06.000 --> 00:01:11.000]  但是在那個經歷裡面,神就是一步一步讓以利亞知道,
[00:01:11.000 --> 00:01:16.000]  你不是一個人的,我一直都在這裡,神一直都在這裡。
[00:01:16.000 --> 00:01:23.000]  不過弟兄姊妹,人生有時候也會處在另外一種處境裡面,
[00:01:23.000 --> 00:01:29.000]  就是我們知道神沒有離開,我們也相信神仍然愛我們,
[00:01:29.000 --> 00:01:34.000]  但是眼前的風浪實際上還沒有停下來,
[00:01:34.000 --> 00:01:38.000]  在那個時候,人又會是怎樣呢?
[00:01:38.000 --> 00:01:42.000]  你又會是怎樣呢?
[00:01:42.000 --> 00:01:46.000]  或者可能家裡的關係仍然有張力,
[00:01:46.000 --> 00:01:51.000]  可能病仍然在這裡,工作還有很多未知之數,
[00:01:51.000 --> 00:01:53.000]  前面的路都看不清楚,
[00:01:53.000 --> 00:01:56.000]  在那個時候,我們心裡面可能會想,
[00:01:56.000 --> 00:01:59.000]  我們相信神沒有離開,
[00:01:59.000 --> 00:02:03.000]  我們也相信神是愛我們,
[00:02:03.000 --> 00:02:08.000]  但是當風浪一直沒有停的時候,
[00:02:08.000 --> 00:02:12.000]  心裡面仍然會問,主啊,我相信祢在這裡,
[00:02:12.000 --> 00:02:14.000]  我實在相信祢在這裡,
[00:02:14.000 --> 00:02:19.000]  但是為什麼我好像感受不到祢呢?
[00:02:19.000 --> 00:02:22.000]  如果獵王記上十九章提醒我們,
[00:02:22.000 --> 00:02:25.000]  當你以為只剩下自己的時候,
[00:02:25.000 --> 00:02:28.000]  神其實沒有離開過。
[00:02:28.000 --> 00:02:32.000]  今天,我想和大家一起去看《馬太福音》第十四章,
[00:02:32.000 --> 00:02:35.000]  就是帶給我們再走前一步,
[00:02:35.000 --> 00:02:38.000]  看另外一個光景。
[00:02:38.000 --> 00:02:41.000]  因為聖經不單止告訴我們神沒有離開,
[00:02:41.000 --> 00:02:43.000]  更加讓我們看得見,
[00:02:43.000 --> 00:02:45.000]  當人在風浪裡面的時候,
[00:02:45.000 --> 00:02:49.000]  主耶穌是怎樣親自走近我們每一個人。
[00:02:49.000 --> 00:02:52.000]  所以今天,我很想和大家一起去思想,
[00:02:52.000 --> 00:02:55.000]  當耶穌走近我們生命的風浪的時候,
[00:02:55.000 --> 00:03:00.000]  究竟我們能夠看見的是一位怎樣的主?
[00:03:00.000 --> 00:03:01.000]  好不好?
[00:03:01.000 --> 00:03:08.000]  我們一起低頭禱告吧!
[00:03:08.000 --> 00:03:11.000]  七天主的人生真是有平靜的日子,
[00:03:11.000 --> 00:03:13.000]  我們亦都知道,
[00:03:13.000 --> 00:03:17.000]  在真實的生命裡面,同樣都會有風浪。
[00:03:17.000 --> 00:03:20.000]  但是主耶穌我們很清楚知道,
[00:03:20.000 --> 00:03:22.000]  作為你的兒女,
[00:03:22.000 --> 00:03:25.000]  我們無論在平靜,在風浪裡面,
[00:03:25.000 --> 00:03:29.000]  我們不用恐慌,不用恐懼,
[00:03:29.000 --> 00:03:31.000]  因為我們很清楚知道,
[00:03:31.000 --> 00:03:34.000]  你就是在裡面,仍然在這裡。
[00:03:34.000 --> 00:03:39.000]  你在裡面,仍然是一步一步走近我們。
[00:03:39.000 --> 00:03:41.000]  主啊,在今天裡面,
[00:03:41.000 --> 00:03:43.000]  藉著經文的分享,
[00:03:43.000 --> 00:03:45.000]  就讓我們再一次經歷,
[00:03:45.000 --> 00:03:47.000]  深刻的經歷,
[00:03:47.000 --> 00:03:50.000]  上帝,你的恩典,你的愛,
[00:03:50.000 --> 00:03:53.000]  一直怎樣和我們同在。
[00:03:53.000 --> 00:03:56.000]  求你的靈去感動我們,
[00:03:56.000 --> 00:03:59.000]  去聽我們願意去回應。
[00:03:59.000 --> 00:04:00.000]  感謝撒米尼,
[00:04:00.000 --> 00:04:01.000]  祈禱交託,
[00:04:01.000 --> 00:04:03.000]  感恩奉主的獨特性的名字。
[00:04:03.000 --> 00:04:05.000]  阿門。
[00:04:05.000 --> 00:04:09.000]  好,首先想和大家讀一讀,
[00:04:09.000 --> 00:04:11.000]  今天《馬太福音》十四章,
[00:04:11.000 --> 00:04:16.000]  二十二至二十七節的經文。
[00:04:16.000 --> 00:04:17.000]  準備好,開始了。
[00:04:17.000 --> 00:04:19.000]  一二三,起!
[00:04:27.000 --> 00:04:29.000]  一二三,起!
[00:04:29.000 --> 00:04:51.000]  耶穌在海面上走,往門徒那裡去。
[00:04:51.000 --> 00:04:55.000]  但門徒看見他在海面上走,
[00:04:55.000 --> 00:04:59.000]  他驚慌了說,是個鬼怪。
[00:04:59.000 --> 00:05:02.000]  他們害怕得喊叫起來,
[00:05:02.000 --> 00:05:05.000]  耶穌賢王對他們說,
[00:05:05.000 --> 00:05:07.000]  放心,是我,不要怕。
[00:05:07.000 --> 00:05:12.000]  好,我們先讀到這裡。
[00:05:12.000 --> 00:05:14.000]  當我們讀這段經文的時候,
[00:05:14.000 --> 00:05:19.000]  很容易將注意力放在海面上的風浪,
[00:05:19.000 --> 00:05:21.000]  或者我們待會再讀下去的時候,
[00:05:21.000 --> 00:05:25.000]  會記得怎樣在水面上行走。
[00:05:25.000 --> 00:05:27.000]  但是,在這一刻,
[00:05:27.000 --> 00:05:32.000]  我想首先邀請大家再仔細看一看,
[00:05:32.000 --> 00:05:35.000]  經文一開始的敘述是怎樣的。
[00:05:35.000 --> 00:05:37.000]  第二十二字是這樣說的,
[00:05:37.000 --> 00:05:43.000]  耶穌隨即催門徒上船,先到過對岸。
[00:05:43.000 --> 00:05:48.000]  催這個字,不是普通說叫或者請的意思,
