
[00:00:00.000 --> 00:00:03.000]  今晚很快又是聖誕節了
[00:00:03.000 --> 00:00:05.000]  當我預備今天講章的時候
[00:00:05.000 --> 00:00:07.000]  我在想我要講什麼呢?
[00:00:07.000 --> 00:00:10.000]  是不是要講一些聖誕的信息呢?
[00:00:10.000 --> 00:00:13.000]  但是我又發覺
[00:00:13.000 --> 00:00:15.000]  如果我永遠都是講馬拉福音
[00:00:15.000 --> 00:00:16.000]  耶穌出世
[00:00:16.000 --> 00:00:17.000]  或者是穆加福音
[00:00:17.000 --> 00:00:18.000]  耶穌出世
[00:00:18.000 --> 00:00:21.000]  就好像大家都聽到很多了
[00:00:21.000 --> 00:00:24.000]  所以我今天用一段比較特別的
[00:00:24.000 --> 00:00:25.000]  少用的
[00:00:25.000 --> 00:00:28.000]  就是《肥勒比書》第二章1到11節
[00:00:28.000 --> 00:00:32.000]  作為今天我這個信息的分享
[00:00:32.000 --> 00:00:35.000]  或者我們一起先來聽一聽
[00:00:35.000 --> 00:00:38.000]  這段經文是講什麼呢?
[00:00:38.000 --> 00:00:45.000]  《肥勒比書》第二章1到11節
[00:00:45.000 --> 00:00:46.000]  現代人的之日
[00:00:46.000 --> 00:00:50.000]  很多時候都給商人來騎劫
[00:00:50.000 --> 00:00:51.000]  特別是聖誕節
[00:00:51.000 --> 00:00:53.000]  很多時候我們會看到
[00:00:53.000 --> 00:00:55.000]  12月1日開始
[00:00:55.000 --> 00:00:59.000]  已經四處佈滿了聖誕節的氣氛
[00:00:59.000 --> 00:01:01.000]  燈飾
[00:01:01.000 --> 00:01:03.000]  商場的佈置
[00:01:03.000 --> 00:01:05.000]  很吸引人
[00:01:05.000 --> 00:01:08.000]  每一樣都帶著一種濃厚的味道
[00:01:08.000 --> 00:01:11.000]  使人想去消費
[00:01:11.000 --> 00:01:16.000]  希望能夠讓大家在這些特別的日子裡
[00:01:16.000 --> 00:01:18.000]  能夠多花點錢
[00:01:18.000 --> 00:01:21.000]  然後買到自己的快樂
[00:01:21.000 --> 00:01:25.000]  但是在兩個星期多之前
[00:01:25.000 --> 00:01:27.000]  在大埔宏福縣
[00:01:27.000 --> 00:01:30.000]  發生了一場世紀的大火
[00:01:30.000 --> 00:01:33.000]  可能這個對整個香港來說
[00:01:33.000 --> 00:01:35.000]  是一個很大的傷害
[00:01:35.000 --> 00:01:38.000]  很多人的心都很難過
[00:01:38.000 --> 00:01:42.000]  於是政府馬上停了很多東西
[00:01:42.000 --> 00:01:46.000]  然後大家都好像將很多東西都壓下來
[00:01:46.000 --> 00:01:49.000]  收斂一下
[00:01:49.000 --> 00:01:50.000]  有人問過我
[00:01:50.000 --> 00:01:52.000]  牧師啊
[00:01:52.000 --> 00:01:59.000]  你們基督徒在今天會不會唱普世歡騰
[00:01:59.000 --> 00:02:03.000]  你們還能不能歡騰出來呢
[00:02:03.000 --> 00:02:04.000]  我想了一下
[00:02:04.000 --> 00:02:06.000]  我回答他
[00:02:06.000 --> 00:02:10.000]  我說我們仍然會過聖誕節
[00:02:10.000 --> 00:02:13.000]  但我們不一定要唱普世歡騰
[00:02:13.000 --> 00:02:17.000]  因為有很多首聖誕歌
[00:02:17.000 --> 00:02:24.000]  而且聖誕節不單單是一種歡樂的氣氛
[00:02:24.000 --> 00:02:28.000]  其實聖誕節是告訴我們
[00:02:28.000 --> 00:02:31.000]  我們的救主降世
[00:02:31.000 --> 00:02:34.000]  祂為我們帶來盼望
[00:02:34.000 --> 00:02:41.000]  為那些在絕望、黑暗裡的人帶來曙光
[00:02:41.000 --> 00:02:46.000]  所以就算有大埔宏福縣的火災
[00:02:46.000 --> 00:02:51.000]  我們教會仍然要過聖誕節
[00:02:51.000 --> 00:02:53.000]  但是我們要告訴人們
[00:02:53.000 --> 00:02:57.000]  聖誕節是一個盼望的節日
[00:02:57.000 --> 00:03:05.000]  聖誕節是能夠帶給人有曙光
[00:03:05.000 --> 00:03:11.000]  所以我們不要懼怕社會的氣氛
[00:03:11.000 --> 00:03:17.000]  我們要讓這種充滿了彌萬住哀愁的社會
[00:03:17.000 --> 00:03:23.000]  能夠看到神給我們的那種平安
[00:03:23.000 --> 00:03:32.000]  就好像保羅在《羅馬書》第五章十三節說
