
[00:00:00.000 --> 00:00:04.840]  多謝敬拜隊帶領我們唱這幾首很有意思的歌
[00:00:04.840 --> 00:00:07.400]  特別最後一首詩歌是「家」
[00:00:07.400 --> 00:00:10.200]  因為今天特別安排
[00:00:10.200 --> 00:00:11.920]  是叫「家公主日」
[00:00:11.920 --> 00:00:13.800]  家庭事公主日
[00:00:13.800 --> 00:00:16.200]  我們經常說家庭要加工
[00:00:16.200 --> 00:00:17.880]  要再重做
[00:00:17.880 --> 00:00:20.280]  我們透過今天「家公主日」
[00:00:20.280 --> 00:00:22.600]  很願意將我們的
[00:00:22.600 --> 00:00:25.600]  再次強調我們需要守護一個
[00:00:25.600 --> 00:00:27.720]  合神心意的家庭
[00:00:27.720 --> 00:00:31.040]  首先在這裡想問問大家
[00:00:31.040 --> 00:00:34.000]  你要苦心自問
[00:00:34.000 --> 00:00:37.520]  你今天的家庭幸不幸福呢?
[00:00:37.520 --> 00:00:39.520]  想清楚
[00:00:39.520 --> 00:00:44.120]  你覺得不幸福的舉手
[00:00:44.120 --> 00:00:46.720]  沒有人舉手
[00:00:46.720 --> 00:00:48.320]  大家很幸福
[00:00:48.320 --> 00:00:49.920]  又問你
[00:00:49.920 --> 00:00:51.920]  你覺得幸福的舉手
[00:00:51.920 --> 00:00:53.920]  很多人說幸福
[00:00:53.920 --> 00:00:55.320]  感謝主
[00:00:55.320 --> 00:00:57.520]  但我想問問你
[00:00:57.520 --> 00:00:59.720]  你今天有沒有為你家人
[00:00:59.720 --> 00:01:03.120]  或者你們家人的關係而擔憂呢?
[00:01:03.120 --> 00:01:05.120]  想清楚
[00:01:05.120 --> 00:01:06.320]  有沒有?
[00:01:06.320 --> 00:01:08.320]  有的舉手
[00:01:08.320 --> 00:01:09.720]  又有
[00:01:09.720 --> 00:01:11.120]  你發生什麼事?
[00:01:11.120 --> 00:01:12.720]  你又幸福又擔憂
[00:01:12.720 --> 00:01:14.920]  那你幸不幸福?
[00:01:14.920 --> 00:01:17.520]  當然擔憂不一定不幸福
