
[00:00:00.000 --> 00:00:03.000]  其實我信了耶穌已經好幾十年了
[00:00:03.000 --> 00:00:07.000]  滿有很多神的恩典在我生命裏面
[00:00:07.000 --> 00:00:09.000]  但是我都會想一些壞事
[00:00:09.000 --> 00:00:12.000]  例如近來我見到一些人衝地鐵
[00:00:12.000 --> 00:00:14.000]  甚麼叫衝地鐵呢
[00:00:14.000 --> 00:00:16.000]  就是地鐵閘門快要關上
[00:00:16.000 --> 00:00:17.000]  嘟嘟嘟嘟嘟
[00:00:17.000 --> 00:00:19.000]  那些人就衝進去
[00:00:19.000 --> 00:00:21.000]  誰知他衝不到
[00:00:21.000 --> 00:00:23.000]  我就覺得他很差勁
[00:00:23.000 --> 00:00:25.000]  想當年我中學的時候
[00:00:25.000 --> 00:00:28.000]  衝這些地鐵是我專玩的遊戲
[00:00:28.000 --> 00:00:31.000]  我就專趁他嘟嘟嘟嘟關上時就衝進去
[00:00:31.000 --> 00:00:33.000]  多有成功感
[00:00:33.000 --> 00:00:35.000]  又見到有人經常追巴士追不到
[00:00:35.000 --> 00:00:37.000]  又會想他那麼差勁
[00:00:37.000 --> 00:00:39.000]  想當年我中學的時候
[00:00:39.000 --> 00:00:42.000]  追巴士過三個街口完全沒問題
[00:00:42.000 --> 00:00:45.000]  結果我真的試過
[00:00:45.000 --> 00:00:46.000]  試過一次很趕時間
[00:00:46.000 --> 00:00:48.000]  地鐵剛剛到
[00:00:48.000 --> 00:00:49.000]  那道門就快要關上
[00:00:49.000 --> 00:00:50.000]  嘟嘟嘟嘟嘟
[00:00:50.000 --> 00:00:51.000]  我衝進去
[00:00:51.000 --> 00:00:54.000]  誰知夾住了
[00:00:54.000 --> 00:00:56.000]  好像一隻龜一樣
[00:00:56.000 --> 00:00:58.000]  因為我背著背囊
[00:00:58.000 --> 00:01:00.000]  就夾住了背囊
[00:01:00.000 --> 00:01:02.000]  人就過了
[00:01:02.000 --> 00:01:04.000]  就想原來想當年和現在差很遠
[00:01:04.000 --> 00:01:06.000]  我又試過一次追巴士
[00:01:06.000 --> 00:01:07.000]  追著追著
[00:01:07.000 --> 00:01:09.000]  突然腳有點抽筋
[00:01:09.000 --> 00:01:11.000]  巴士就看著他走了
[00:01:11.000 --> 00:01:13.000]  那時我就想
[00:01:13.000 --> 00:01:15.000]  其實為何想當年中學的時候
[00:01:15.000 --> 00:01:17.000]  這些就易如反掌
[00:01:17.000 --> 00:01:18.000]  今天會那麼慘呢
[00:01:18.000 --> 00:01:20.000]  我馬上回顧了我的人生
[00:01:20.000 --> 00:01:23.000]  其實我人生下半場大部分的失敗
[00:01:23.000 --> 00:01:25.000]  就因為太多想當年
[00:01:25.000 --> 00:01:27.000]  所以現在想當年又怎樣
[00:01:27.000 --> 00:01:28.000]  想當年又怎樣
[00:01:28.000 --> 00:01:30.000]  搞到下半生常常失敗
[00:01:30.000 --> 00:01:32.000]  我亦見過一個朋友和他聊天
[00:01:32.000 --> 00:01:34.000]  那時還在工作
[00:01:34.000 --> 00:01:36.000]  就說我有一個同事很麻煩
[00:01:36.000 --> 00:01:38.000]  有一個老闆很麻煩
[00:01:38.000 --> 00:01:40.000]  那個朋友就教我
[00:01:40.000 --> 00:01:44.000]  你想用一個平和的方法去報復
[00:01:44.000 --> 00:01:46.000]  就有一個方法
[00:01:46.000 --> 00:01:47.000]  你和他吃一餐飯
[00:01:47.000 --> 00:01:49.000]  不停和他想當年
[00:01:49.000 --> 00:01:50.000]  只要他想當年越多
[00:01:50.000 --> 00:01:52.000]  他就會有一點抑鬱
[00:01:52.000 --> 00:01:54.000]  他就會越來越抑鬱
[00:01:54.000 --> 00:01:56.000]  最好就叫他想當年
[00:01:56.000 --> 00:01:57.000]  想一下自己的理想
[00:01:57.000 --> 00:01:59.000]  然後叫他辭職創業
[00:01:59.000 --> 00:02:01.000]  因為你一石二鳥
[00:02:01.000 --> 00:02:03.000]  第一你永遠見不到這個同事和老闆
[00:02:03.000 --> 00:02:05.000]  他去了創業
[00:02:05.000 --> 00:02:07.000]  第二這些那麼麻煩的人去創業
[00:02:07.000 --> 00:02:08.000]  等於送死
