
[00:00:00.000 --> 00:00:01.560]  先看看大家
[00:00:01.560 --> 00:00:02.880]  大家主內平安
[00:00:02.880 --> 00:00:03.960]  Hello
[00:00:03.960 --> 00:00:05.800]  歡迎大家回來「飆青」
[00:00:05.800 --> 00:00:09.040]  很感恩有勁敗隊服侍我們
[00:00:09.040 --> 00:00:10.440]  不如掌聲鼓勵勁敗隊
[00:00:10.440 --> 00:00:12.000]  AB Team、Sissi
[00:00:12.000 --> 00:00:14.640]  今天回來看到大家很溫暖
[00:00:14.640 --> 00:00:16.480]  一些大家熟悉的面孔
[00:00:16.480 --> 00:00:18.480]  特別是Adrian
[00:00:18.480 --> 00:00:21.320]  原來剛剛來到也有這麼多事情要做
[00:00:21.320 --> 00:00:22.920]  是不是又要領詩之類的
[00:00:22.920 --> 00:00:25.840]  很感恩
[00:00:25.840 --> 00:00:28.480]  因為今天我們團隊
[00:00:28.480 --> 00:00:31.400]  年尾也有很多工作
[00:00:31.400 --> 00:00:32.040]  各樣的
[00:00:32.040 --> 00:00:34.200]  但是Adrian和Brian
[00:00:34.200 --> 00:00:35.800]  各位也願意補位
[00:00:35.800 --> 00:00:37.880]  很感受到主內的愛
[00:00:37.880 --> 00:00:39.240]  也為大家很感恩
[00:00:39.240 --> 00:00:41.320]  我的講題就是
[00:00:41.320 --> 00:00:43.160]  噠噠噠噠
[00:00:43.160 --> 00:00:46.760]  「嘩!你還能愛嗎?」
[00:00:46.760 --> 00:00:48.720]  是溫柔版的
[00:00:48.720 --> 00:00:50.320]  不是「你行不行?」
[00:00:50.320 --> 00:00:52.160]  也不是挑戰版的
[00:00:52.160 --> 00:00:54.000]  如果記得「心碎青」
[00:00:54.000 --> 00:00:55.640]  我上次說過
[00:00:55.640 --> 00:00:58.200]  《若寒風音》21章說
[00:00:58.200 --> 00:01:00.040]  問大家一個問題
[00:01:00.040 --> 00:01:05.000]  「你們愛主比這些更深嗎?」
[00:01:05.000 --> 00:01:05.560]  就是說
[00:01:05.560 --> 00:01:10.680]  我們愛主可不可以比我們生命裡一切的一切更深
[00:01:10.680 --> 00:01:12.760]  今天就像一個續集
[00:01:12.760 --> 00:01:16.560]  也是我自己在靈修、靈情裡
[00:01:16.560 --> 00:01:18.040]  自己也在問
[00:01:18.040 --> 00:01:20.080]  給神問這個問題
[00:01:20.080 --> 00:01:21.240]  「你還能愛嗎?」
[00:01:21.240 --> 00:01:23.600]  我想這個愛特別是在說
[00:01:23.600 --> 00:01:25.520]  我們在主耶穌身體裡
[00:01:25.520 --> 00:01:26.960]  在教會裡
[00:01:26.960 --> 00:01:31.240]  我們能不能夠首先用神的愛彼此相愛呢?
[00:01:31.240 --> 00:01:34.080]  然後以至我們這份愛可以用在
[00:01:34.080 --> 00:01:35.600]  或者真的流露
[00:01:35.600 --> 00:01:36.960]  流動在我們
