
[00:00:00.000 --> 00:00:04.440]  謝謝阿君帶給我們一起回到上帝面前敬拜
[00:00:04.440 --> 00:00:06.040]  剛才很體會一件事
[00:00:06.040 --> 00:00:10.320]  就是就算PowerPoint令歌詞和流程改變了
[00:00:10.320 --> 00:00:14.960]  但是詩歌帶給我們的提醒是不會改變的
[00:00:14.960 --> 00:00:20.480]  謝謝阿君帶給我們的一個很好的敬拜
[00:00:20.480 --> 00:00:21.560]  也成為我們的提醒
[00:00:21.560 --> 00:00:26.760]  雖然歌曲可能大家對大家比較老
[00:00:26.760 --> 00:00:30.800]  但是我覺得有時候這些歌曲其實都帶給我們
[00:00:30.800 --> 00:00:33.720]  提醒是很重要的
[00:00:33.720 --> 00:00:36.800]  所以讓我們回到神道
[00:00:36.800 --> 00:00:40.920]  同樣地今天我們也回到神的話語裡面
[00:00:40.920 --> 00:00:46.720]  我們去聽一下祂的說話帶給我們的提醒
[00:00:46.720 --> 00:00:50.160]  那麼加油共祐宴
[00:00:50.160 --> 00:00:54.960]  好,今天很想跟大家分享這個主題
[00:00:54.960 --> 00:00:57.760]  適逢明天是母親節
[00:00:57.760 --> 00:00:59.960]  下個月是父親節
[00:00:59.960 --> 00:01:03.840]  很想跟大家分享一下家庭這個主題
[00:01:03.840 --> 00:01:06.720]  我猜我們很少去分享
[00:01:06.720 --> 00:01:08.920]  我明白的是
[00:01:08.920 --> 00:01:13.240]  我猜我們家裡每個人都有不同的背景
[00:01:13.240 --> 00:01:14.880]  會有不同的情況
[00:01:14.880 --> 00:01:17.600]  不過我相信一件事就是
[00:01:17.600 --> 00:01:20.800]  我們每個人都有我們重視的家人
[00:01:20.800 --> 00:01:23.480]  今天很想跟大家透過信仰去反思一下
[00:01:23.480 --> 00:01:25.760]  我們跟家人的相處
[00:01:25.760 --> 00:01:29.280]  我們過往可能都會經常聽到
[00:01:29.280 --> 00:01:30.480]  我們聽到一方面是甚麼呢?
[00:01:30.480 --> 00:01:32.880]  我們經常聽到我們要孝敬父母
[00:01:32.880 --> 00:01:36.240]  我們經常說父母不要惹兒女的氣
[00:01:36.240 --> 00:01:39.200]  不過通常我們在家裡出現的情況
[00:01:39.200 --> 00:01:41.040]  會是一個甚麼情況呢?
[00:01:41.040 --> 00:01:44.560]  當我們跟家人有衝突的時候
[00:01:44.560 --> 00:01:46.280]  可能我們跟家人
[00:01:46.280 --> 00:01:48.720]  就算那些說話未必會說出口也好
[00:01:48.720 --> 00:01:50.800]  可能你心裡也會這樣想
