
[00:00:00.000 --> 00:00:03.000]  大家今天心情如何?
[00:00:03.000 --> 00:00:07.000]  好呀,感恩呀
[00:00:07.000 --> 00:00:13.000]  我曾經和一些弟兄姊妹吃午餐的時候
[00:00:13.000 --> 00:00:17.000]  聽到他們說一些數字
[00:00:17.000 --> 00:00:22.000]  1.8、1.2、1.5
[00:00:22.000 --> 00:00:24.000]  我不太知道他們在說什麼
[00:00:24.000 --> 00:00:26.000]  我就問他們在說什麼,在談什麼
[00:00:26.000 --> 00:00:29.000]  原來他們在談工作的情況
[00:00:29.000 --> 00:00:33.000]  其中一位的工作情況就說
[00:00:33.000 --> 00:00:36.000]  1.2倍的工作量是正常的
[00:00:36.000 --> 00:00:39.000]  1.5倍都尚可
[00:00:39.000 --> 00:00:43.000]  1.8倍就吃不消了
[00:00:43.000 --> 00:00:48.000]  1.5倍的工作量都說正常
[00:00:48.000 --> 00:00:50.000]  我覺得他已經超人了
[00:00:50.000 --> 00:00:53.000]  但他覺得是超煩
[00:00:53.000 --> 00:01:01.000]  相信很多香港人對自己的生活都有一些生命
[00:01:01.000 --> 00:01:03.000]  人生都有一些類似的感受
[00:01:03.000 --> 00:01:05.000]  很多東西都很貴
[00:01:05.000 --> 00:01:07.000]  生活指數高
[00:01:07.000 --> 00:01:09.000]  生活壓力越來越大
[00:01:09.000 --> 00:01:11.000]  工作時間越來越長
[00:01:11.000 --> 00:01:14.000]  連想建立一個小小的蝸居
[00:01:14.000 --> 00:01:18.000]  找一個過了生之後的葬身之地
[00:01:18.000 --> 00:01:20.000]  都十分困難
[00:01:20.000 --> 00:01:24.000]  生活上有很多關係上的張力
[00:01:24.000 --> 00:01:29.000]  和上司、同事、朋友、家人、配偶等等
[00:01:29.000 --> 00:01:32.000]  很多關係的張力
[00:01:32.000 --> 00:01:35.000]  又有很多身邊的親戚朋友移民
[00:01:35.000 --> 00:01:38.000]  好的朋友又要送機了
[00:01:38.000 --> 00:01:40.000]  那種感受
[00:01:40.000 --> 00:01:45.000]  感受到人生覺得生活好像一個超煩的人生
[00:01:45.000 --> 00:01:47.000]  煩惱的煩字
[00:01:47.000 --> 00:01:50.000]  如何可以離開這些煩惱呢?
[00:01:50.000 --> 00:01:54.000]  活出一個真正超煩脫俗的人生呢?
[00:01:54.000 --> 00:01:57.000]  在《馬太福音》第十四章
[00:01:57.000 --> 00:02:00.000]  一開始一到十三節說到
[00:02:00.000 --> 00:02:05.000]  耶穌聽見施洗約翰被希律王斬頭殺了
[00:02:05.000 --> 00:02:08.000]  特意來祈禱一個噩耗
