
[00:00:00.000 --> 00:00:04.000]  (馬安鼎) 馬安鼎姐妹
[00:00:04.000 --> 00:00:09.000]  今日世界變幻莫測 風起雲湧
[00:00:09.000 --> 00:00:14.000]  很多事情發生都是和我們的生活息息相關
[00:00:14.000 --> 00:00:17.000]  特別過去幾年所發生的事
[00:00:17.000 --> 00:00:21.000]  相信對於很多人來說都是很大的衝擊
[00:00:21.000 --> 00:00:25.000]  譬如香港現在的移民潮都是沒完沒了
[00:00:25.000 --> 00:00:32.000]  究竟何時才可以止息今日的亂局呢?
[00:00:32.000 --> 00:00:36.000]  有沒有人可以預測到?
[00:00:36.000 --> 00:00:41.000]  今日我們的信心應該投靠在哪裏呢?
[00:00:41.000 --> 00:00:48.000]  是否我們正等待一位領袖或一位超級領袖帶領我們呢?
[00:00:48.000 --> 00:00:54.000]  帶領我們可以回復昔日安定繁榮的日子呢?
[00:00:54.000 --> 00:00:58.000]  是否他真的可以帶給我們一個好的將來呢?
[00:00:58.000 --> 00:01:04.000]  今日誰才是世界真正的掌權人
[00:01:04.000 --> 00:01:08.000]  是有能力掌管人類的歷史
[00:01:08.000 --> 00:01:13.000]  我想你今日分享的經文可以提供一個答案給我們
[00:01:13.000 --> 00:01:20.000]  讓我們先一同的禱告吧
[00:01:20.000 --> 00:01:23.000]  差主我們來到你面前
[00:01:23.000 --> 00:01:26.000]  我們面對現今這個勢局
[00:01:26.000 --> 00:01:30.000]  很多時候我們都不知道怎樣去應對
[00:01:30.000 --> 00:01:33.000]  亦都覺得很無助
[00:01:33.000 --> 00:01:36.000]  我們心裏面有很多缺乏
[00:01:36.000 --> 00:01:39.000]  有時我們都因為懼怕因為焦慮
[00:01:39.000 --> 00:01:43.000]  我們不懂得去依靠天上的神
[00:01:43.000 --> 00:01:46.000]  主在這一刻我們希望透過今日的訊息
[00:01:46.000 --> 00:01:48.000]  你寶貴的說話
[00:01:48.000 --> 00:01:50.000]  你親自幫助我們
[00:01:50.000 --> 00:01:54.000]  讓我們明白今天是誰主明天
[00:01:54.000 --> 00:01:58.000]  是誰才是這個世界的掌權者
[00:01:58.000 --> 00:02:00.000]  求你堅固我們的信心
[00:02:00.000 --> 00:02:06.000]  讓我們以下時間能夠安靜去聆聽神的話語
[00:02:06.000 --> 00:02:10.000]  我們禱告是奉靠主耶穌基督的名
[00:02:10.000 --> 00:02:17.000]  我們今日思想經文是舊約以斯拉基第六章
[00:02:17.000 --> 00:02:23.000]  是有關以色列民被擄回歸這個事件
[00:02:23.000 --> 00:02:29.000]  被擄回歸這個事件對他們來說是一件極其重要的事件
[00:02:29.000 --> 00:02:33.000]  可能我們當中有些比較初信的弟兄姊妹
[00:02:33.000 --> 00:02:36.000]  或者對舊約背景不是太熟悉的
[00:02:36.000 --> 00:02:42.000]  讓我用幾分鐘時間去簡介這件事件背後的背景
[00:02:42.000 --> 00:02:46.000]  創世紀人類始早開始犯罪
