
[00:00:00.000 --> 00:00:04.000]  今天我們會繼續在中堂的講道系列
[00:00:04.000 --> 00:00:09.000]  我們講到約翰一二三書
[00:00:09.000 --> 00:00:11.000]  今天去到第五章了
[00:00:11.000 --> 00:00:13.000]  亦都是約翰一書的最後一章
[00:00:13.000 --> 00:00:16.000]  我不知道大家是否記得陳清泉
[00:00:16.000 --> 00:00:19.000]  在前一個星期分享
[00:00:19.000 --> 00:00:21.000]  有關約翰一書四章
[00:00:21.000 --> 00:00:22.000]  我們很熟悉的
[00:00:22.000 --> 00:00:24.000]  給大家一個提示
[00:00:24.000 --> 00:00:26.000]  看看能否出
[00:00:26.000 --> 00:00:29.000]  四章十一節
[00:00:30.000 --> 00:00:35.000]  親愛的既然神者讓愛我們
[00:00:35.000 --> 00:00:37.000]  我們也要怎樣
[00:00:37.000 --> 00:00:38.000]  填充題
[00:00:38.000 --> 00:00:41.000]  你們真厲害
[00:00:41.000 --> 00:00:42.000]  真的記得
[00:00:42.000 --> 00:00:44.000]  彼此相愛
[00:00:44.000 --> 00:00:46.000]  你還記不記得
[00:00:46.000 --> 00:00:47.000]  Elixir那裡說
[00:00:47.000 --> 00:00:49.000]  這段經文很特別
[00:00:49.000 --> 00:00:52.000]  親愛的既然神者讓愛我們
[00:00:52.000 --> 00:00:53.000]  那應該怎樣
[00:00:53.000 --> 00:00:55.000]  神那麼愛我們
[00:00:55.000 --> 00:00:56.000]  我們就愛神
[00:00:56.000 --> 00:00:58.000]  很容易
[00:00:58.000 --> 00:01:00.000]  但聖經不是這樣說
[00:01:00.000 --> 00:01:04.000]  聖經說親愛的既然神者讓愛我們
[00:01:04.000 --> 00:01:05.000]  我們也要怎樣
[00:01:05.000 --> 00:01:07.000]  彼此相愛
[00:01:07.000 --> 00:01:09.000]  這個真的很難
[00:01:09.000 --> 00:01:12.000]  愛神是容易的
[00:01:12.000 --> 00:01:15.000]  彼此相愛是難的
[00:01:15.000 --> 00:01:17.000]  這個可以說
[00:01:17.000 --> 00:01:19.000]  如果大家看約翰一二三書
[00:01:19.000 --> 00:01:21.000]  我們其實有幾位同工都講過
[00:01:21.000 --> 00:01:23.000]  當時是受著很多異端
[00:01:23.000 --> 00:01:26.000]  其中就是諾斯底主義的影響
[00:01:26.000 --> 00:01:28.000]  他在教會是看重知識
[00:01:28.000 --> 00:01:30.000]  而忽視了信主之後的行為
[00:01:30.000 --> 00:01:33.000]  知識其實就是諾斯底希利文的意思
[00:01:33.000 --> 00:01:36.000]  所以我們頭腦上知道
[00:01:36.000 --> 00:01:37.000]  是要彼此相愛
[00:01:37.000 --> 00:01:39.000]  但要實踐
[00:01:39.000 --> 00:01:40.000]  其實是很難
[00:01:40.000 --> 00:01:43.000]  所以不斷在約翰一書一二三四
[00:01:43.000 --> 00:01:44.000]  去到第五章
[00:01:44.000 --> 00:01:48.000]  我們都是講到彼此相愛的重要
[00:01:48.000 --> 00:01:51.000]  其實這個也可以說是今天教會的警況
