
[00:00:00.000 --> 00:00:03.000]  大家好,鄧姐妹,午安
[00:00:03.000 --> 00:00:07.000]  很開心今天可以和大家一起去敬拜
[00:00:07.000 --> 00:00:12.000]  剛才敬拜時,我也有點緊張
[00:00:12.000 --> 00:00:15.000]  因為好像很久沒有在講道的感覺
[00:00:15.000 --> 00:00:22.000]  主席在大敬拜時說得很想大家打開心遇見主
[00:00:22.000 --> 00:00:24.000]  對我也是一個提醒
[00:00:24.000 --> 00:00:27.000]  我經常在想,哪裏要講好一點,如何預備
[00:00:28.000 --> 00:00:31.000]  但其實不是,也不是靠誰講道,誰做甚麼
[00:00:31.000 --> 00:00:35.000]  最重要是上帝和我們一起,聲令和我們同在
[00:00:35.000 --> 00:00:40.000]  最期待大家能夠在聖派裏面遇見上帝,這是很重要的
[00:00:40.000 --> 00:00:46.000]  所以期望,我們也打開心,希望我們在過程裏面能夠遇見上帝
[00:00:46.000 --> 00:00:50.000]  今天我和大家分享的題目叫做信心move on
[00:00:50.000 --> 00:00:57.000]  人生都是成長在裏面,由一個階段move on去到另一個階段
[00:00:57.000 --> 00:00:59.000]  信仰也是這樣的
[00:00:59.000 --> 00:01:06.000]  當我們小時候,父母說甚麼給我們聽我們便相信
[00:01:06.000 --> 00:01:13.000]  但長大後,到了另一個階段,你發覺有些事父母說你未必相信
[00:01:13.000 --> 00:01:21.000]  我記得我小時候,媽媽經常跟我說,吃蘋果要小心一點
[00:01:22.000 --> 00:01:29.000]  我說你不要吞下肚子,為甚麼?為甚麼你不能吞下肚子?
[00:01:29.000 --> 00:01:33.000]  我發覺年代不同,你父母不是這樣跟你說的
[00:01:33.000 --> 00:01:37.000]  她說吞下肚子會從頭頂生出一棵樹
[00:01:37.000 --> 00:01:44.000]  你們有沒有聽過,特別是媽媽,她經常說不准吃香口膠
[00:01:44.000 --> 00:01:49.000]  因為香口膠很容易,你不覺不覺香口膠會吞下肚子
[00:01:50.000 --> 00:01:55.000]  吞下肚子會怎樣?這個你有聽過,突然拉近了
[00:01:55.000 --> 00:02:03.000]  會黏著腸,很害怕,黏著腸怎麼辦?安撫到BooBoo怎麼辦?
[00:02:03.000 --> 00:02:10.000]  後來我就知道是假的,為甚麼?我試過沒事
[00:02:10.000 --> 00:02:14.000]  你有沒有看見我現在的樹在頭頂?
[00:02:15.000 --> 00:02:20.000]  你又看見你旁邊的樹在頭頂,我發覺不是,我沒有試過吞下肚子
[00:02:20.000 --> 00:02:29.000]  還是你看見有?試過吞下肚子也好,沒事的,會怎樣?會拉出來
[00:02:29.000 --> 00:02:36.000]  有時也是這樣的,在成長中,你發覺很多時候
[00:02:36.000 --> 00:02:41.000]  從聽別人說一些東西,到親身經歷一些東西
[00:02:42.000 --> 00:02:46.000]  再去思考,所聽回來的經驗是否真實
[00:02:46.000 --> 00:02:52.000]  慢慢我們就會長出智慧去分辨,人也會變得更加成熟
[00:02:52.000 --> 00:02:57.000]  人生也要move on,由一個階段去到另一個階段
[00:02:57.000 --> 00:03:02.000]  你不會永遠逗留一個單單聽別人說,你就會相信的階段
[00:03:02.000 --> 00:03:08.000]  其實信徒的另命成長也一樣,也是階段性的
[00:03:09.000 --> 00:03:13.000]  今天很想透過經文去看信仰有什麼階段
