
[00:00:00.000 --> 00:00:02.940]  各位丁姊妹 主女平安
[00:00:02.940 --> 00:00:10.220]  很高興今天第一次到大家一起敬拜和侍奉
[00:00:10.220 --> 00:00:18.880]  今天是恩福神學院和恩福堂的神學教育主日
[00:00:18.880 --> 00:00:26.320]  開始的時候我們一起有個祈禱
[00:00:26.320 --> 00:00:29.980]  親愛的恩主 我們感謝祢賜給我們有生命有氣息
[00:00:29.980 --> 00:00:34.440]  來到祢的殿中 在我們的屬靈的家裏面
[00:00:34.440 --> 00:00:38.480]  一起敬拜侍奉 我們獻上感恩
[00:00:38.480 --> 00:00:43.040]  又願祢賜給我們有活潑的靈 有健康的生命
[00:00:43.040 --> 00:00:47.160]  以致我們在這個敬拜裏面 高舉祢的名
[00:00:47.160 --> 00:00:50.960]  並且我們從主理聖經的話語當中
[00:00:50.960 --> 00:00:57.960]  給我們心靈上有滋潤 給我們有智慧如何的活出祢的道
[00:00:57.960 --> 00:01:02.320]  榮耀祢 我們將以下的時間 恭敬的交託
[00:01:02.320 --> 00:01:07.400]  我們的禱告 奉主基督耶穌的名 阿們
[00:01:07.400 --> 00:01:11.880]  今天和大家思想的題目是十家孝因
[00:01:11.880 --> 00:01:16.960]  作為一個神學教育主日的崇拜
[00:01:16.960 --> 00:01:22.120]  可能弟兄姊妹都會期望 應該講一些很神學的
[00:01:22.120 --> 00:01:28.920]  深奧的聖經的道理 有沒有這樣的期望 有
[00:01:28.920 --> 00:01:32.920]  不過我和大家分享一下
[00:01:32.920 --> 00:01:41.080]  我在多倫多默會15年98年回來香港 參與神學教育的侍奉
[00:01:41.080 --> 00:01:47.040]  當時我就想 為什麼會有神學院呢?
[00:01:47.040 --> 00:01:52.200]  很明顯 一般都是說裝備弟兄姊妹
[00:01:52.200 --> 00:01:59.160]  蒙主夫朝的將來 是有一個教目的裝備 做傳道人
[00:01:59.160 --> 00:02:03.800]  弟兄姊妹來說 是裝備他們有聖經的知識
[00:02:03.800 --> 00:02:11.840]  懂得如何在不同的侍奉上 有這個認識
[00:02:11.840 --> 00:02:16.840]  以致可以成為教會的信徒領袖
[00:02:16.840 --> 00:02:22.640]  但是我思想一個問題 讓我想起
[00:02:22.640 --> 00:02:28.560]  以前我讀書的時候 讀過一篇文章
[00:02:28.560 --> 00:02:35.440]  是梁啟超先生 他昔日在南京講學的時候
[00:02:35.440 --> 00:02:42.360]  曾經多次被蘇州的一個學府 邀請他去演講
[00:02:42.360 --> 00:02:48.240]  有一次他就去了 他那次去的時候是帶病去的
[00:02:48.240 --> 00:02:53.480]  他去到的時候 他提到 我身體不太舒服
[00:02:53.480 --> 00:02:57.360]  所以今天的演講就不會太長
[00:02:57.360 --> 00:03:00.880]  接著他開始演講 怎麼講呢?
[00:03:00.880 --> 00:03:07.560]  他說 蒙主君 為何要入學校?
[00:03:07.560 --> 00:03:10.440]  不知道大家有沒有記得
[00:03:10.440 --> 00:03:16.240]  接著梁啟超先生就回答 為的是求學問
[00:03:16.240 --> 00:03:23.080]  去學校是求學問 接著梁啟超先生說
[00:03:23.080 --> 00:03:32.240]  沒錯 我們去學校學化學、物理、生物、數學、文學、哲學等等
[00:03:32.240 --> 00:03:35.960]  這些不同的學問 但是問題
[00:03:35.960 --> 00:03:40.560]  就算我們這些學問學得很厲害
[00:03:40.560 --> 00:03:47.240]  但是不懂得做人又如何呢?
[00:03:47.240 --> 00:03:57.400]  接著他就用儒家的三達德 知人勇、知者不惑、人者不憂、勇者不懼
[00:03:57.400 --> 00:04:07.600]  來去詮釋 怎樣去為學 是要為學做人
[00:04:07.600 --> 00:04:14.280]  當我回想這篇文章的時候 我就回想 反思一下
[00:04:14.280 --> 00:04:19.080]  為何要入神學院 為何要教神學呢?
[00:04:19.080 --> 00:04:21.920]  入神學院的目的是甚麼呢?
[00:04:21.920 --> 00:04:27.600]  我知道當中有些弟兄姊妹是神學畢業的
[00:04:27.600 --> 00:04:30.400]  有些正在讀神學的
[00:04:30.400 --> 00:04:36.320]  不知道你有沒有想過 入神學院為的是甚麼呢?
[00:04:36.320 --> 00:04:43.040]  如果重返反思梁啟超先生提到一般同學的回答
[00:04:43.040 --> 00:04:46.200]  可以說一般神學生的回答可能是
[00:04:46.200 --> 00:04:49.640]  甚至我自己教神學的回答可能是
[00:04:49.640 --> 00:04:55.120]  神學生來到學聖經、學神學 學怎樣去侍奉
[00:04:55.120 --> 00:05:01.880]  做神學院老師的是教聖經知識 教弟兄姊妹去侍奉
[00:05:01.880 --> 00:05:08.800]  但是弟兄姊妹神學畢業了 讀完聖經、神學了
[00:05:08.800 --> 00:05:14.800]  不要做人又如何呢?
[00:05:14.800 --> 00:05:17.960]  所以我在神學院 在恩福神學院
[00:05:17.960 --> 00:05:21.960]  很多的同學 特別是全職侍奉的同學
[00:05:21.960 --> 00:05:26.760]  他們都知道事實上是一件事
[00:05:26.760 --> 00:05:36.480]  弟兄姊妹入神學院 為的是學做基督徒
[00:05:36.480 --> 00:05:40.040]  學做合神心意的基督徒
[00:05:40.040 --> 00:05:43.160]  對於全職侍奉有神呼召
[00:05:43.160 --> 00:05:47.720]  將來裝備去做傳道人的目者的
[00:05:47.720 --> 00:05:56.800]  入神學院為的是做一個合神心意的傳道人
[00:05:56.800 --> 00:05:59.600]  不知道大家是否同意
[00:05:59.600 --> 00:06:06.040]  即是我們要曉做人 曉做合神心意的人
[00:06:06.040 --> 00:06:10.200]  很多弟兄姊妹以為我是恩福堂的會友 其實我不是
[00:06:10.200 --> 00:06:12.480]  我只不過是在恩福神學院侍奉
[00:06:12.480 --> 00:06:15.120]  我是北角宣道會的會友
[00:06:15.120 --> 00:06:17.320]  我們有這個男人天空
[00:06:17.320 --> 00:06:19.320]  很多時候我們在男人天空
[00:06:19.320 --> 00:06:27.960]  是特別的強調我們要做一個合神心意的男人
[00:06:27.960 --> 00:06:33.560]  今天我特別的選這段經文 「十家孝因」
[00:06:33.560 --> 00:06:38.080]  相信大家順著一段時間都會很熟悉這段經文
[00:06:38.080 --> 00:06:42.160]  我們一齊讀一讀這段經文
[00:07:03.560 --> 00:07:07.600]  我愛祢的義師 我愛祢的母屬
[00:07:07.600 --> 00:07:12.160]  我愛祢的母親 從此也不可再自拋
[00:07:12.160 --> 00:07:15.000]  從此也不可再拋棄祢
