
[00:00:00.000 --> 00:00:02.720]  (麥美娟) 多謝敬拜隊
[00:00:02.720 --> 00:00:05.520]  今天是猜拳主日
[00:00:05.520 --> 00:00:08.000]  讓我介紹今天的講員
[00:00:08.000 --> 00:00:10.880]  很感恩我們有 Kelvin 和 Rainbow
[00:00:10.880 --> 00:00:14.800]  張凌漢和張周彩虹宣教士夫婦
[00:00:14.800 --> 00:00:19.280]  他們一家在22年到柬埔寨的淺笠
[00:00:19.280 --> 00:00:21.600]  他們擁有特別的背景
[00:00:21.600 --> 00:00:26.880]  幫助他們在柬埔寨和周邊的地區做了一個橋樑
[00:00:26.880 --> 00:00:31.840]  事不遲已 我將時間交給 Kelvin 和 Rainbow
[00:00:31.840 --> 00:00:33.840]  多謝他們
[00:00:33.840 --> 00:00:48.800]  (英文)
[00:00:48.800 --> 00:00:52.480]  大家好 剛才我用了柬埔寨的高棉語
[00:00:52.480 --> 00:00:54.080]  跟大家打招呼
[00:00:54.080 --> 00:00:56.960]  也跟線上的朋友打招呼
[00:00:56.960 --> 00:00:58.400]  Kelvin 剛才問大家
[00:00:58.400 --> 00:01:00.000]  今天喝了咖啡沒有
[00:01:00.000 --> 00:01:02.000]  大家睏了嗎
[00:01:02.000 --> 00:01:04.000]  今天很開心
[00:01:04.000 --> 00:01:06.000]  也很感謝主
[00:01:06.000 --> 00:01:08.000]  也感謝恩福家
[00:01:08.000 --> 00:01:10.000]  讓我和 Kelvin 能夠有機會在這裡
[00:01:10.000 --> 00:01:12.800]  跟大家分享神的話語
[00:01:12.800 --> 00:01:16.160]  和見證主自己的生命
[00:01:16.160 --> 00:01:19.440]  (教授) 不如我們先介紹一下自己
[00:01:19.440 --> 00:01:22.560]  這張照片可以看到我們的家庭
[00:01:22.560 --> 00:01:25.040]  是2021年拍攝的
[00:01:25.040 --> 00:01:30.560]  那時我們和回應神的電話
[00:01:30.560 --> 00:01:33.040]  看到我們最小的小朋友
[00:01:33.040 --> 00:01:35.040]  大概多少歲
[00:01:35.040 --> 00:01:37.040]  (麥美娟) 多少個月
[00:01:37.040 --> 00:01:39.040]  (麥美娟) 有很多媽媽在
[00:01:39.040 --> 00:01:41.040]  (教授) 還有祖母
[00:01:41.040 --> 00:01:43.040]  大概九個月
[00:01:43.040 --> 00:01:45.040]  眨眼的就是2022年
[00:01:45.040 --> 00:01:47.840]  我們出工場的
[00:01:47.840 --> 00:01:49.840]  3月6日
[00:01:49.840 --> 00:01:51.840]  2022年
[00:01:51.840 --> 00:01:55.360]  我記得那時是疫情的高峰期
[00:01:55.360 --> 00:01:57.360]  其實那時我們為何那麼急走
[00:01:57.360 --> 00:01:59.360]  就是3月6日
[00:01:59.360 --> 00:02:03.840]  最後一班機出香港去柬埔寨
[00:02:03.840 --> 00:02:05.840]  還有3月6日也是我太太的生日
[00:02:05.840 --> 00:02:07.840]  (麥美娟) 所以永記難忘的那天
[00:02:07.840 --> 00:02:11.840]  (教授) 眨眼的就是2026年
