
[00:00:00.000 --> 00:00:03.200]  (主持人:好,各位姐妹早安)
[00:00:03.200 --> 00:00:05.400]  (主持人:多謝敬拜隊)
[00:00:05.400 --> 00:00:07.200]  (主持人:我想剛才是一段時間)
[00:00:07.200 --> 00:00:10.000]  (主持人:可以與神有一個關係)
[00:00:10.000 --> 00:00:12.000]  (主持人:可以在忙的時間)
[00:00:12.000 --> 00:00:15.600]  (主持人:大家可能快要送聖誕假)
[00:00:15.600 --> 00:00:19.000]  (主持人:即是你們現在是考試的時候)
[00:00:19.000 --> 00:00:22.200]  (主持人:我想可以安靜在神裡面)
[00:00:22.200 --> 00:00:24.000]  (主持人:去與神呼求神)
[00:00:24.000 --> 00:00:26.400]  (主持人:在這裡有一個休息的時候)
[00:00:26.400 --> 00:00:28.600]  (主持人:我想是一個很好的時候)
[00:00:28.600 --> 00:00:31.400]  (主持人:多謝敬拜隊帶我們一起敬拜)
[00:00:31.400 --> 00:00:34.800]  (主持人:希望你們能夠投入在詩歌裡面)
[00:00:34.800 --> 00:00:37.400]  (主持人:讓我們也有休息的時間)
[00:00:37.400 --> 00:00:39.200]  (主持人:很想這樣發生)
[00:00:39.200 --> 00:00:42.000]  (主持人:進入今天講道的時候)
[00:00:42.000 --> 00:00:43.800]  (主持人:今天講道的題目叫做)
[00:00:43.800 --> 00:00:46.000]  (主持人:「起來重新出發」)
[00:00:46.000 --> 00:00:50.000]  (主持人:經文會在《約翰福音》21章1至19節)
[00:00:50.000 --> 00:00:52.200]  (主持人:首先問大家一個問題)
[00:00:52.200 --> 00:00:53.200]  (主持人:想問問大家)
[00:00:53.200 --> 00:00:56.000]  (主持人:你有沒有做錯事?)
[00:00:56.000 --> 00:00:57.600]  (主持人:做錯事,有沒有試過?)
[00:00:57.600 --> 00:00:58.600]  (主持人:我想問你)
[00:00:58.600 --> 00:01:01.600]  (主持人:做錯事之後你有什麼感受?)
[00:01:01.600 --> 00:01:04.400]  (主持人:你有沒有試過做錯事?)
[00:01:04.400 --> 00:01:07.000]  (主持人:做壞事,做些壞事)
[00:01:07.000 --> 00:01:09.600]  (主持人:或者你之後有什麼感受?)
[00:01:09.600 --> 00:01:11.200]  (主持人:我試過)
[00:01:11.200 --> 00:01:15.400]  (主持人:我回到幾年前)
[00:01:15.400 --> 00:01:17.200]  (主持人:當我中學的時候)
[00:01:17.200 --> 00:01:18.400]  (主持人:其實我中學的時候)
[00:01:18.400 --> 00:01:21.000]  (主持人:試過一次我覺得自己做錯事)
[00:01:21.000 --> 00:01:22.400]  (主持人:做錯事做什麼呢?)
[00:01:22.400 --> 00:01:25.400]  (主持人:我記得中四、中五的時候)
[00:01:25.400 --> 00:01:26.400]  (主持人:我是讀男女校)
[00:01:26.400 --> 00:01:28.000]  (主持人:不過是女生)
[00:01:28.000 --> 00:01:30.800]  (主持人:通常跟朋友都是女生)
[00:01:30.800 --> 00:01:33.600]  (主持人:之前有一班女生)
[00:01:33.600 --> 00:01:36.400]  (主持人:可能有五、六個一起吃飯)
[00:01:36.400 --> 00:01:37.800]  (主持人:有一次有一天)
[00:01:37.800 --> 00:01:41.000]  (主持人:我們可能還小的時候)
[00:01:41.000 --> 00:01:43.400]  (主持人:有時候最喜歡做什麼)
[00:01:43.400 --> 00:01:45.200]  (主持人:就是杯葛別人)
[00:01:45.200 --> 00:01:46.200]  (主持人:突然有一次)
[00:01:46.200 --> 00:01:47.600]  (主持人:不知為何其中我們吃飯)
[00:01:47.600 --> 00:01:50.000]  (主持人:有一個女生不知道做了什麼)
[00:01:50.000 --> 00:01:51.400]  (主持人:而我也忘記了做什麼事)
[00:01:51.400 --> 00:01:52.600]  (主持人:大家不喜歡她了)
[00:01:52.600 --> 00:01:54.600]  (主持人:無端端過一個早上)
[00:01:54.600 --> 00:01:56.000]  (主持人:大家有一個想法)
[00:01:56.000 --> 00:01:58.400]  (主持人:就是不要跟那個人吃飯)
[00:01:58.400 --> 00:02:02.800]  (主持人:之後我們除了那個女生)
[00:02:02.800 --> 00:02:04.400]  (主持人:其他幾個人)
[00:02:04.400 --> 00:02:07.000]  (主持人:就實踐一個計劃)
[00:02:07.000 --> 00:02:10.000]  (主持人:當時是沒有WhatsApp群組)
[00:02:10.000 --> 00:02:11.600]  (主持人:只是早幾年的事)
[00:02:11.600 --> 00:02:13.200]  (主持人:但是沒有WhatsApp群組)
[00:02:13.200 --> 00:02:15.400]  (主持人:如果要杯葛一個人)
[00:02:15.400 --> 00:02:17.000]  (主持人:不跟他吃飯會怎樣)
[00:02:17.000 --> 00:02:19.400]  (主持人:早上小息的時候)
[00:02:19.400 --> 00:02:20.800]  (主持人:會怎樣怎樣)
[00:02:20.800 --> 00:02:22.400]  (主持人:感覺很有趣)
[00:02:22.400 --> 00:02:23.600]  (主持人:自己的感覺很有趣)
[00:02:23.600 --> 00:02:25.000]  (主持人:就是這樣)
