
[00:00:00.000 --> 00:00:03.000]  我們聽到之前有一個禱告
[00:00:03.000 --> 00:00:08.000]  主啊,求祢的聖靈幫助我們心安靜
[00:00:08.000 --> 00:00:11.000]  有一個受教的耳朵去聽祢的話
[00:00:11.000 --> 00:00:13.000]  我們這樣的祈禱
[00:00:13.000 --> 00:00:14.000]  奉主耶穌的名
[00:00:14.000 --> 00:00:15.000]  阿們
[00:00:26.000 --> 00:00:30.000]  大家看到這個屬靈誤用
[00:00:30.000 --> 00:00:33.000]  不知道你們知不知道說什麼
[00:00:33.000 --> 00:00:36.000]  曾經有一套戲
[00:00:36.000 --> 00:00:38.000]  這套戲叫初戀的回憶
[00:00:38.000 --> 00:00:40.000]  A Walk to Remember
[00:00:40.000 --> 00:00:41.000]  這套電影裡面
[00:00:41.000 --> 00:00:44.000]  是說一個很年輕很愛主的女孩
[00:00:44.000 --> 00:00:47.000]  她對信仰裡面是很認真追求的
[00:00:47.000 --> 00:00:50.000]  但是當她面對拍拖的時候
[00:00:50.000 --> 00:00:52.000]  她就出現了一些掙扎
[00:00:52.000 --> 00:00:54.000]  其中一幕裡面
[00:00:54.000 --> 00:00:59.000]  這個女孩就跟她做牧師的爸爸在爭論
[00:00:59.000 --> 00:01:00.000]  就是說
[00:01:00.000 --> 00:01:04.000]  可不可以跟非基督徒裡面去拍拖呢
[00:01:04.000 --> 00:01:06.000]  你們說呢
[00:01:06.000 --> 00:01:09.000]  信徒可不可以跟非信徒裡面去拍拖
[00:01:09.000 --> 00:01:12.000]  是不是合乎聖經呢
[00:01:12.000 --> 00:01:16.000]  你又怎麼去回應這個女孩呢
[00:01:16.000 --> 00:01:17.000]  她爸爸就這麼說
[00:01:17.000 --> 00:01:19.000]  他說女兒啊
[00:01:19.000 --> 00:01:23.000]  你可以不在乎爸爸怎麼去想和去想
[00:01:23.000 --> 00:01:28.000]  但是你應該也很在乎神怎麼去看
[00:01:28.000 --> 00:01:31.000]  但是那個女孩就很快的回答
[00:01:31.000 --> 00:01:34.000]  我認為神希望我幸福
[00:01:34.000 --> 00:01:37.000]  這個討論就到這裡為止
[00:01:37.000 --> 00:01:39.000]  就是什麼呢
[00:01:39.000 --> 00:01:41.000]  我想神是怎麼樣
[00:01:41.000 --> 00:01:45.000]  神就是要成怎麼樣
[00:01:45.000 --> 00:01:47.000]  所以如果當基督徒說
[00:01:47.000 --> 00:01:49.000]  神希望我開心快樂
[00:01:49.000 --> 00:01:52.000]  神希望我做回自己
[00:01:52.000 --> 00:01:55.000]  神明白我的等等的話
[00:01:55.000 --> 00:01:58.000]  聽起來好像很熟悉
[00:01:58.000 --> 00:02:00.000]  好像沒有什麼問題
[00:02:00.000 --> 00:02:01.000]  是不是
[00:02:01.000 --> 00:02:04.000]  但是我們細心留意一下
[00:02:04.000 --> 00:02:07.000]  究竟哪一個是主角
[00:02:07.000 --> 00:02:10.000]  是人還是神呢
[00:02:10.000 --> 00:02:12.000]  如果我們只是用這些話
[00:02:12.000 --> 00:02:16.000]  去包裝我們自己內心的動機
[00:02:16.000 --> 00:02:18.000]  用來做出決定對自己
[00:02:18.000 --> 00:02:22.000]  是不是聽神的話和神的教導
[00:02:22.000 --> 00:02:24.000]  我們要小心
[00:02:24.000 --> 00:02:26.000]  究竟我們會不會產生了一種
[00:02:26.000 --> 00:02:28.000]  屬靈上的那個熟悉
[00:02:28.000 --> 00:02:32.000]  那個藉口和去用了呢
[00:02:32.000 --> 00:02:35.000]  甚至我們利用了神對我們的愛
[00:02:35.000 --> 00:02:38.000]  和神對我們的恩典
[00:02:38.000 --> 00:02:42.000]  我們就會不斷的跟自己說
[00:02:42.000 --> 00:02:46.000]  我認為神會容許我這樣做
[00:02:46.000 --> 00:02:48.000]  我認為神會明白我的
[00:02:48.000 --> 00:02:51.000]  你知道神會知道我的
[00:02:51.000 --> 00:02:52.000]  然後我們就怎麼樣
[00:02:52.000 --> 00:02:56.000]  很放膽任意而行
[00:02:56.000 --> 00:02:59.000]  神當然希望我們幸福快樂
[00:02:59.000 --> 00:03:02.000]  當然神希望我們能夠做回自己
[00:03:02.000 --> 00:03:06.000]  但是神不會以世界的價值觀裡面
[00:03:06.000 --> 00:03:08.000]  去放縱我們
[00:03:08.000 --> 00:03:10.000]  讓我們任意妄為
[00:03:10.000 --> 00:03:15.000]  神有祂自己的心意和祂的旨意
[00:03:15.000 --> 00:03:18.000]  讓我們透過聖經去學習
[00:03:18.000 --> 00:03:20.000]  和提醒我們
