
[00:00:00.000 --> 00:00:05.000]  我們正式講道之前,我們一起有個禱告。
[00:00:05.000 --> 00:00:09.000]  天父上帝,我們感謝祢,感謝祢今日讓我們回來,
[00:00:09.000 --> 00:00:13.000]  我們仍有生命的氣息,一切都是祢賜給我們,
[00:00:13.000 --> 00:00:17.000]  讓我們都擺上我們最大的心靈,
[00:00:17.000 --> 00:00:21.000]  我們整個人的生命,向祢獻上敬拜,
[00:00:21.000 --> 00:00:24.000]  願祢得著祢當得的榮耀,
[00:00:24.000 --> 00:00:27.000]  接下來我們一起學習祢寶貴的說話,
[00:00:27.000 --> 00:00:33.000]  求祢與我們同在,塗灶我們,奉耶穌基督,聖命祈求,阿門。
[00:00:33.000 --> 00:00:38.000]  好了,弟兄姊妹,我記得之前在講道的時候,
[00:00:38.000 --> 00:00:42.000]  曾經都披露過我年輕的時候很喜歡看武俠小說的,
[00:00:42.000 --> 00:00:45.000]  我不知道在座當中有沒有曾經很喜歡,
[00:00:45.000 --> 00:00:47.000]  或者這一刻都還是很喜歡看武俠小說的,
[00:00:47.000 --> 00:00:50.000]  有的,我想請你舉一舉你的手,
[00:00:50.000 --> 00:00:54.000]  也不少,也不是孤單的,
[00:00:54.000 --> 00:00:58.000]  我記得年少的時候為什麼喜歡看武俠小說呢?
[00:00:58.000 --> 00:01:01.000]  因為武俠小說裡面總有一個套路,
[00:01:01.000 --> 00:01:04.000]  那套路是那些主角通常都歷盡艱辛,
[00:01:04.000 --> 00:01:08.000]  在云云的逼迫當中殺出一條血路,
[00:01:08.000 --> 00:01:13.000]  往往都會屢遇一些奇遇,遇到一些好的名師,
[00:01:13.000 --> 00:01:18.000]  最後都歷盡艱辛成為一代宗師,
[00:01:18.000 --> 00:01:22.000]  某程度上我小時候看的時候都將自己墮入,
[00:01:22.000 --> 00:01:25.000]  都希望在云云競爭裡面,
[00:01:25.000 --> 00:01:30.000]  或者在一些不好的際遇當中都能夠殺出一條血路,
[00:01:30.000 --> 00:01:33.000]  都能夠遇到一些好的良師,
[00:01:33.000 --> 00:01:36.000]  我記得小時候我不是很喜歡,
[00:01:36.000 --> 00:01:37.000]  雖然我看過兩三次,
[00:01:37.000 --> 00:01:40.000]  但我其實不是很喜歡射雕英雄傳,
[00:01:40.000 --> 00:01:43.000]  因為我覺得郭靖王庸的人生比較平順,
[00:01:43.000 --> 00:01:46.000]  說得俗一點好像自動升級,
[00:01:46.000 --> 00:01:49.000]  相反我很喜歡少奧江湖,
[00:01:49.000 --> 00:01:53.000]  因為裡面建構了一個正邪難辨的江湖,
