
[00:00:00.000 --> 00:00:03.840]  因為我的講題是「打開神所賜的禮物」
[00:00:03.840 --> 00:00:05.800]  頂姐妹想問你一個問題
[00:00:05.800 --> 00:00:10.240]  就是你曾經有否想過這個問題
[00:00:10.240 --> 00:00:11.120]  就是這個
[00:00:11.120 --> 00:00:12.960]  我有甚麼恩賜
[00:00:12.960 --> 00:00:14.920]  不是我,是你問我
[00:00:14.920 --> 00:00:16.000]  你問你自己
[00:00:16.000 --> 00:00:19.720]  我有沒有…下一個節奏,麻煩你
[00:00:19.720 --> 00:00:23.040]  你心中有否問過自己這個問題
[00:00:23.040 --> 00:00:24.880]  我有甚麼恩賜
[00:00:24.880 --> 00:00:28.320]  或者你會否問甚麼…
[00:00:28.400 --> 00:00:33.560]  例如你唱歌、彈結他、彈琴
[00:00:33.560 --> 00:00:35.640]  那些是我的恩賜嗎
[00:00:35.640 --> 00:00:39.000]  或者你有沒有被問過一些問題
[00:00:39.000 --> 00:00:40.480]  有時導師也會問你
[00:00:40.480 --> 00:00:43.120]  你有甚麼恩賜?你覺得自己…
[00:00:43.120 --> 00:00:45.040]  有問過這些問題嗎
[00:00:45.040 --> 00:00:47.920]  其實這是很多基督徒都會問的問題
[00:00:47.920 --> 00:00:50.800]  我認為這也是一個相當好的問題
[00:00:50.800 --> 00:00:53.440]  為甚麼?因為通常你問這個問題時
[00:00:53.440 --> 00:00:56.040]  都是你要考慮去服侍時
[00:00:56.120 --> 00:00:58.440]  你會問「是我的恩賜嗎」
[00:00:58.440 --> 00:01:01.040]  又或者因為我們要知道
[00:01:01.040 --> 00:01:02.720]  自己有甚麼恩賜
[00:01:02.720 --> 00:01:05.800]  才可以好好地使用
[00:01:05.800 --> 00:01:09.000]  今天很想跟你一起探討這個問題
[00:01:09.000 --> 00:01:13.720]  如何知道自己的恩賜是甚麼
[00:01:13.720 --> 00:01:16.800]  不過如果我們要找出這個問題的答案
[00:01:16.800 --> 00:01:19.840]  我們必須要問你一個更重要的問題
[00:01:19.840 --> 00:01:23.600]  那是甚麼?到底甚麼是恩賜
[00:01:23.680 --> 00:01:27.880]  才能更準確地找出屬於自己的恩賜
[00:01:27.880 --> 00:01:30.040]  今天跟你一起在聖經裡
[00:01:30.040 --> 00:01:32.520]  砌一個很熟悉的聖經故事
[00:01:32.520 --> 00:01:35.360]  就是神呼召摩西大令
[00:01:35.360 --> 00:01:38.440]  使人出埃及的故事裡找答案
[00:01:38.440 --> 00:01:40.160]  我今天會分兩點去看
[00:01:40.160 --> 00:01:42.520]  第一點是恩賜是禮物,不是才華
[00:01:42.520 --> 00:01:45.600]  第二點是恩賜要使用,不要收藏
[00:01:45.600 --> 00:01:47.680]  經文挺長的
[00:01:47.680 --> 00:01:51.880]  從三章一節到第七章…
[00:01:51.960 --> 00:01:55.480]  說到明早,四章17節而已
[00:01:55.480 --> 00:01:59.120]  由於選節很長
[00:01:59.120 --> 00:02:00.560]  所以待會讀的時候
[00:02:00.560 --> 00:02:04.480]  可能在拍檔裡的節數會減少一點
[00:02:04.480 --> 00:02:05.880]  有些是省略了
[00:02:05.880 --> 00:02:08.120]  如果大家想知道整個故事
[00:02:08.120 --> 00:02:10.240]  可以一起打開聖經去看
[00:02:10.240 --> 00:02:13.120]  第一點是恩賜
[00:02:13.120 --> 00:02:15.600]  恩賜是禮物,不是才華
[00:02:15.600 --> 00:02:18.480]  經文在《出埃及記》三章一至十節
[00:02:18.480 --> 00:02:21.720]  讓我們先讀這段聖經
[00:02:21.800 --> 00:02:23.320]  我們準備,1、2、3
[00:02:23.840 --> 00:02:27.560]  (茗西放木他,惡狐米癲濟斯)
[00:02:27.560 --> 00:02:29.680]  (葉德羅的羊群)
