
[00:00:00.000 --> 00:00:02.200]  歡迎大家回來
[00:00:02.200 --> 00:00:06.000]  今天在樓下有一位弟兄跟我說
[00:00:06.000 --> 00:00:07.320]  邀請了新朋友來
[00:00:07.320 --> 00:00:08.400]  所以我也介紹一下自己
[00:00:08.400 --> 00:00:09.800]  我是Edith傳道
[00:00:09.800 --> 00:00:12.320]  Watchman傳道就是我的先生
[00:00:12.320 --> 00:00:14.320]  所以他今天在前面坐
[00:00:14.320 --> 00:00:17.400]  第一次說到他在前面坐
[00:00:17.400 --> 00:00:22.520]  我們首先在聽到之前禱告
[00:00:22.520 --> 00:00:26.800]  主耶穌多謝祢讓我們享受
[00:00:26.800 --> 00:00:29.600]  剛才在敬拜裡面跟你相遇
[00:00:30.200 --> 00:00:33.200]  願意我們剛才在敬拜裡面
[00:00:33.200 --> 00:00:35.000]  我們唱的
[00:00:35.000 --> 00:00:36.400]  我們彈的
[00:00:36.400 --> 00:00:39.000]  我們內心對你的渴慕
[00:00:39.000 --> 00:00:40.200]  我們看到的圖畫
[00:00:40.200 --> 00:00:42.200]  我們繼續去傳流
[00:00:42.200 --> 00:00:44.200]  求祢的靈去幫助我們
[00:00:44.200 --> 00:00:46.000]  求聖靈去充滿我們
[00:00:46.000 --> 00:00:50.000]  讓我們在一會兒聽你的話語的時候
[00:00:50.000 --> 00:00:51.000]  去感受到你
[00:00:51.000 --> 00:00:52.000]  經歷到你
[00:00:52.000 --> 00:00:54.400]  可以無論是我們的人
[00:00:54.400 --> 00:00:55.400]  我們的身心靈
[00:00:55.400 --> 00:00:59.000]  都能夠去渴慕與你相遇
[00:00:59.000 --> 00:01:01.000]  願意你的靈在我們當中
[00:01:01.000 --> 00:01:02.000]  開放我們的心
[00:01:02.000 --> 00:01:03.400]  開放我們的心竅
[00:01:03.400 --> 00:01:06.400]  讓我們縱使是看一段
[00:01:06.400 --> 00:01:08.400]  可能都熟悉的經文的時候
[00:01:08.400 --> 00:01:10.400]  都幫助我們進入
[00:01:10.400 --> 00:01:15.000]  幫助我們去體會主耶穌的心腸
[00:01:15.000 --> 00:01:16.000]  我們這樣禱告
[00:01:16.000 --> 00:01:17.400]  是奉主耶穌的名字
[00:01:17.400 --> 00:01:18.400]  以及阿們
[00:01:18.400 --> 00:01:23.600]  今天我很想跟大家分享
[00:01:23.600 --> 00:01:27.000]  繼續成為基督徵兵的系列
[00:01:27.000 --> 00:01:33.000]  叫做《刻意培育與神相遇的屬天生命》
[00:01:33.000 --> 00:01:36.000]  讓我移一下位置
[00:01:36.000 --> 00:01:42.600]  還有我也戴了一個對著的鐘
[00:01:42.600 --> 00:01:43.600]  是的
[00:01:43.600 --> 00:01:48.600]  《刻意培育與神相遇的生命》
[00:01:48.600 --> 00:01:50.600]  預備講章的時候我感冒
[00:01:50.600 --> 00:01:52.200]  所以今天聲音有點怪
[00:01:52.200 --> 00:01:53.600]  所以很感恩
[00:01:53.600 --> 00:01:55.200]  剛才唸完一次
[00:01:55.200 --> 00:01:57.800]  好像有聲音
[00:01:57.800 --> 00:01:59.800]  但當中可能有咳嗽
[00:01:59.800 --> 00:02:01.800]  大家就不好意思
[00:02:01.800 --> 00:02:04.200]  剛才我記得唱詩的時候
[00:02:04.200 --> 00:02:05.400]  有一句叫做
[00:02:05.400 --> 00:02:06.800]  Emmanuel
[00:02:06.800 --> 00:02:08.800]  神同在的意思
[00:02:08.800 --> 00:02:11.600]  大家有沒有聽過這句話?
[00:02:11.600 --> 00:02:12.800]  有舉手的好嗎?
[00:02:12.800 --> 00:02:13.800]  有的
[00:02:13.800 --> 00:02:14.400]  OK的
[00:02:14.400 --> 00:02:16.400]  話說我介紹了自己
[00:02:16.400 --> 00:02:19.400]  我和先生在美國讀神學
[00:02:19.400 --> 00:02:21.400]  最後畢業那年
[00:02:21.400 --> 00:02:23.800]  第一課有Emma
[00:02:23.800 --> 00:02:25.200]  Emma的意思是
[00:02:25.200 --> 00:02:26.800]  我女兒兩歲
[00:02:26.800 --> 00:02:28.000]  就是Emmanuel
