
[00:00:00.000 --> 00:00:06.000]  上年年底,烈火吞噬一棟棟大廈,
[00:00:06.000 --> 00:00:11.000]  黃福苑的居民急不及待尋找失聯的家人。
[00:00:11.000 --> 00:00:16.000]  今年二月底,導彈劃過中東的上空,
[00:00:16.000 --> 00:00:23.000]  到現在,數百萬的難民急不及待尋找安身之所。
[00:00:23.000 --> 00:00:27.000]  你尋找什麼?
[00:00:27.000 --> 00:00:33.000]  在古今中外的歷史長河裡,這個問題不斷迴響。
[00:00:33.000 --> 00:00:37.000]  你尋找什麼?
[00:00:37.000 --> 00:00:41.000]  今天,你尋見嗎?
[00:00:41.000 --> 00:00:48.000]  尋見之後,你有什麼行動,對你的生命帶來什麼深遠的影響呢?
[00:00:48.000 --> 00:00:56.000]  在二千多年前,第一批主耶穌的門徒,他們又尋找什麼呢?
[00:00:56.000 --> 00:01:03.000]  尋見之後,他們有什麼行動,對他們的生命又帶來什麼深遠的影響呢?
[00:01:03.000 --> 00:01:10.000]  讓我們一起穿越時空,回到二千多年前,走進巴勒斯坦地區。
[00:01:10.000 --> 00:01:15.000]  約翰福音一章三十五到三十九節,
[00:01:15.000 --> 00:01:22.000]  旁白黑色的字由我來讀,約翰兩個門徒所說的話紅色的字,
[00:01:22.000 --> 00:01:28.000]  我想姐妹們一起朗讀,藍色的字,耶穌說的話,誰來讀?
[00:01:28.000 --> 00:01:34.000]  是的,弟兄,那我們來吧,一二三,由我開始。
[00:01:34.000 --> 00:01:39.000]  又過了一天,約翰和兩個門徒站在那裡,
[00:01:39.000 --> 00:01:45.000]  他見耶穌走過,就說:「我愛你」。
[00:01:45.000 --> 00:01:50.000]  兩個門徒聽見他的話,就跟從了耶穌。
[00:01:50.000 --> 00:01:58.000]  耶穌轉過身來,看見他們跟著,就問他們說:「你愛什麼?」
[00:01:58.000 --> 00:02:03.000]  他們對他說:「我愛你,你在哪裡住?」
[00:02:03.000 --> 00:02:06.000]  拉比翻出來就是老師。
