
[00:00:00.000 --> 00:00:02.000]  我們開心的時候一起祈禱
[00:00:02.000 --> 00:00:05.800]  七位主我們感謝祢
[00:00:05.800 --> 00:00:07.400]  我相信今天
[00:00:07.400 --> 00:00:09.400]  剛才詩歌說到
[00:00:09.400 --> 00:00:11.700]  萬國萬邦敬拜祢
[00:00:11.700 --> 00:00:14.900]  今天從滿日線開始日出的地方
[00:00:14.900 --> 00:00:16.800]  到今天日落的地方
[00:00:16.800 --> 00:00:18.300]  眾教會一起
[00:00:18.300 --> 00:00:20.000]  勾歌頌讚祢
[00:00:20.000 --> 00:00:21.600]  主我們感謝
[00:00:21.600 --> 00:00:23.500]  祢給我們這個契機
[00:00:23.500 --> 00:00:25.500]  能夠彼此敬拜
[00:00:25.500 --> 00:00:28.400]  以致一起同心敬拜我們的主
[00:00:29.000 --> 00:00:32.000]  求主祢也祝福我們這個時間
[00:00:32.000 --> 00:00:33.900]  願主祢自己親自保守
[00:00:33.900 --> 00:00:35.300]  我們恩福堂的敬拜
[00:00:35.300 --> 00:00:37.500]  也招點對準是上帝祢自己
[00:00:37.500 --> 00:00:39.900]  給上帝祢自己得著應得的榮耀
[00:00:39.900 --> 00:00:41.700]  我們祈禱奉耶穌基督的名
[00:00:41.700 --> 00:00:47.300]  保羅在臨終之前對徒弟提摩太說
[00:00:47.300 --> 00:00:49.800]  無論得時不得時無要全度
[00:00:49.800 --> 00:00:53.000]  這段經文令我想起
[00:00:53.000 --> 00:00:55.500]  一本很著名的小說
[00:00:55.500 --> 00:00:57.500]  小時候很辛苦看完的小說
[00:00:57.500 --> 00:01:00.500]  就是查理·狄更斯的《雙城記》
[00:01:00.500 --> 00:01:04.300]  在這本小說的起手的時候
[00:01:04.300 --> 00:01:09.100]  他當時正值法國大革命
[00:01:09.100 --> 00:01:11.700]  在巴黎掀起了很大的浪潮
[00:01:11.700 --> 00:01:14.700]  狄更斯在這本小說一開始就說
[00:01:14.700 --> 00:01:16.300]  這是最好的時代
[00:01:16.300 --> 00:01:18.500]  也是最壞的時代
[00:01:18.500 --> 00:01:21.000]  為什麼他這樣說呢
[00:01:21.000 --> 00:01:23.100]  因為書裡面描寫著
[00:01:23.100 --> 00:01:26.000]  革命者藉著革命
[00:01:26.700 --> 00:01:29.500]  推翻了一代的王朝
[00:01:29.500 --> 00:01:33.000]  但是革命者同時在最光明的時代
[00:01:33.000 --> 00:01:35.400]  藉著革命和復仇的名義
[00:01:35.400 --> 00:01:37.300]  帶來了歐洲歷史裡面
[00:01:37.300 --> 00:01:40.000]  最殘酷的政治迫害和屠殺
[00:01:40.000 --> 00:01:42.300]  這本書是英文書
[00:01:42.300 --> 00:01:44.500]  也是當時他對英國人說的
[00:01:44.500 --> 00:01:47.200]  他說在英倫海峽對岸
[00:01:47.200 --> 00:01:48.800]  所發生可怕的事情
[00:01:48.800 --> 00:01:50.800]  發生在巴黎
[00:01:50.800 --> 00:01:53.500]  同樣有一天會席捲倫敦
[00:01:53.500 --> 00:01:56.400]  同樣可以發生在倫敦
[00:01:57.400 --> 00:01:58.500]  可怕的迫害
[00:01:58.500 --> 00:02:00.300]  可以在倫敦發生
[00:02:00.300 --> 00:02:03.800]  很多時候
[00:02:03.800 --> 00:02:06.200]  我們很多的香港人都活在雙城記
[00:02:06.200 --> 00:02:09.700]  我們雙城記不再是巴黎和倫敦
[00:02:09.700 --> 00:02:11.200]  不過是香港和倫敦
[00:02:11.200 --> 00:02:13.600]  可能很多的來往
[00:02:13.600 --> 00:02:15.100]  很多的籌算
[00:02:15.100 --> 00:02:17.300]  所以我們問今天
[00:02:17.300 --> 00:02:20.300]  到底是得時還是不得時呢
[00:02:20.300 --> 00:02:22.900]  是不是傳道最好的時機
[00:02:22.900 --> 00:02:26.000]  抑或是解散教會最壞的契機呢
[00:02:26.700 --> 00:02:28.600]  兩者我都經常聽到
[00:02:28.600 --> 00:02:30.900]  對時勢的演繹
[00:02:30.900 --> 00:02:33.300]  所以我很想用哈蓋書
[00:02:33.300 --> 00:02:35.500]  作一個回應
[00:02:35.500 --> 00:02:39.900]  哈蓋書是成書在波斯的年代
[00:02:39.900 --> 00:02:42.400]  波斯這個年代
[00:02:42.400 --> 00:02:45.300]  是我覺得聖經一個最吸引我的年代
[00:02:45.300 --> 00:02:47.200]  聖經裡面很多的經卷
[00:02:47.200 --> 00:02:49.000]  都是成書在波斯的年代
[00:02:49.000 --> 00:02:50.800]  包括大家熟悉的但爾利書
[00:02:50.800 --> 00:02:52.000]  歷代志
[00:02:52.000 --> 00:02:53.300]  以斯拉記
[00:02:53.300 --> 00:02:54.500]  以斯帖記
[00:02:54.800 --> 00:02:56.000]  以斯帖記
[00:02:56.000 --> 00:02:57.000]  尼希米記
[00:02:57.000 --> 00:02:58.700]  今天的哈蓋書
[00:02:58.700 --> 00:03:00.200]  和撒加利亞書
[00:03:00.200 --> 00:03:03.300]  為什麼這麼多的書卷成書在波斯年代呢
[00:03:03.300 --> 00:03:05.000]  因為波斯年代是神子民
[00:03:05.000 --> 00:03:06.500]  就像詩歌所唱
[00:03:06.500 --> 00:03:08.300]  黑夜都有多長
[00:03:08.300 --> 00:03:10.100]  最漫長的黑暗歲月
[00:03:10.100 --> 00:03:11.600]  每一段的時光
[00:03:11.600 --> 00:03:14.500]  你都可以說是神的子民最差的時光
[00:03:14.500 --> 00:03:16.700]  以斯帖
[00:03:16.700 --> 00:03:18.400]  在最差的時間
[00:03:18.400 --> 00:03:20.600]  進入去參見皇帝
[00:03:20.600 --> 00:03:23.200]  但爾利在最差的時間
[00:03:23.200 --> 00:03:24.600]  獅子坑已經預備好
[00:03:24.600 --> 00:03:27.400]  之後繼續一日三次
[00:03:27.400 --> 00:03:29.000]  向耶路撒冷禱告
[00:03:29.000 --> 00:03:31.000]  每一段的時光
[00:03:31.000 --> 00:03:32.500]  都是一段又一段
[00:03:32.500 --> 00:03:34.800]  可以奪去人性命的黑暗時光
[00:03:34.800 --> 00:03:37.900]  但亦都是每一段每一段這些黑暗的時光
[00:03:37.900 --> 00:03:39.200]  信徒
[00:03:39.200 --> 00:03:40.100]  或者神的子民
[00:03:40.100 --> 00:03:42.500]  會出了信仰最光明的時光
[00:03:42.500 --> 00:03:45.900]  所以我們一起讀哈蓋書第一章
[00:03:45.900 --> 00:03:48.400]  我們看到經文的時候
[00:03:48.400 --> 00:03:49.400]  我們一起讀出來好嗎
[00:03:49.400 --> 00:03:50.000]  我們一起讀
[00:03:50.000 --> 00:03:51.200]  一二三
[00:03:51.600 --> 00:03:54.700]  大樓是皇第二年六月初一
[00:03:54.700 --> 00:03:56.300]  耶和華的話
[00:03:56.300 --> 00:04:00.100]  直哈蓋先知向撒拉鐵的兒子
[00:04:00.100 --> 00:04:02.700]  猶大省長所羅巴伯
[00:04:02.700 --> 00:04:04.800]  和約撒達的兒子
[00:04:04.800 --> 00:04:07.700]  約書亞大祭司傳講說
[00:04:07.700 --> 00:04:10.600]  萬君知耶和華如此說
[00:04:10.600 --> 00:04:12.100]  這百姓說
[00:04:12.100 --> 00:04:14.900]  見到耶和華殿的時候
[00:04:14.900 --> 00:04:16.000]  還沒有到
[00:04:16.000 --> 00:04:17.600]  耶和華的話
