
[00:00:00.000 --> 00:00:05.440]  陣風牧師帶領我們一起跟天上的爸爸去問候
[00:00:05.440 --> 00:00:06.840]  我覺得很感恩
[00:00:06.840 --> 00:00:10.040]  因為我到現在還沒有收到兒子對我的問候
[00:00:10.040 --> 00:00:12.040]  (笑)
[00:00:12.040 --> 00:00:16.040]  我們學習了一件很美好的事情
[00:00:16.040 --> 00:00:18.200]  我們能夠感激
[00:00:18.200 --> 00:00:20.240]  有多少個還沒有收到兒子問候的?
[00:00:20.240 --> 00:00:23.680]  也有吧?我們都是同坐一條船
[00:00:23.680 --> 00:00:24.840]  (笑)
[00:00:24.840 --> 00:00:31.800]  在這個時候能夠跟大家分享聖經是非常開心的
[00:00:31.800 --> 00:00:34.880]  我今天想分享的經文是《肥理門書》
[00:00:34.880 --> 00:00:38.040]  我跟大家一起讀出今天的經文
[00:00:38.040 --> 00:00:39.040]  我們一起讀出來
[00:00:39.040 --> 00:00:40.160]  是一卷的書信
[00:00:40.160 --> 00:00:42.920]  《肥理門書》如果大家看電子聖經看得久
[00:00:42.920 --> 00:00:44.960]  你可能不會知道它在哪裡
[00:00:44.960 --> 00:00:48.520]  它就在提多書的後面
[00:00:48.520 --> 00:00:50.040]  是寶萊書信的其中一卷
[00:00:50.040 --> 00:00:51.640]  我們在頭影片上也有
[00:00:51.640 --> 00:00:53.240]  我們一起讀出來好嗎?
[00:00:53.240 --> 00:00:55.240]  好,1,2,3
[00:00:55.240 --> 00:01:00.240]  基督耶穌被囚的保羅和弟兄提摩泰
[00:01:00.240 --> 00:01:05.240]  寫信給我們所親愛的同宮肥理門
[00:01:05.240 --> 00:01:10.240]  亞肥亞姐妹和我們的戰友亞基布
[00:01:10.240 --> 00:01:13.240]  以及在你家裡的教會
[00:01:13.240 --> 00:01:21.240]  願因為平安從我們的父神和主耶穌基督歸給你們
[00:01:21.240 --> 00:01:24.240]  我在禱告中紀念你的時候
[00:01:24.240 --> 00:01:27.240]  常為你感謝我的神
[00:01:27.240 --> 00:01:31.240]  因聽說你對眾聖徒的愛心
[00:01:31.240 --> 00:01:34.240]  和你對主耶穌的信心
[00:01:34.240 --> 00:01:38.240]  願你與人分享信心的時候
[00:01:38.240 --> 00:01:40.240]  能產生功效
[00:01:40.240 --> 00:01:45.240]  讓人知道我們所行的各樣善事
[00:01:45.240 --> 00:01:48.240]  都是為基督做的
