
[00:00:00.000 --> 00:00:03.400]  多謝敬拜隊帶領我們今早的敬拜
[00:00:03.400 --> 00:00:05.800]  讓我們進入訊息之前
[00:00:05.800 --> 00:00:09.200]  先在詩歌裏面領受從神而來的訊息
[00:00:09.200 --> 00:00:12.600]  確實詩歌裏面都帶著很多很豐富的訊息
[00:00:12.600 --> 00:00:16.000]  讓我們去思想我們與主的關係
[00:00:16.000 --> 00:00:17.800]  讓我們在講道之先
[00:00:17.800 --> 00:00:19.400]  我們先一同禱告
[00:00:19.400 --> 00:00:23.200]  慈悲恩愛天父
[00:00:23.200 --> 00:00:24.600]  我們讚美祢
[00:00:24.600 --> 00:00:28.200]  因為祢是配得我們讚美祢
[00:00:28.200 --> 00:00:30.000]  那位至尊的上帝
[00:00:30.000 --> 00:00:31.800]  神啊 多謝祢
[00:00:31.800 --> 00:00:36.000]  讓我們能夠藉著耶穌基督的拯救
[00:00:36.000 --> 00:00:40.000]  今天我們每一位都是祢夢外的兒女
[00:00:40.000 --> 00:00:42.200]  主啊 當我們去回想
[00:00:42.200 --> 00:00:44.200]  我們有這一份新的身份
[00:00:44.200 --> 00:00:46.200]  是因著主的拯救
[00:00:46.200 --> 00:00:48.200]  以至到讓我們能夠得著
[00:00:48.200 --> 00:00:51.600]  從祢而來這一份寶貴的身份的時候
[00:00:51.600 --> 00:00:54.400]  讓我們時刻去謹記
[00:00:54.400 --> 00:00:59.000]  這一個身份所帶來的照明
[00:00:59.000 --> 00:01:03.000]  讓我們能夠每天都回到主基督的裏面
[00:01:03.000 --> 00:01:05.200]  去回想耶穌基督
[00:01:05.200 --> 00:01:07.800]  祢為我們成就的救恩
[00:01:07.800 --> 00:01:10.600]  並且在聖經裏面所教導
[00:01:10.600 --> 00:01:13.600]  讓我們能夠上上歸回在祢的裏面
[00:01:13.600 --> 00:01:17.600]  讓我們的生命能夠被祢去更新改變
[00:01:17.600 --> 00:01:19.800]  讓今天聖靈在當中
[00:01:19.800 --> 00:01:22.200]  運行在我們會眾的當中
[00:01:22.200 --> 00:01:26.000]  願會眾和孩子不見一人
[00:01:26.000 --> 00:01:27.400]  只見耶穌
[00:01:27.400 --> 00:01:30.000]  讓我們能夠在祢的話語裏面
[00:01:30.000 --> 00:01:32.600]  去見到上帝祢自己的力量
[00:01:32.600 --> 00:01:34.200]  祢自己的教導
[00:01:34.200 --> 00:01:35.600]  我們今晚禱告交託
[00:01:35.600 --> 00:01:38.400]  奉主耶穌 得聖命致耳而求
[00:01:38.400 --> 00:01:39.800]  阿門
[00:01:39.800 --> 00:01:43.600]  好 當我去思想
[00:01:43.600 --> 00:01:45.400]  回到信仰原點的時候
[00:01:45.400 --> 00:01:49.800]  我去回想我自己過去的工作經驗的時候
[00:01:49.800 --> 00:01:57.400]  我就發現其實恩福是我唯一一份做得最久的服事
[00:01:57.400 --> 00:01:59.200]  在未入恩福之前
[00:01:59.200 --> 00:02:02.800]  我每一份工作大約是維持兩年三年
[00:02:02.800 --> 00:02:05.600]  最長好像都是兩年到三年
[00:02:05.600 --> 00:02:08.200]  每一份工作都是很短的時間
[00:02:08.200 --> 00:02:09.600]  如果大家認識我
[00:02:09.600 --> 00:02:12.800]  都知道我過去本來本身是一個護士
[00:02:12.800 --> 00:02:14.600]  其實當我護士畢業之後
[00:02:14.600 --> 00:02:16.600]  其實我在尋索
[00:02:16.600 --> 00:02:20.600]  究竟我是否終身以護士作為我的終身職業
[00:02:20.600 --> 00:02:24.800]  但我發覺好像有些事情都不是我很想做
[00:02:24.800 --> 00:02:27.600]  於是乎在我畢業一段時間之後
[00:02:27.600 --> 00:02:29.800]  我毅然請辭
[00:02:29.800 --> 00:02:33.200]  離開了護士這個行業
[00:02:33.200 --> 00:02:36.200]  我去了教了半年幼稚園
[00:02:36.200 --> 00:02:38.800]  因為當我中學畢業的時候
[00:02:38.800 --> 00:02:40.200]  其實我有兩個選擇
[00:02:40.200 --> 00:02:42.600]  就是要麼我就去報幼兒工作
[00:02:42.600 --> 00:02:44.600]  要麼我就去報護士
[00:02:44.600 --> 00:02:47.000]  通常都是以誰先收我
[00:02:47.000 --> 00:02:48.400]  就讀哪一樣東西
[00:02:48.400 --> 00:02:50.000]  當時是護士先收我
[00:02:50.000 --> 00:02:51.800]  我就進入了護士
[00:02:51.800 --> 00:02:56.800]  但是心裏仍然很想去試一下教幼稚園
[00:02:56.800 --> 00:02:59.600]  真的有個校長請了我
[00:02:59.600 --> 00:03:01.200]  但我教了半年
[00:03:01.200 --> 00:03:05.800]  我發覺我還是不適合教幼稚園這個行業
[00:03:05.800 --> 00:03:09.000]  免得誤人子弟
[00:03:09.000 --> 00:03:11.200]  於是乎我教了半年之後
[00:03:11.200 --> 00:03:14.200]  我就離開了幼兒工作
[00:03:14.200 --> 00:03:17.400]  然後我回去做一個護士
[00:03:17.400 --> 00:03:19.600]  當我做了一段時間護士之後
[00:03:19.600 --> 00:03:21.400]  神的召命臨在
