
[00:00:00.000 --> 00:00:02.440]  願我們開始之前一起低頭
[00:00:02.440 --> 00:00:04.600]  將以下的時間交給我們的神
[00:00:04.600 --> 00:00:10.400]  撒亞天父啊,感謝祢
[00:00:10.400 --> 00:00:12.660]  每一個清晨都是新的
[00:00:12.660 --> 00:00:15.400]  感謝祢給我們有生命氣息
[00:00:15.400 --> 00:00:16.920]  我們能夠行路
[00:00:16.920 --> 00:00:19.360]  我們能夠唱詩歌來讚美祢
[00:00:19.360 --> 00:00:21.560]  我們能夠看得到祢的華語
[00:00:21.560 --> 00:00:23.840]  這些全部都是祢的恩典
[00:00:23.840 --> 00:00:26.080]  主啊,祢是這麼愛我們
[00:00:26.080 --> 00:00:28.880]  求主祢藉著今天祢自己的說話
[00:00:28.880 --> 00:00:30.600]  來督責我們
[00:00:30.600 --> 00:00:32.800]  讓我們不單只是聽道
[00:00:32.800 --> 00:00:34.120]  更加去行道
[00:00:34.120 --> 00:00:36.600]  求祢祝福以下這段時間
[00:00:36.600 --> 00:00:39.840]  祈禱奉主耶穌基督得勝命自祈求
[00:00:39.840 --> 00:00:40.840]  阿們
[00:00:40.840 --> 00:00:44.800]  親愛的兄弟姐妹
[00:00:44.800 --> 00:00:47.120]  在剛剛的六月初
[00:00:47.120 --> 00:00:49.720]  在深水埗發生了一宗
[00:00:49.720 --> 00:00:52.440]  聽起來都是駭人聽聞的
[00:00:52.440 --> 00:00:53.960]  倫常慘案
[00:00:53.960 --> 00:00:57.160]  大家還有印象吧
[00:00:57.960 --> 00:00:59.720]  一個印度籍的媽媽
[00:00:59.720 --> 00:01:02.000]  她將自己三個小朋友
[00:01:02.000 --> 00:01:05.640]  分別只有兩歲、四歲和五歲
[00:01:05.640 --> 00:01:08.120]  用枕頭被迫死
[00:01:08.120 --> 00:01:11.440]  我們香港的市民聽到這個新聞的時候
[00:01:11.440 --> 00:01:13.720]  都感覺到很難過
[00:01:13.720 --> 00:01:15.400]  和很惋惜
[00:01:15.400 --> 00:01:18.160]  看這個家庭感覺到很悲傷
[00:01:18.160 --> 00:01:20.320]  但同時這件新聞
[00:01:20.320 --> 00:01:23.360]  都揭示了隱蔽的基層戶
[00:01:23.360 --> 00:01:25.880]  他們面對很大的社會壓力
[00:01:25.880 --> 00:01:28.960]  情緒的需要和人際的支援
[00:01:28.960 --> 00:01:32.000]  都很嚴重不足的社會問題
[00:01:32.000 --> 00:01:34.320]  在悲劇發生之後
[00:01:34.320 --> 00:01:37.640]  無論是政府或者一些社福機構
[00:01:37.640 --> 00:01:39.560]  他們都說要加強力度
[00:01:39.560 --> 00:01:41.040]  去關愛隊
[00:01:41.040 --> 00:01:44.640]  又或者在附近貼一些街招
[00:01:44.640 --> 00:01:47.920]  來給他們一些求助團體的熱線
[00:01:47.920 --> 00:01:49.680]  又擺一些街站
[00:01:49.680 --> 00:01:52.720]  來給一些情緒受到困擾的街坊
[00:01:52.720 --> 00:01:54.320]  可以得到幫助
[00:01:54.960 --> 00:01:57.480]  而在一連串的社會問題
[00:01:57.480 --> 00:01:59.360]  拆彈的措施裡面
[00:01:59.360 --> 00:02:01.400]  我自己覺得最有效的
[00:02:01.400 --> 00:02:02.960]  就是新聞最後一句
[00:02:02.960 --> 00:02:05.920]  他說其實全香港的市民
[00:02:05.920 --> 00:02:09.640]  我們都有家人、朋友、街坊
[00:02:09.640 --> 00:02:14.000]  如果我們可以多一點的守望相助
[00:02:14.000 --> 00:02:15.240]  就是譬如我們
[00:02:15.240 --> 00:02:17.600]  減少自己看手機的時間
[00:02:17.600 --> 00:02:19.040]  多一點看周圍
[00:02:19.040 --> 00:02:20.320]  去關心一下
[00:02:20.320 --> 00:02:22.760]  給一些問候和關心
[00:02:22.760 --> 00:02:24.920]  如果覺得身邊的人
[00:02:24.920 --> 00:02:26.920]  街坊或者朋友
[00:02:26.920 --> 00:02:28.840]  他們的情緒或者他們的
[00:02:28.840 --> 00:02:31.160]  有些異常的時候
[00:02:31.160 --> 00:02:34.080]  我們都可以去幫他
[00:02:34.080 --> 00:02:38.080]  去轉介一些需要的機構來幫助他們
[00:02:38.080 --> 00:02:41.760]  今天的講題是
[00:02:41.760 --> 00:02:44.320]  「行在鄰舍的福音」
[00:02:44.320 --> 00:02:46.720]  就是「行在鄰舍的好消息」
[00:02:46.720 --> 00:02:48.280]  我覺得在這個世代
[00:02:48.280 --> 00:02:49.800]  我們真的很需要
[00:02:49.800 --> 00:02:53.120]  將福音走在我們的鄰舍裡面
[00:02:53.120 --> 00:02:54.920]  經文是《路加福音》
[00:02:54.920 --> 00:02:58.360]  十章二十五到三十七節
[00:02:58.360 --> 00:03:00.560]  是主耶穌向律法師
[00:03:00.560 --> 00:03:03.520]  說一個很殺瑪利亞人的故事
[00:03:03.520 --> 00:03:05.760]  我相信在座的弟兄姊妹
[00:03:05.760 --> 00:03:08.920]  應該沒有誰沒有聽過這個故事
[00:03:08.920 --> 00:03:11.560]  就讓我們從今天的經文裡面
[00:03:11.560 --> 00:03:12.280]  學一下
[00:03:12.280 --> 00:03:14.920]  究竟耶穌藉著這個故事
[00:03:14.920 --> 00:03:16.920]  對我們今天有什麼說話
[00:03:18.240 --> 00:03:23.480]  我們先讀出《路加福音》十章二十五到二十九節
[00:03:23.480 --> 00:03:24.480]  我們一起讀
[00:03:24.480 --> 00:03:26.480]  一二三
[00:03:26.480 --> 00:03:30.760]  有一個律法師起來試探耶穌說
[00:03:30.760 --> 00:03:35.280]  夫子,我該做什麼才可以承受永生?
