
[00:00:00.000 --> 00:00:05.000]  好,大兄姊妹平安,大家早安
[00:00:05.000 --> 00:00:10.000]  今天跟大家分享神的話語
[00:00:10.000 --> 00:00:13.000]  有沒有印象我之前來過?
[00:00:13.000 --> 00:00:15.000]  沒有印象是不是?
[00:00:15.000 --> 00:00:18.000]  我通常一年來一次
[00:00:18.000 --> 00:00:23.000]  差不多接近暑假的時候,我就會過來
[00:00:23.000 --> 00:00:26.000]  今天跟大家分享的講題是重新生日
[00:00:26.000 --> 00:00:28.000]  先講一下生日
[00:00:28.000 --> 00:00:32.000]  有沒有人像我一樣是5月生日的?
[00:00:32.000 --> 00:00:38.000]  又是榮幸和你同一個月份生日
[00:00:38.000 --> 00:00:45.000]  我想問一下,我以前有個同學跟我說
[00:00:45.000 --> 00:00:49.000]  你5月生日就好了,我8月生日
[00:00:49.000 --> 00:00:51.000]  我又8月生日有什麼不好?
[00:00:51.000 --> 00:00:54.000]  8月生日放暑假沒有人和你慶祝
[00:00:54.000 --> 00:00:58.000]  是不是?原來是這樣的
[00:00:58.000 --> 00:01:02.000]  他這樣說,那也是,我也沒有和你慶祝
[00:01:02.000 --> 00:01:08.000]  接著他說,不過這些事情改不了
[00:01:08.000 --> 00:01:13.000]  但有些事情其實我們也可以改的
[00:01:13.000 --> 00:01:16.000]  如果問你,有一樣東西你想改變
[00:01:16.000 --> 00:01:21.000]  你想起你自己有些什麼,你現在這一刻
[00:01:21.000 --> 00:01:27.000]  你對你自己有些什麼是想改變的?
[00:01:27.000 --> 00:01:32.000]  有沒有什麼你覺得現在這樣不太理想
[00:01:32.000 --> 00:01:35.000]  想改變一下,你想一想
[00:01:35.000 --> 00:01:40.000]  接著再聽一下今天講到的內容
[00:01:40.000 --> 00:01:43.000]  今天跟大家分享重新生日
[00:01:43.000 --> 00:01:47.000]  在約翰福音三章一到十五節
[00:01:47.000 --> 00:01:52.000]  主要是說尼哥德姆和耶穌的對話
[00:01:52.000 --> 00:01:55.000]  先看看這位仁兄
[00:01:55.000 --> 00:01:59.000]  這位仁兄其實是一個什麼樣的人?
[00:01:59.000 --> 00:02:03.000]  他是一個凡是賽人,猶太人的官
