
[00:00:00.000 --> 00:00:02.000]  多謝Praise team
[00:00:02.000 --> 00:00:06.000]  剛才Daniel最後帶我們唱一節
[00:00:06.000 --> 00:00:08.000]  其實已經是一個很優美的祈禱
[00:00:08.000 --> 00:00:10.000]  所以我覺得他已經幫我帶了詞彙祈禱
[00:00:10.000 --> 00:00:12.000]  多謝你Daniel
[00:00:12.000 --> 00:00:14.000]  OK Daniel 早安
[00:00:14.000 --> 00:00:16.000]  他帶了我們祈禱
[00:00:16.000 --> 00:00:18.000]  剩下我們就要朝見神
[00:00:18.000 --> 00:00:21.000]  剩下我們要聽到自己心裏面的事
[00:00:21.000 --> 00:00:23.000]  我們要聽到神的聲音
[00:00:23.000 --> 00:00:25.000]  我們祈禱吧
[00:00:25.000 --> 00:00:26.000]  我們今天的題目是
[00:00:26.000 --> 00:00:28.000]  人在做天在看
[00:00:28.000 --> 00:00:30.000]  我們今天又回到傳教會的講道系列
[00:00:30.000 --> 00:00:32.000]  《約書亞記》第九章
[00:00:32.000 --> 00:00:33.000]  由第六至第八章
[00:00:33.000 --> 00:00:35.000]  作者約書亞的鋪排和陳述
[00:00:35.000 --> 00:00:37.000]  是很一針見血
[00:00:37.000 --> 00:00:39.000]  以及很立體很劇場版
[00:00:39.000 --> 00:00:42.000]  由第六章圍繞耶利哥誠信心的德性
[00:00:42.000 --> 00:00:44.000]  在六章十五至二十一節
[00:00:44.000 --> 00:00:46.000]  提及到不可以拿當滅之物的境界
[00:00:46.000 --> 00:00:47.000]  到了四月尾
[00:00:47.000 --> 00:00:48.000]  如果大家還記得
[00:00:48.000 --> 00:00:51.000]  李敏充牧師說第七章的時候
[00:00:51.000 --> 00:00:52.000]  題目是很誇張的
[00:00:52.000 --> 00:00:54.000]  就叫做一序類傳家
[00:00:54.000 --> 00:00:57.000]  論及到亞干取了當滅之物之後
[00:00:57.000 --> 00:00:58.000]  雖然有嚴峻的提醒
[00:00:58.000 --> 00:01:01.000]  神只派約書亞領軍抗敵
[00:01:01.000 --> 00:01:02.000]  但因為他輕敵
[00:01:02.000 --> 00:01:03.000]  只派了二三千人
[00:01:03.000 --> 00:01:05.000]  結果在艾成人面前逃跑
[00:01:05.000 --> 00:01:08.000]  當天的回應師哥用尋求神的面
[00:01:08.000 --> 00:01:12.000]  表明了一序類傳家的後果和境界
[00:01:12.000 --> 00:01:13.000]  然後到了第八章
[00:01:13.000 --> 00:01:15.000]  沒有列入我們講道系列的
[00:01:15.000 --> 00:01:18.000]  神又只派約書亞率領一切的兵丁
[00:01:18.000 --> 00:01:19.000]  去攻艾成
[00:01:19.000 --> 00:01:21.000]  結果用計謀德性
[00:01:21.000 --> 00:01:23.000]  在這裡張抹第八章三十至三十五節
[00:01:23.000 --> 00:01:25.000]  約書亞將律法書上的
[00:01:25.000 --> 00:01:27.000]  祝福就坐的說話
[00:01:27.000 --> 00:01:29.000]  照律法書上一切所寫的
[00:01:29.000 --> 00:01:31.000]  都向會眾宣讀了一篇
[00:01:31.000 --> 00:01:33.000]  沒有想到來到第九章
[00:01:33.000 --> 00:01:34.000]  今天我們要講的經文
[00:01:34.000 --> 00:01:36.000]  又遇到新的挑戰
[00:01:36.000 --> 00:01:38.000]  直接承受第八章宣讀律法書的
[00:01:38.000 --> 00:01:39.000]  就坐祝福
[00:01:39.000 --> 00:01:42.000]  竟然可以同時間兌現
[00:01:42.000 --> 00:01:44.000]  有沒有想過神的就坐和祝福
[00:01:44.000 --> 00:01:48.000]  是可以同時間兌現的
[00:01:48.000 --> 00:01:49.000]  如果神帶給你的管教
[00:01:49.000 --> 00:01:50.000]  你覺得是就坐
[00:01:50.000 --> 00:01:51.000]  其實祂帶給你的管教
[00:01:51.000 --> 00:01:53.000]  是不是帶給你的祝福
[00:01:53.000 --> 00:01:55.000]  其實是同時出
[00:01:55.000 --> 00:01:57.000]  是一個潛閉的兩面
[00:01:57.000 --> 00:01:58.000]  名副其實
[00:01:58.000 --> 00:02:01.000]  人在做天在看的劇場版
[00:02:01.000 --> 00:02:02.000]  今天我們早上的訊息
[00:02:02.000 --> 00:02:06.000]  約書亞第九章一至二十七節的所在
[00:02:06.000 --> 00:02:07.000]  引然
[00:02:07.000 --> 00:02:08.000]  人在做天在看
[00:02:08.000 --> 00:02:09.000]  讓我們一起讀一讀
[00:02:09.000 --> 00:02:11.000]  坊間這句說話
[00:02:11.000 --> 00:02:13.000]  三句的說話
