
[00:00:00.000 --> 00:00:04.600]  今晚是新幾年第一次崇拜
[00:00:04.600 --> 00:00:08.000]  亦是改了時間之後第一次崇拜
[00:00:08.000 --> 00:00:09.000]  我恭祝大家
[00:00:09.000 --> 00:00:13.000]  2025年更衷心信奉父神
[00:00:13.000 --> 00:00:15.400]  更渴想主愛
[00:00:15.400 --> 00:00:17.800]  得著更大屬靈的恩賜
[00:00:17.800 --> 00:00:21.000]  活出更大屬靈的活力
[00:00:21.000 --> 00:00:24.600]  我也想感謝敬拜隊和師事隊
[00:00:24.600 --> 00:00:26.400]  他們都有不少調整
[00:00:26.400 --> 00:00:29.000]  去適應這個新的時間崇拜
[00:00:29.000 --> 00:00:31.000]  我們給他們掌聲好不好
[00:00:31.000 --> 00:00:34.000]  (掌聲)
[00:00:34.000 --> 00:00:36.000]  還有沒有弟兄姊妹
[00:00:36.000 --> 00:00:38.000]  有沒有人提早吃飯來的
[00:00:38.000 --> 00:00:40.000]  (提早)
[00:00:40.000 --> 00:00:41.000]  也不少吧
[00:00:41.000 --> 00:00:43.000]  有沒有人想著早了崇拜
[00:00:43.000 --> 00:00:44.000]  完了才吃飯
[00:00:44.000 --> 00:00:46.000]  有沒有這樣的弟兄姊妹
[00:00:46.000 --> 00:00:47.000]  (提早)
[00:00:47.000 --> 00:00:49.000]  也不少吧
[00:00:49.000 --> 00:00:50.000]  好了
[00:00:50.000 --> 00:00:52.000]  習慣是可以改的
[00:00:52.000 --> 00:00:54.000]  如果可以分開八點
[00:00:54.000 --> 00:00:55.000]  應該也不難改的
[00:00:55.000 --> 00:00:57.000]  我們就試一試好不好
[00:00:57.000 --> 00:00:59.000]  (提早)
[00:00:59.000 --> 00:01:00.000]  誰是你的榜樣呢
[00:01:00.000 --> 00:01:02.000]  剛才那些新年的祝福
[00:01:02.000 --> 00:01:03.000]  (提早)
[00:01:03.000 --> 00:01:05.000]  按提我的教會
[00:01:05.000 --> 00:01:06.000]  這個新生的教會
[00:01:06.000 --> 00:01:08.000]  充滿屬靈的活力
[00:01:08.000 --> 00:01:10.000]  今晚我要分享的題目
[00:01:10.000 --> 00:01:13.000]  就是新生教會的活力
[00:01:13.000 --> 00:01:15.000]  讓我們一起同心祈禱
[00:01:15.000 --> 00:01:16.000]  (提早)
[00:01:16.000 --> 00:01:17.000]  親愛的天父
[00:01:17.000 --> 00:01:19.000]  我們來到你的面前
[00:01:19.000 --> 00:01:21.000]  要聆聽你的說話
[00:01:21.000 --> 00:01:23.000]  求真理的聖靈
[00:01:23.000 --> 00:01:26.000]  帶領我們進入你的真理當中
[00:01:26.000 --> 00:01:29.000]  祈禱奉耶穌基督成名求
[00:01:29.000 --> 00:01:30.000]  阿們
[00:01:30.000 --> 00:01:33.000]  讓我們一起讀今天的經文
[00:01:33.000 --> 00:01:35.000]  我們先看第十一章
[00:01:35.000 --> 00:01:37.000]  然後再看十三章
[00:01:37.000 --> 00:01:39.000]  我們弟兄姊妹輪流讀
[00:01:39.000 --> 00:01:42.000]  先請弟兄預備起
[00:01:42.000 --> 00:01:45.000]  那些因事提反的事
[00:01:45.000 --> 00:01:48.000]  遭患難而四處分散的門徒
[00:01:48.000 --> 00:01:53.000]  直走到肥尼基、塞浦路斯和安提下
[00:01:53.000 --> 00:01:56.000]  他們不向別人講道
[00:01:56.000 --> 00:01:58.000]  只向猶太人講
[00:01:58.000 --> 00:02:00.000]  (主的手與他們同在)
[00:02:00.000 --> 00:02:02.000]  (信而歸主的人很多)
[00:02:02.000 --> 00:02:04.000]  (主的手與他們同在)
[00:02:04.000 --> 00:02:06.000]  (信而歸主的人很多)
[00:02:06.000 --> 00:02:08.000]  (主的手與他們同在)
[00:02:08.000 --> 00:02:10.000]  (信而歸主的人很多)
[00:02:10.000 --> 00:02:12.000]  (主的手與他們同在)
[00:02:12.000 --> 00:02:14.000]  (信而歸主的人很多)
[00:02:14.000 --> 00:02:16.000]  (主的手與他們同在)
[00:02:16.000 --> 00:02:18.000]  (信而歸主的人很多)
[00:02:18.000 --> 00:02:20.000]  (主的手與他們同在)
[00:02:20.000 --> 00:02:22.000]  (信而歸主的人很多)
[00:02:22.000 --> 00:02:24.000]  (主的手與他們同在)
[00:02:24.000 --> 00:02:26.000]  (信而歸主的人很多)
[00:02:26.000 --> 00:02:28.000]  (主的手與他們同在)
[00:02:28.000 --> 00:02:30.000]  (信而歸主的人很多)
[00:02:30.000 --> 00:02:32.000]  (主的手與他們同在)
[00:02:32.000 --> 00:02:34.000]  (信而歸主的人很多)
[00:02:34.000 --> 00:02:36.000]  (主的手與他們同在)
[00:02:36.000 --> 00:02:38.000]  (信而歸主的人很多)
[00:02:38.000 --> 00:02:40.000]  (主的手與他們同在)
[00:02:40.000 --> 00:02:42.000]  (信而歸主的人很多)
[00:02:42.000 --> 00:02:44.000]  (主的手與他們同在)
[00:02:44.000 --> 00:02:46.000]  (信而歸主的人很多)
[00:02:46.000 --> 00:02:48.000]  (主的手與他們同在)
[00:02:48.000 --> 00:02:50.000]  (信而歸主的人很多)
[00:02:50.000 --> 00:02:52.000]  (主的手與他們同在)
[00:02:52.000 --> 00:02:54.000]  (信而歸主的人很多)
[00:02:54.000 --> 00:02:56.000]  (主的手與他們同在)
[00:02:56.000 --> 00:02:58.000]  (信而歸主的人很多)
[00:02:58.000 --> 00:03:00.000]  (主的手與他們同在)
[00:03:00.000 --> 00:03:02.000]  (信而歸主的人很多)
[00:03:02.000 --> 00:03:21.000]  「在安提亞的教會中,有幾位先知和教師,就是巴拿巴和稱為尼潔的西緬,古內來人路求與希律分封王一起長大的馬廉和素羅。」
[00:03:21.000 --> 00:03:32.000]  「他們在試圖主和禁食時,寫了一段說:要為我分派巴拿巴和素羅去做我之參與的工作。」
[00:03:32.000 --> 00:03:42.000]  「於是他們禁食禱告後,給巴拿巴和素羅按手,然後派遣他們走了。」
[00:03:42.000 --> 00:03:53.000]  按照上一章的結尾,即十二章的尾,巴拿巴和素羅辦完關於捐款給耶路撒冷教會的事
[00:03:53.000 --> 00:03:57.000]  做完了,由耶路撒冷返回安提阿教會
[00:03:57.000 --> 00:04:03.000]  所以路加寫作的焦點,就由耶路撒冷轉去安提亞
[00:04:03.000 --> 00:04:11.000]  安提亞教會的成立,其實是由一班說希臘話的猶太基督徒,他們傳福音所建立出來
[00:04:11.000 --> 00:04:17.000]  其中這間教會既有猶太人,也有外邦人
[00:04:17.000 --> 00:04:24.000]  所以安提亞教會其實是第一間向城內的外邦人傳福音的教會
[00:04:24.000 --> 00:04:32.000]  而且果後非常顯著,以至周圍的人稱呼安提亞的信徒為基督徒
[00:04:32.000 --> 00:04:36.000]  今日我們都自稱基督徒,這個字是何時開始的呢?
[00:04:36.000 --> 00:04:39.000]  就是在這裡,安提亞教會開始的
[00:04:39.000 --> 00:04:48.000]  與此同時,耶路撒冷教會聽見,哇,這麼厲害的,那間安提亞新的教會,很多人信主
[00:04:48.000 --> 00:04:54.000]  就派遣一個特使,就是巴拿巴去視察那裡的情況
[00:04:54.000 --> 00:05:02.000]  結果巴拿巴就留在安提亞,繼續去牧羊去教導安提亞教會
[00:05:02.000 --> 00:05:09.000]  此外,他也去大素,找一位得力助手幫他,就是素羅
[00:05:09.000 --> 00:05:13.000]  就是這樣營造了一個很好的環境
[00:05:13.000 --> 00:05:21.000]  安提亞教會對外邦人特別有負擔,而且裡面的領袖也有不少是外邦人
[00:05:21.000 --> 00:05:31.000]  巴拿巴和素羅也適逢其會,在聖靈的感動之下,被派遣成為第一隊宣教隊伍
[00:05:31.000 --> 00:05:39.000]  回顧安提亞教會的歷史,其實安提亞在第十一章的經文就已經誕生了
[00:05:39.000 --> 00:05:43.000]  就是剛才我們所讀的經文,而且誕生了多久呢?
[00:05:43.000 --> 00:05:48.000]  大概一年的時間,經過第十二章,說了幾個人物之後
[00:05:48.000 --> 00:05:53.000]  到了第十三章,又回到繼續說安提亞的發展
[00:05:53.000 --> 00:06:03.000]  現在我們就看看這個第一世紀的安提亞教會對2025年恩福堂、晚堂的弟兄姊妹
[00:06:03.000 --> 00:06:06.000]  有什麼屬靈的意義
[00:06:06.000 --> 00:06:10.000]  第十三章第一節的上半節,經文說
[00:06:10.000 --> 00:06:16.000]  「在安提亞的教會中,有幾位先知和教師」
[00:06:16.000 --> 00:06:30.000]  在原文,先知和教師這兩個名詞其實是主詞,是一個很重要的名詞
[00:06:30.000 --> 00:06:39.000]  所以裡面是一個重點,值得我們再花多一點時間去認識先知和教師
[00:06:39.000 --> 00:06:44.000]  先知這個字在《士堂傳》出現了三十次
[00:06:44.000 --> 00:06:47.000]  第一次出現就是第十一章二十七節
[00:06:47.000 --> 00:06:51.000]  「有名有姓,阿加布」
[00:06:51.000 --> 00:06:57.000]  他曾經藉著聖靈的指示,預言天下將會有大饑荒
[00:06:57.000 --> 00:07:03.000]  還有第十五章,也稱呼猶大和西拉為先知
[00:07:03.000 --> 00:07:10.000]  所以不單舊約有先知,新約也有先知
[00:07:10.000 --> 00:07:13.000]  先知的職份是什麼呢?
[00:07:13.000 --> 00:07:17.000]  就是將神直接的啟示的代言人
[00:07:17.000 --> 00:07:21.000]  就好像剛才提及的阿加布一樣
[00:07:21.000 --> 00:07:30.000]  所以很感謝神,神賜給第一代的教會有先知去帶領這間教會
[00:07:30.000 --> 00:07:34.000]  可能你會問,第一代的教會有先知
[00:07:34.000 --> 00:07:38.000]  今天的教會有沒有先知呢?
[00:07:38.000 --> 00:07:48.000]  這個問題就差不多成為靈恩派教會和福音派教會對於先知語言的分水嶺
[00:07:48.000 --> 00:07:52.000]  保羅說,我們之前教會說的《已福所書》
[00:07:52.000 --> 00:07:54.000]  不知道你有沒有印象,第二章
[00:07:54.000 --> 00:08:01.000]  保羅說教會是被建造在使徒和先知的根基上
[00:08:01.000 --> 00:08:05.000]  而耶穌基督自己就是防國石
[00:08:05.000 --> 00:08:10.000]  所以福音派的學者都認定耶穌基督的使徒
[00:08:10.000 --> 00:08:14.000]  他的身份和功能是非常獨特
[00:08:14.000 --> 00:08:18.000]  當使徒,有一天都會離世歸住
[00:08:18.000 --> 00:08:25.000]  當使徒死了,使徒的職份也結束了
[00:08:25.000 --> 00:08:33.000]  所以使徒和先知,所以先知也同樣跟著使徒的結束而結束
[00:08:33.000 --> 00:08:37.000]  就像《播道神學院前院長》郭文慈牧師所說
[00:08:37.000 --> 00:08:42.000]  可能保羅用根基來形容使徒和先知
[00:08:42.000 --> 00:08:50.000]  就是反映出開始建立教會的職份就是使徒和先知
[00:08:50.000 --> 00:08:54.000]  開始之後,誰繼續建立教會呢?
[00:08:54.000 --> 00:08:56.000]  就是,又是《已福所書》
[00:08:56.000 --> 00:09:01.000]  「全福音的牧師和教師」
[00:09:01.000 --> 00:09:08.000]  先知的職份,剛才說是會停止的
[00:09:08.000 --> 00:09:13.000]  但是屬靈的恩賜就不會停止
[00:09:13.000 --> 00:09:18.000]  早期教會需要屬靈的恩賜去建立
[00:09:18.000 --> 00:09:24.000]  今天的教會其實同樣都需要屬靈的恩賜去建立
[00:09:24.000 --> 00:09:29.000]  屬靈的恩賜和教會的職份是有分別的
[00:09:29.000 --> 00:09:34.000]  屬靈的恩賜是何時才會結束呢?
[00:09:34.000 --> 00:09:38.000]  就是直到耶穌基督的完全的來到
[00:09:38.000 --> 00:09:43.000]  耶穌基督第二次降臨的時候,恩賜才會結束
[00:09:43.000 --> 00:09:49.000]  所以教會的一些職份,就是使徒和先知
[00:09:49.000 --> 00:09:54.000]  是當教會立好根基的時候就完結了
[00:09:54.000 --> 00:09:58.000]  就好像時思時代以後,還有沒有時思呢?
[00:09:58.000 --> 00:10:00.000]  沒有了,沒有時思
[00:10:00.000 --> 00:10:03.000]  不是沒有領袖,是沒有時思
[00:10:03.000 --> 00:10:09.000]  既然我們已經明白了屬靈的恩賜是一直會持續直到主在來
[00:10:09.000 --> 00:10:14.000]  那我們就明白這節經文對我們的意義了
[00:10:14.000 --> 00:10:19.000]  保羅在《高林多前書》第十四章一節對所有弟兄姊妹說的
[00:10:19.000 --> 00:10:21.000]  我們一起讀吧
[00:10:21.000 --> 00:10:29.000]  「你們要追求愛,也要切務屬靈的恩賜,尤其是作先知講道」
[00:10:29.000 --> 00:10:32.000]  要作先知講道
[00:10:32.000 --> 00:10:37.000]  好一點的翻譯就是《新漢語》的譯本說的
[00:10:37.000 --> 00:10:46.000]  尤其是宣講神的信息的恩賜
[00:10:46.000 --> 00:10:50.000]  這裡是說恩賜,不是說職份
[00:10:50.000 --> 00:10:54.000]  所以所有弟兄姊妹都要追求
[00:10:54.000 --> 00:10:57.000]  就算你不是牧者,你都要追求
[00:10:57.000 --> 00:11:04.000]  第一追求愛,第二就是追求宣講神信息的恩賜
[00:11:04.000 --> 00:11:07.000]  職份上的先知是需要神呼召
